Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,99.32,99.349998,98.269997,98.949997,893000,91.940819
2013-03-01,95.25,99.290001,94.68,99.160004,593000,92.135948
2013-02-01,89.190002,95.860001,88.379997,95.300003,876500,88.54937
2013-01-02,86.480003,90.309998,86.480003,88.629997,617700,81.880836
2012-12-03,88.18,89.389999,84.57,86.239998,517800,79.672836
2012-11-01,85.68,88.459999,81.599998,88.459999,646300,81.723785
2012-10-01,86.489998,87.809998,82.00,85.639999,593100,78.645912
2012-09-04,85.169998,87.730003,84.860001,86.330002,779900,79.279564
2012-08-01,77.059998,85.510002,74.599998,84.970001,778700,78.030632
2012-07-02,75.68,77.32,74.120003,76.800003,470000,70.050331
2012-06-01,75.800003,77.370003,73.199997,75.519997,819300,68.88282
2012-05-01,79.709999,80.309998,75.029999,76.559998,590200,69.831421
2012-04-02,81.349998,81.970001,77.739998,79.629997,618200,72.173843
2012-03-01,75.400002,81.660004,74.519997,81.360001,803900,73.741859
2012-02-01,79.089996,80.379997,70.50,75.32,1041000,68.267418
2012-01-03,79.07,81.400002,76.839996,78.779999,516100,70.971344
2011-12-01,75.720001,79.239998,74.870003,78.169998,531800,70.421806
2011-11-01,75.699997,79.589996,71.239998,75.980003,955000,68.448883
2011-10-03,72.230003,78.290001,70.00,77.019997,609000,68.964203
2011-09-01,71.959999,76.459999,69.190002,72.889999,791000,65.266174
2011-08-01,78.529999,78.610001,66.43,72.089996,1133200,64.54985
2011-07-01,76.419998,80.25,75.360001,77.919998,653600,69.302666
2011-06-01,79.300003,79.839996,74.900002,76.440002,939500,67.986351
2011-05-02,75.379997,79.279999,73.760002,79.279999,534700,70.512268
2011-04-01,71.639999,75.459999,71.580002,75.07,565600,66.378174
2011-03-01,68.870003,73.129997,67.540001,71.389999,780100,63.124256
2011-02-01,62.389999,68.910004,61.16,68.839996,867100,60.869499
2011-01-03,65.970001,65.980003,61.59,62.16,915500,54.583107
2010-12-01,63.619999,66.279999,63.52,65.650002,573000,57.647697
2010-11-01,64.349998,64.889999,60.459999,63.25,834500,55.540241
2010-10-01,60.66,64.550003,59.709999,64.279999,655800,56.094429
2010-09-01,58.959999,62.349998,58.790001,60.529999,551400,52.821964
2010-08-02,61.02,61.02,57.200001,58.48,985000,51.033016
2010-07-01,60.00,63.75,59.34,61.43,766400,53.241749
2010-06-01,54.810001,63.330002,54.619999,60.220001,1279200,52.193035
2010-05-03,61.130001,61.419998,53.27,55.220001,1236400,47.859505
2010-04-01,60.50,63.50,59.990002,61.07,725800,52.568932
2010-03-01,59.919998,61.25,58.509998,60.259998,764500,51.871681
2010-02-01,60.18,62.400002,57.720001,59.68,940800,51.372421
2010-01-04,62.200001,63.00,59.639999,60.07,745400,51.406704
2009-12-01,59.57,62.700001,58.549999,61.75,971200,52.844414
2009-11-02,52.900002,59.299999,51.189999,59.080002,1000400,50.559483
2009-10-01,52.98,55.00,51.939999,52.73,836000,44.830452
2009-09-01,52.240002,54.549999,50.900002,53.009998,1050000,45.068504
2009-08-03,50.419998,55.360001,49.080002,52.27,1071300,44.439365
2009-07-01,48.75,51.060001,47.630001,50.029999,981100,42.247322
2009-06-01,40.68,48.93,40.509998,48.66,1365400,41.090443
2009-05-01,39.400002,41.459999,39.189999,40.259998,1016200,33.997147
2009-04-01,37.00,39.799999,36.830002,39.400002,1122900,32.987461
2009-03-02,36.580002,37.790001,34.09,37.27,1535900,31.204128
2009-02-02,44.57,46.490002,36.439999,37.119999,1769700,31.078539
2009-01-02,43.00,45.810001,41.73,45.150002,1495000,37.514839
2008-12-01,45.110001,45.110001,39.810001,43.360001,1549600,36.027538
2008-11-03,44.849998,46.00,37.220001,45.369999,5249600,37.697632
2008-10-01,50.209999,51.650002,40.080002,44.560001,1218800,36.720821
2008-09-02,52.669998,55.919998,49.080002,50.689999,703600,41.772404
2008-08-01,48.599998,56.689999,48.029999,54.23,433700,40.684467
2008-07-01,40.18,49.130001,40.18,48.740002,523800,36.338772
2008-06-02,52.759998,55.580002,40.639999,40.639999,519200,30.299706
2008-05-01,49.880001,52.950001,49.16,52.790001,170500,39.358303
2008-04-01,50.93,52.07,48.18,49.880001,169900,36.95755
2008-03-03,51.00,52.59,49.34,50.610001,394500,37.498428
2008-02-01,47.080002,52.459999,46.84,51.189999,301200,37.928165
2008-01-02,51.34,51.34,42.75,46.779999,277200,34.445827
2007-12-03,49.02,52.380001,48.450001,51.439999,329400,37.877155
2007-11-01,52.689999,53.700001,48.509998,49.130001,278600,36.17622
2007-10-01,53.400002,54.68,50.790001,53.43,222400,39.119312
2007-09-04,55.150002,55.580002,53.00,53.419998,222200,39.111988
2007-08-01,55.740002,58.09,51.880001,55.009998,400300,40.276123
2007-07-02,63.470001,64.150002,55.599998,55.810001,459300,40.644619
2007-06-01,57.700001,64.32,56.77,63.66,422100,46.361519
2007-05-01,55.82,59.139999,55.75,57.700001,312000,42.021046
2007-04-02,53.549999,57.43,53.549999,55.82,243400,40.436924
2007-03-01,49.220001,53.990002,48.700001,53.32,225100,38.625885
2007-02-01,47.529999,51.799999,46.970001,49.540001,271900,35.887592
