Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,36.150002,36.27,35.950001,36.130001,631600,32.642754
2013-03-01,35.209999,36.23,34.869999,36.18,509300,32.687927
2013-02-01,35.75,36.48,34.639999,35.290001,803600,31.883829
2013-01-02,34.700001,35.610001,33.43,35.419998,753300,32.001278
2012-12-03,33.00,34.459999,32.580002,34.200001,574800,30.716303
2012-11-01,31.67,32.939999,31.10,32.880001,747100,29.530762
2012-10-01,32.330002,32.490002,30.870001,31.469999,767700,28.264387
2012-09-04,33.560001,34.09,31.91,32.330002,669900,28.841534
2012-08-01,32.200001,33.759998,32.07,33.549999,626700,29.929892
2012-07-02,32.040001,32.860001,31.50,32.200001,504900,28.725561
2012-06-01,30.469999,32.16,29.93,32.049999,1330300,28.403818
2012-05-01,31.25,32.75,30.860001,31.01,1156500,27.482134
2012-04-02,29.690001,31.65,28.940001,31.32,729800,27.756866
2012-03-01,29.309999,30.25,28.99,29.73,1021900,26.171879
2012-02-01,29.610001,30.27,28.610001,29.280001,1037400,25.775736
2012-01-03,29.809999,30.16,27.719999,29.50,1278500,25.969406
2011-12-01,28.299999,30.15,27.52,29.32,707100,25.635303
2011-11-01,27.15,28.879999,25.99,28.35,908000,24.787207
2011-10-03,25.879999,28.540001,23.98,28.16,1204000,24.621084
2011-09-01,28.200001,28.25,25.58,26.01,1107700,22.577377
2011-08-01,27.92,28.290001,22.379999,28.129999,1302900,24.417593
2011-07-01,26.790001,28.99,26.719999,27.450001,782900,23.827335
2011-06-01,27.42,27.639999,25.43,26.77,1101700,23.075146
2011-05-02,27.74,28.049999,26.360001,27.459999,823300,23.66991
2011-04-01,26.40,27.879999,24.809999,27.629999,506600,23.816446
2011-03-01,26.809999,26.809999,24.940001,26.24,486300,22.449316
2011-02-01,26.219999,27.389999,25.50,26.65,709800,22.800087
2011-01-03,51.549999,52.25,24.84,26.110001,690800,22.338097
2010-12-01,48.560001,51.990002,48.060001,51.189999,623700,21.734667
2010-11-01,48.119999,51.939999,46.380001,47.98,866800,20.371738
2010-10-01,47.580002,49.419998,46.849998,47.919998,876700,20.346264
2010-09-01,46.939999,49.060001,46.09,47.139999,710300,19.853735
2010-08-02,45.400002,46.529999,42.709999,46.220001,803500,19.466263
2010-07-01,41.509998,46.509998,40.459999,44.700001,1409800,18.826092
2010-06-01,41.360001,42.939999,37.799999,41.380001,1204700,17.279043
2010-05-03,41.689999,44.119999,37.98,41.619999,1224600,17.379259
2010-04-01,43.549999,44.610001,41.189999,41.599998,1117000,17.370907
2010-03-01,41.889999,45.27,41.330002,43.16,988100,17.858015
2010-02-01,38.470001,42.639999,37.029999,41.669998,1041500,17.241508
