Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.18,31.27,30.620001,30.809999,5531800,29.519516
2013-03-01,31.799999,32.099998,29.790001,31.35,4658600,30.0369
2013-02-01,35.369999,37.459999,31.43,31.629999,3632300,30.171751
2013-01-02,37.299999,37.580002,33.639999,34.849998,2971900,33.243298
2012-12-03,36.950001,38.419998,34.029999,36.080002,3136700,34.416595
2012-11-01,40.439999,41.299999,34.779999,36.759998,4209900,35.065243
2012-10-01,40.110001,40.91,37.389999,40.50,4579400,38.557945
2012-09-04,34.990002,40.279999,34.34,39.709999,5746100,37.805828
2012-08-01,27.209999,34.790001,26.35,34.599998,4352800,32.940861
2012-07-02,26.799999,28.889999,25.00,27.540001,3806100,26.141787
2012-06-01,25.690001,29.09,25.15,26.84,5588100,25.477324
2012-05-01,30.700001,31.030001,22.940001,25.48,7215200,24.186371
2012-04-02,33.02,34.200001,27.959999,30.530001,5042700,28.874086
2012-03-01,38.380001,39.00,31.629999,33.200001,5423800,31.314152
2012-02-01,36.25,40.360001,34.560001,38.369999,5751500,36.190479
2012-01-03,29.84,36.799999,29.75,35.610001,5073200,33.587257
2011-12-01,33.75,34.459999,26.85,28.959999,4982800,27.314993
2011-11-01,32.759998,37.380001,30.549999,33.580002,6121200,31.672567
2011-10-03,30.139999,36.439999,25.84,34.599998,6855400,32.543751
2011-09-01,39.470001,42.50,29.299999,29.450001,7569700,27.699812
2011-08-01,35.98,40.52,32.32,39.619999,8964600,37.236412
2011-07-01,32.330002,40.240002,31.780001,36.080002,10307400,33.909386
2011-06-01,36.580002,37.099998,29.790001,33.00,9289200,31.014681
2011-05-02,38.200001,39.950001,32.43,36.75,15455400,34.505737
2011-04-01,43.060001,47.599998,38.880001,40.619999,17901800,38.1394
2011-03-01,43.799999,46.380001,37.849998,43.360001,15662700,40.712078
2011-02-01,31.48,42.689999,31.09,42.549999,14492700,39.920395
2011-01-03,39.700001,40.00,28.85,30.799999,13452500,28.896547
2010-12-01,37.900002,42.34,35.419998,39.040001,9524700,36.627316
2010-11-01,29.35,37.259998,28.700001,36.889999,13140100,34.610184
2010-10-01,26.91,28.889999,25.35,28.75,7211800,26.97324
2010-09-01,22.969999,27.18,22.32,26.65,7517300,25.003019
2010-08-02,19.200001,23.58,18.90,22.559999,4693500,21.165783
2010-07-01,19.940001,20.07,17.639999,18.85,4865700,17.685064
2010-06-01,18.959999,21.889999,17.780001,20.10,5849300,18.857813
2010-05-03,19.76,21.58,17.00,18.889999,10259100,17.722591
2010-04-01,16.02,19.83,15.95,19.52,5862800,18.313658
2010-03-01,15.39,16.52,14.71,15.68,5788300,14.710971
2010-02-01,13.94,16.08,13.04,15.17,8238400,14.232489
2010-01-04,15.70,17.799999,13.63,13.76,8506400,12.909627
2009-12-01,16.620001,17.450001,14.55,15.02,8304100,14.091759
2009-11-02,12.88,16.809999,12.17,16.07,8475300,15.076868
2009-10-01,12.79,14.88,11.67,12.48,9374200,11.708731
2009-09-01,10.28,13.34,9.67,12.59,9228600,11.811934
2009-08-03,9.49,10.57,9.10,10.36,4513900,9.719748
2009-07-01,8.49,9.55,7.12,9.18,4567800,8.612673
2009-06-01,10.67,10.97,7.73,8.24,6769600,7.730765
2009-05-01,7.63,10.62,7.53,10.52,5557300,9.869861
2009-04-01,8.26,8.68,7.07,7.62,4878400,7.149081
2009-03-02,6.68,8.81,5.66,8.23,8593000,7.721383
2009-02-02,6.30,7.63,6.21,6.69,9624900,6.276556
2009-01-02,6.40,7.48,4.88,6.53,9634000,6.126444
2008-12-01,3.14,6.98,2.95,6.49,10202600,6.088915
2008-11-03,3.68,4.60,2.51,3.45,6300700,3.236789
2008-10-01,8.32,8.65,2.56,3.60,6181900,3.377519
2008-09-02,10.83,11.09,7.65,8.15,5865800,7.646327
2008-08-01,12.86,13.16,9.51,11.52,3879300,10.808061
2008-07-01,15.00,15.94,12.71,12.96,3815100,12.159067
2008-06-02,14.56,15.40,12.56,14.65,2539200,13.744624
2008-05-01,12.82,15.46,12.63,14.50,3380400,13.603895
2008-04-01,15.34,17.60,12.73,13.27,3868500,12.449909
2008-03-03,17.68,19.540001,15.33,15.53,4790600,14.57024
2008-02-01,15.00,17.790001,14.25,17.32,4504800,16.249617
2008-01-02,17.23,19.16,14.83,15.39,4931400,14.438892
2007-12-03,14.94,17.84,13.75,16.969999,2537000,15.921247
2007-11-01,16.32,18.299999,14.27,14.97,3060700,14.044848
2007-10-01,14.00,16.870001,13.12,16.870001,2501400,15.827429
2007-09-04,11.48,14.51,11.31,14.02,2748800,13.15356
2007-08-01,13.55,13.90,9.72,11.38,2831000,10.676712
2007-07-02,11.87,14.92,11.85,13.71,2560300,12.862717
2007-06-01,11.71,12.12,10.77,11.69,2074400,10.967553
2007-05-01,11.00,12.47,10.48,11.47,2358700,10.76115
2007-04-02,9.45,11.80,9.30,11.12,2663400,10.43278
2007-03-01,9.90,9.98,8.83,9.48,2442200,8.894133
2007-02-01,10.98,11.15,9.64,10.02,2664200,9.400761
2007-01-03,10.52,10.87,8.90,10.80,2406800,10.132556
2006-12-01,11.72,11.94,10.05,10.48,1945900,9.832332
2006-11-01,11.28,12.07,10.40,11.75,2635200,11.023846
2006-10-02,9.54,11.22,7.95,11.00,1942800,10.320196
2006-09-01,10.93,12.21,8.35,9.44,2549600,8.856605
2006-08-01,9.79,11.02,9.38,10.97,1476600,10.29205
2006-07-03,9.80,9.97,8.17,9.77,1153200,9.166211
2006-06-01,8.50,9.48,6.80,9.42,1712700,8.837841
2006-05-01,11.54,11.74,7.30,8.90,2567900,8.349977
2006-04-03,10.87,11.75,10.00,11.24,2538000,10.545363
2006-03-01,8.31,11.50,8.13,10.67,2216300,10.010591
2006-02-01,7.78,8.29,6.35,8.17,1320700,7.665091
2006-01-03,5.98,7.93,5.54,7.78,1150800,7.299193
2005-12-01,5.40,5.89,4.88,5.80,838800,5.441558
2005-11-01,4.50,5.64,4.35,5.32,444000,4.991222
2005-10-03,4.38,4.89,4.02,4.49,469200,4.212516
2005-09-01,3.61,5.12,3.58,4.37,297500,4.099932
2005-08-01,3.26,3.68,3.25,3.55,190700,3.330609
2005-07-06,3.10,3.30,3.07,3.23,161500,3.030385
