Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.24,25.34,25.200001,25.299999,174600,21.727425
2013-03-01,24.93,25.370001,24.76,25.049999,65800,21.512728
2013-02-01,24.719999,24.950001,24.58,24.860001,70500,21.349558
2013-01-02,24.73,24.98,24.370001,24.58,87600,21.109097
2012-12-03,24.360001,24.83,24.110001,24.610001,55800,20.835606
2012-11-01,24.559999,24.690001,23.74,24.360001,67100,20.623947
2012-10-01,24.75,25.00,24.26,24.57,134400,20.801739
2012-09-04,24.280001,24.84,24.120001,24.67,105800,20.554939
2012-08-01,24.50,24.51,23.50,24.15,154400,20.121677
2012-07-23,24.34,24.50,23.75,24.50,372800,20.413296
