Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.65,24.75,24.50,24.58,2681000,20.823927
2013-03-01,24.700001,25.120001,24.08,24.620001,1806500,20.857817
2013-02-01,26.780001,27.01,24.68,24.93,1325600,21.120445
2013-01-02,25.52,26.719999,25.01,26.530001,854600,22.475948
2012-12-03,24.50,25.469999,23.969999,25.040001,837600,21.213636
2012-11-01,24.68,24.85,23.26,24.389999,906600,20.662962
2012-10-01,25.809999,26.33,24.459999,24.549999,969300,20.798512
2012-09-04,25.77,27.40,25.15,25.790001,995600,21.849028
2012-08-01,23.959999,25.860001,23.49,25.57,1086800,21.662645
2012-07-02,24.10,24.639999,22.82,23.790001,1391900,20.154648
2012-06-01,22.290001,24.17,22.00,23.860001,1607700,20.213951
2012-05-01,26.940001,27.16,22.370001,22.700001,1748500,19.231211
2012-04-02,27.030001,27.65,25.40,26.91,1578100,21.774395
2012-03-01,28.75,28.950001,26.43,27.110001,1555400,21.936228
2012-02-01,25.469999,28.950001,25.41,28.48,1981500,23.044771
2012-01-03,26.51,26.92,24.610001,25.26,2153000,20.439289
2011-12-01,25.690001,26.719999,24.209999,25.610001,1519100,20.722494
2011-11-01,24.049999,26.51,23.26,25.92,2099800,20.973331
2011-10-03,21.379999,27.280001,20.40,25.43,3793900,20.576845
2011-09-01,24.049999,24.290001,20.370001,21.549999,3225400,17.437317
2011-08-01,25.190001,25.23,20.120001,24.09,3948900,19.492575
2011-07-01,25.389999,25.940001,23.690001,24.57,2362800,19.88097
2011-06-01,26.15,26.200001,23.27,25.450001,1920300,20.593029
2011-05-02,29.25,29.33,23.889999,26.34,2514900,21.313177
2011-04-01,28.18,29.67,26.52,29.309999,1772100,22.719307
2011-03-01,26.780001,28.01,24.860001,27.639999,2809400,21.424826
2011-02-01,25.540001,26.66,23.190001,26.389999,2323400,20.455902
2011-01-03,24.10,24.66,23.18,24.42,1661200,18.928881
2010-12-01,20.450001,23.90,20.34,23.77,1807200,18.425041
2010-11-01,21.889999,22.200001,19.85,19.99,2477000,15.495017
2010-10-01,21.450001,22.32,21.01,21.83,1303800,16.921272
2010-09-01,19.34,21.209999,19.32,20.98,1401000,16.262403
2010-08-02,20.90,21.700001,18.389999,18.74,1384900,14.526094
2010-07-01,19.299999,21.65,18.82,20.33,1425600,15.758564
2010-06-01,19.84,21.85,19.139999,19.15,1699500,14.843901
2010-05-03,24.16,24.34,18.440001,20.10,3215400,15.580283
2010-04-01,23.60,25.17,23.469999,24.17,1244000,17.791424
2010-03-01,22.709999,23.790001,22.40,23.33,1499700,17.173103
2010-02-01,22.559999,23.610001,20.969999,22.469999,2005600,16.540062
2010-01-04,25.780001,26.68,22.200001,22.360001,1268800,16.459091
2009-12-01,25.17,25.700001,23.90,24.91,888100,18.336134
2009-11-02,23.58,26.41,23.139999,24.68,1075700,18.166832
2009-10-01,22.280001,25.790001,21.370001,23.66,1320900,17.416016
2009-09-01,21.530001,23.280001,21.08,22.540001,1016300,16.591589
2009-08-03,21.98,23.17,20.610001,21.84,970100,16.076323
2009-07-01,20.23,21.60,18.059999,21.450001,973400,15.789245
2009-06-01,21.459999,22.389999,18.68,19.77,1565400,14.552605
2009-05-01,18.620001,22.379999,18.620001,21.02,1734400,15.472724
2009-04-01,17.42,19.389999,17.00,18.60,1661800,12.958478
2009-03-02,16.049999,20.09,14.79,17.440001,1882900,12.150315
2009-02-02,16.299999,18.809999,15.98,16.66,2547400,11.606894
2009-01-02,16.879999,18.92,15.50,17.23,2532100,12.004009
2008-12-01,16.08,17.440001,12.86,16.66,2573000,11.606894
2008-11-03,20.030001,22.02,13.25,17.02,2629800,11.857704
2008-10-01,23.42,23.42,15.67,20.10,3517500,14.003516
2008-09-02,27.950001,28.139999,21.530001,23.799999,2134900,16.581278
2008-08-01,30.450001,31.67,27.85,30.629999,1157600,21.339685
2008-07-01,37.110001,37.299999,30.25,32.380001,1458900,22.558899
2008-06-02,38.040001,39.240002,35.50,37.380001,1430800,26.04236
2008-05-01,36.060001,43.310001,34.869999,39.150002,1590000,27.275507
2008-04-01,29.58,36.50,29.549999,36.169998,1789600,24.215
2008-03-03,30.57,31.40,27.629999,29.870001,1422300,19.997293
2008-02-01,26.559999,31.58,25.540001,30.540001,1570000,20.445845
2008-01-02,31.24,31.959999,23.68,26.280001,2468700,17.59387
2007-12-03,32.259998,34.23,28.51,30.52,1204700,20.432455
2007-11-01,33.200001,34.849998,29.700001,32.32,1026900,21.637514
2007-10-01,33.540001,35.560001,30.85,34.080002,1052300,22.815796
2007-09-04,29.18,34.849998,29.10,33.919998,787200,22.708675
2007-08-01,29.40,29.57,24.959999,28.780001,842300,19.267563
2007-07-02,31.23,33.59,28.209999,29.60,770200,19.816534
2007-06-01,27.709999,31.309999,27.059999,31.01,775100,20.760498
2007-05-01,28.200001,29.559999,26.10,27.299999,1039800,18.276735
2007-04-02,27.120001,28.90,26.700001,28.07,606100,17.758898
