Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,45.400002,45.400002,44.560001,44.900002,743000,34.376801
2013-03-01,42.990002,45.369999,42.119999,45.310001,454300,34.690708
2013-02-01,41.970001,46.869999,41.630001,43.049999,592200,32.475334
2013-01-02,37.00,42.41,36.419998,41.900002,310900,31.607819
2012-12-03,34.130001,36.639999,33.07,36.380001,209300,27.443733
2012-11-01,34.139999,34.540001,30.58,34.049999,226200,25.21891
2012-10-01,34.110001,36.700001,32.119999,34.139999,301800,25.285568
2012-09-04,34.00,35.50,32.869999,33.98,337100,25.167067
2012-08-01,34.57,35.75,33.299999,34.009998,292200,25.189283
2012-07-02,33.700001,35.700001,31.41,34.150002,304000,24.850533
2012-06-01,32.00,35.110001,30.950001,33.490002,456700,24.370258
2012-05-01,41.259998,42.00,32.209999,32.709999,555700,23.80266
2012-04-02,36.75,41.50,33.580002,41.310001,408100,29.558899
2012-03-01,36.240002,37.540001,34.709999,36.709999,380300,26.26742
2012-02-01,33.720001,40.169998,33.040001,36.040001,610200,25.400379
2012-01-03,29.559999,34.91,29.35,33.310001,359800,23.476322
2011-12-01,26.370001,29.68,25.530001,28.790001,257300,20.290703
2011-11-01,26.51,29.549999,24.610001,26.32,366100,18.549887
2011-10-03,24.58,31.25,22.35,27.83,422100,19.214293
2011-09-01,29.290001,29.75,24.50,24.940001,391400,17.21899
2011-08-01,31.68,31.77,23.690001,29.209999,502200,20.167067
2011-07-01,34.639999,35.860001,28.84,30.940001,512800,20.989363
2011-06-01,33.549999,34.689999,29.50,34.529999,389900,23.424778
2011-05-02,36.310001,36.799999,32.330002,33.73,381600,22.882067
2011-04-01,36.75,38.450001,35.610001,36.049999,583500,24.089054
2011-03-01,34.639999,38.400002,32.32,36.27,311900,24.236063
2011-02-01,31.440001,37.23,31.32,34.880001,167900,23.006552
2011-01-03,31.209999,32.75,29.610001,31.23,146700,20.599043
2010-12-01,28.83,31.709999,28.780001,30.870001,157900,20.361589
2010-11-01,28.15,30.790001,27.35,28.33,223700,18.686228
2010-10-01,24.50,28.629999,23.50,28.02,373300,18.227184
2010-09-01,21.90,25.440001,21.709999,24.219999,196900,15.75526
2010-08-02,27.68,27.860001,21.09,21.32,163600,13.868792
2010-07-01,22.50,28.969999,20.940001,26.940001,192800,17.251547
2010-06-01,23.74,27.190001,20.43,22.469999,200600,14.389095
2010-05-03,26.200001,26.98,20.50,23.99,270600,15.170346
2010-04-01,20.17,26.16,19.85,25.99,236900,16.435068
2010-03-01,18.370001,20.290001,17.780001,19.98,223800,12.634577
2010-02-01,14.18,18.530001,12.91,18.23,92800,11.372246
2010-01-04,13.39,15.72,13.22,14.10,63700,8.795868
2009-12-01,13.86,14.33,12.89,13.23,79300,8.253144
2009-11-02,11.92,14.09,11.10,13.66,87100,8.521387
2009-10-01,14.08,15.19,11.48,11.86,71700,7.393114
2009-09-01,12.19,14.65,11.42,14.22,91800,8.864257
2009-08-03,11.15,12.83,8.81,12.32,117400,7.673629
2009-07-01,11.02,11.71,9.25,11.09,83700,6.907512
2009-06-01,10.33,11.21,9.18,10.90,92700,6.789168
2009-05-01,9.53,11.46,9.15,9.93,130600,6.184995
2009-04-01,7.20,9.84,5.96,9.58,140300,5.960979
2009-03-02,7.29,8.33,5.51,7.32,174600,4.554736
2009-02-02,10.34,11.35,6.65,7.46,137900,4.633844
2009-01-02,14.04,14.40,10.25,10.48,100200,6.509744
2008-12-01,11.09,14.75,9.38,14.10,132200,8.758339
2008-11-03,16.50,17.15,8.00,11.29,151800,7.012883
2008-10-01,20.65,20.82,12.88,16.559999,112600,9.964061
2008-09-02,24.530001,25.33,20.059999,20.82,107800,12.52728
2008-08-01,25.459999,26.959999,23.629999,24.58,121200,14.789651
2008-07-01,22.58,26.780001,22.540001,25.299999,136300,14.978904
2008-06-02,26.82,27.049999,22.58,22.74,118700,13.463252
2008-05-01,24.190001,28.35,24.07,26.870001,177600,15.908426
2008-04-01,23.870001,25.65,22.51,24.209999,66400,14.115608
2008-03-03,20.870001,25.26,20.559999,23.57,108100,13.742457
2008-02-01,22.209999,23.469999,19.780001,20.870001,91700,11.963879
2008-01-02,22.77,23.09,20.700001,22.01,149700,12.617392
2007-12-03,22.67,25.290001,22.389999,22.77,85000,13.053067
2007-11-01,23.18,23.99,20.959999,22.65,98200,12.984276
2007-10-01,25.01,25.459999,23.10,23.610001,85100,13.311014
2007-09-04,25.00,27.83,23.10,25.07,99500,14.134143
2007-08-01,26.00,28.120001,22.620001,25.08,120000,14.13978
2007-07-02,29.90,30.280001,25.549999,26.280001,73000,14.617467
2007-06-01,26.17,30.75,26.17,29.709999,127300,16.525301
2007-05-01,24.85,26.879999,24.84,26.02,74000,14.472849
2007-04-02,24.09,27.43,23.940001,25.01,89200,13.712262
2007-03-01,23.57,25.75,22.75,24.00,58100,13.158508
2007-02-01,26.459999,26.90,23.75,23.969999,29600,13.142059
2007-01-03,26.90,27.889999,24.200001,26.360001,38500,14.283657
2006-12-01,24.83,27.67,23.030001,26.690001,42300,14.462474
2006-11-01,23.280001,25.52,22.25,24.90,64800,13.492529
2006-10-02,21.26,24.200001,20.98,23.18,41200,12.43541
2006-09-01,23.559999,23.98,20.889999,21.209999,56100,11.378561
2006-08-01,24.18,24.18,20.18,23.459999,71500,12.475896
2006-07-03,24.01,25.60,23.290001,24.280001,51200,12.911967
2006-06-01,23.40,24.10,21.60,24.10,112300,12.816244
2006-05-01,25.700001,27.700001,22.50,23.209999,126800,12.342947
2006-04-03,24.110001,26.799999,23.93,25.700001,68600,13.667116
2006-03-01,21.34,24.24,21.110001,24.110001,69000,12.821563
2006-02-01,21.25,21.90,21.00,21.34,39100,11.348492
2006-01-03,20.65,22.16,20.280001,21.360001,84100,11.359128
2005-12-01,18.66,20.889999,18.48,20.65,127200,10.981553
2005-11-01,18.10,18.799999,17.049999,18.690001,69800,9.939237
2005-10-12,18.00,18.60,17.75,18.110001,378800,9.630796
