Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,58.599998,59.02,58.169998,58.639999,53400,58.639999
2013-03-01,57.380001,59.740002,56.610001,58.689999,31700,58.689999
2013-02-01,46.869999,57.970001,46.849998,57.040001,38900,57.040001
2013-01-02,48.50,50.00,45.799999,46.630001,10500,46.630001
2012-12-03,46.32,49.040001,44.00,48.48,27300,48.48
2012-11-01,46.50,46.959999,45.450001,46.310001,14300,46.310001
2012-10-01,45.700001,46.610001,45.18,46.25,11300,46.25
2012-09-04,43.00,49.07,42.549999,45.689999,31000,45.689999
2012-08-01,41.59,43.240002,39.25,42.740002,40500,42.740002
2012-07-02,37.02,44.799999,35.50,40.700001,16900,40.700001
2012-06-01,36.919998,39.66,34.84,37.07,26700,37.07
2012-05-01,44.009998,44.700001,34.849998,37.00,54700,37.00
2012-04-02,38.299999,49.900002,38.209999,44.080002,52600,44.080002
2012-03-01,38.00,39.950001,34.00,38.110001,33800,38.110001
2012-02-01,31.50,38.599998,30.50,38.00,15900,38.00
2012-01-03,28.65,33.00,28.65,31.75,14300,31.75
2011-12-01,28.75,29.50,27.50,29.50,11700,29.50
2011-11-01,24.299999,29.50,24.25,28.90,20700,28.90
2011-10-03,19.75,24.50,19.25,24.50,41600,24.50
2011-09-01,20.35,20.49,17.90,20.299999,8300,20.299999
2011-08-01,20.950001,21.50,18.25,20.35,15300,20.35
2011-07-01,20.85,22.23,20.51,21.74,17300,21.74
2011-06-01,19.75,20.879999,19.25,20.65,27200,20.65
2011-05-02,14.60,19.700001,14.60,19.50,33600,19.50
2011-04-01,14.30,14.65,14.11,14.65,23200,14.65
2011-03-01,14.15,14.55,14.11,14.25,3900,14.25
2011-02-01,14.75,14.75,14.00,14.54,20600,14.54
2011-01-03,14.45,14.90,14.00,14.65,22600,14.65
2010-12-01,14.00,14.50,13.06,14.49,21600,14.49
2010-11-01,11.75,14.50,11.65,14.00,19500,14.00
2010-10-01,11.26,11.75,10.70,11.65,6900,11.65
2010-09-01,11.86,13.10,10.83,11.02,9100,11.02
2010-08-02,11.50,12.20,11.15,11.75,1400,11.75
2010-07-01,12.90,13.00,11.50,11.68,1900,11.68
2010-06-01,13.01,14.00,12.90,13.00,5700,13.00
2010-05-03,13.36,14.39,12.51,14.10,11200,14.10
2010-04-01,13.20,13.60,12.81,13.34,4500,13.34
2010-03-01,10.35,13.55,10.20,13.30,20200,13.30
2010-02-01,10.25,10.88,9.60,10.27,9300,10.27
2010-01-04,8.25,10.62,8.25,10.00,6300,10.00
2009-12-01,8.75,9.40,7.65,8.88,4800,8.88
2009-11-02,9.01,9.80,8.80,9.20,9900,9.20
2009-10-01,8.75,10.25,8.75,9.01,3500,9.01
2009-09-01,9.10,9.60,8.85,9.20,11800,9.20
2009-08-03,8.85,9.25,8.80,9.20,19900,9.20
2009-07-01,8.75,8.95,8.50,8.95,4800,8.95
2009-06-01,9.10,9.10,8.65,8.75,3700,8.75
2009-05-01,8.55,9.25,7.50,9.00,4700,9.00
2009-04-01,9.48,9.48,8.42,8.58,7900,8.58
2009-03-02,9.30,9.48,7.80,9.00,11500,9.00
2009-02-02,9.40,9.95,9.20,9.30,6000,9.30
2009-01-02,8.21,9.75,8.10,9.25,11400,9.25
2008-12-01,9.00,9.70,7.60,7.70,13400,7.70
2008-11-03,7.30,9.40,6.05,9.40,22000,9.40
2008-10-01,9.90,10.85,7.00,7.30,42600,7.30
2008-09-02,9.95,10.00,9.00,9.87,49200,9.87
2008-08-01,10.00,10.05,9.70,9.80,20200,9.80
2008-07-01,9.45,9.90,8.82,9.75,51100,9.75
2008-06-02,9.50,9.70,8.68,9.40,15100,9.40
2008-05-01,8.25,9.51,8.15,9.50,26500,9.50
2008-04-01,8.00,9.30,7.75,8.25,24500,8.25
2008-03-03,7.50,8.30,7.00,7.80,36000,7.80
2008-02-01,7.60,8.80,7.25,7.75,48600,7.75
2008-01-02,7.65,7.85,5.00,7.50,59200,7.50
2007-12-03,7.45,7.75,7.30,7.70,95400,7.70
2007-11-01,7.35,7.55,7.05,7.40,58400,7.40
2007-10-01,7.60,7.61,7.25,7.35,39400,7.35
2007-09-04,7.53,7.83,7.30,7.60,60800,7.60
2007-08-01,7.05,7.59,6.65,7.55,240000,7.55
2007-07-02,6.55,7.52,6.25,7.15,107200,7.15
2007-06-01,7.48,7.50,6.65,6.65,198600,6.65
2007-05-01,5.95,7.60,5.70,7.50,432700,7.50
2007-04-02,7.50,8.15,5.70,5.75,243300,5.75
2007-03-01,9.08,9.90,7.55,7.56,153100,7.56
2007-02-01,9.50,9.96,8.65,9.10,218200,9.10
2007-01-03,9.86,10.49,7.61,9.19,232300,9.19
2006-12-01,10.00,12.95,9.40,10.00,600200,10.00
2006-11-01,10.41,10.81,10.00,10.03,356400,10.03
2006-10-02,13.26,13.44,10.15,10.44,344200,10.44
