Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.41,5.55,5.41,5.52,2600,5.52
2013-03-01,5.15,5.78,5.15,5.37,1300,5.37
2013-02-01,4.20,6.50,4.17,5.00,3100,5.00
2013-01-02,4.34,4.79,4.10,4.15,1100,4.15
2012-12-03,3.62,4.34,3.60,4.34,800,4.34
2012-11-01,4.45,4.55,3.46,3.62,900,3.62
2012-10-01,5.47,5.95,4.45,4.45,2100,4.45
2012-09-04,4.33,6.01,3.77,5.50,5000,5.50
2012-08-01,3.03,4.43,3.02,4.23,1900,4.23
2012-07-02,2.83,3.25,2.79,3.10,700,3.10
2012-06-01,2.84,2.84,2.44,2.79,1400,2.79
2012-05-01,2.86,3.45,2.79,2.84,900,2.84
2012-04-02,2.48,3.38,2.35,2.82,2800,2.82
2012-03-01,2.13,2.48,1.75,2.41,600,2.41
2012-02-01,2.53,2.60,2.16,2.16,400,2.16
2012-01-03,1.65,3.13,1.65,2.53,4600,2.53
2011-12-01,1.83,2.00,1.56,1.64,1000,1.64
2011-11-01,1.80,1.90,1.80,1.80,400,1.80
2011-10-03,2.34,2.35,1.80,1.80,700,1.80
2011-09-01,2.52,2.65,2.14,2.47,500,2.47
2011-08-01,1.85,3.91,1.85,2.52,11500,2.52
2011-07-01,2.17,2.18,1.70,1.85,9100,1.85
2011-06-01,2.35,2.62,2.06,2.19,5700,2.19
2011-05-02,3.27,3.40,2.28,2.47,7700,2.47
2011-04-01,3.64,4.34,3.01,3.18,3200,3.18
2011-03-01,4.22,4.64,3.50,3.55,3400,3.55
2011-02-01,5.01,5.50,3.26,4.17,30000,4.17
2011-01-03,6.98,7.20,5.00,5.00,2800,5.00
2010-12-01,8.35,8.45,6.05,6.71,2800,6.71
2010-11-01,9.00,9.45,8.40,8.60,2100,8.60
2010-10-01,8.90,9.30,8.26,9.22,1500,9.22
2010-09-01,9.57,10.05,8.81,8.99,1400,8.99
2010-08-02,8.96,9.70,8.50,9.70,1600,9.70
2010-07-01,9.16,10.50,8.48,8.98,3100,8.98
2010-06-01,9.37,10.00,8.04,9.23,8200,9.23
2010-05-03,10.37,11.10,9.17,9.37,3000,9.37
2010-04-01,12.30,12.30,10.24,10.31,3300,10.31
2010-03-01,12.10,13.13,11.15,12.52,4500,12.52
2010-02-01,11.17,12.98,10.58,12.25,3700,12.25
2010-01-04,11.90,12.11,10.60,11.21,5000,11.21
2009-12-01,10.93,12.50,10.54,11.91,2700,11.91
2009-11-02,11.28,11.69,10.23,10.93,2100,10.93
2009-10-01,11.61,12.50,10.50,10.87,2600,10.87
2009-09-01,10.92,12.46,10.16,11.70,2800,11.70
2009-08-03,13.35,13.75,10.56,10.56,3400,10.56
2009-07-01,12.57,14.50,10.85,13.75,7900,13.75
2009-06-01,13.41,13.67,11.70,12.07,7000,12.07
2009-05-01,10.91,14.12,10.55,12.72,1200,12.72
2009-04-01,10.92,11.95,10.92,11.11,700,11.11
2009-03-02,10.76,12.40,10.65,11.01,900,11.01
2009-02-02,9.62,13.70,8.04,10.85,3900,10.85
2009-01-02,11.50,12.50,8.53,10.00,1100,10.00
2008-12-01,12.00,12.35,10.00,11.50,600,11.50
2008-11-03,12.02,13.44,10.15,12.00,1100,12.00
2008-10-01,10.50,12.00,9.15,11.27,1800,11.27
2008-09-02,12.98,12.98,10.25,10.80,1000,10.80
2008-08-01,14.60,14.60,12.70,12.98,900,12.98
2008-07-01,15.00,15.12,14.01,14.60,800,14.60
2008-06-02,15.74,17.389999,14.69,14.76,1700,14.76
2008-05-01,18.790001,19.25,16.209999,16.59,3400,16.59
2008-04-01,17.879999,20.50,17.209999,18.790001,4000,18.790001
2008-03-03,15.51,17.99,15.51,17.120001,2400,17.120001
2008-02-01,14.99,16.00,13.88,15.57,2700,15.57
2008-01-02,15.89,15.89,14.32,14.69,1300,14.69
2007-12-03,15.90,16.040001,15.37,15.46,1400,15.46
2007-11-01,15.28,16.299999,15.23,15.95,1500,15.95
2007-10-01,15.60,16.10,14.69,15.29,2000,15.29
2007-09-04,15.70,15.86,14.60,15.60,1100,15.60
2007-08-01,17.18,17.75,15.42,15.76,1900,15.76
2007-07-02,16.91,17.83,16.25,17.629999,1200,17.629999
2007-06-01,15.87,17.049999,15.46,16.91,1400,16.91
2007-05-01,16.15,18.690001,15.31,15.70,2300,15.70
2007-04-02,12.97,16.559999,12.97,16.129999,6200,16.129999
2007-03-01,13.72,13.75,12.48,12.78,1200,12.78
2007-02-01,12.15,13.98,11.50,13.82,1600,13.82
2007-01-03,13.80,13.80,11.85,12.15,1200,12.15
2006-12-01,14.75,16.27,13.80,13.90,1900,13.90
2006-11-01,13.62,14.77,13.62,14.77,1300,14.77
2006-10-02,13.44,13.59,13.05,13.44,500,13.44
2006-09-01,13.45,13.45,12.00,13.45,1100,13.45
2006-08-01,13.08,13.72,13.07,13.28,400,13.28
2006-07-03,13.50,13.50,12.75,13.08,400,13.08
2006-06-01,13.56,13.76,12.95,13.50,600,13.50
2006-05-01,15.57,15.74,13.65,13.86,900,13.86
2006-04-03,17.75,18.219999,15.51,15.71,1100,15.71
2006-03-01,16.40,19.719999,15.45,17.25,2400,17.25
2006-02-01,16.24,16.50,15.60,16.200001,800,16.200001
2006-01-03,16.65,16.99,16.10,16.25,400,16.25
2005-12-01,18.549999,18.549999,16.50,16.65,500,16.65
2005-11-01,18.889999,19.10,18.41,18.559999,400,18.559999
2005-10-03,19.790001,19.790001,18.76,18.90,600,18.90
2005-09-01,20.200001,20.200001,19.60,19.799999,300,19.799999
2005-08-01,20.90,21.15,20.059999,20.25,300,20.25
2005-07-01,21.139999,21.450001,20.799999,21.00,600,21.00
2005-06-01,20.10,22.190001,20.01,21.24,1700,21.24
2005-05-02,19.91,20.200001,18.90,20.200001,1900,20.200001
2005-04-01,18.99,20.40,18.719999,19.91,2000,19.91
2005-03-01,15.71,20.25,15.71,19.09,3000,19.09
2005-02-01,14.74,15.61,14.74,15.61,1000,15.61
2005-01-03,14.32,15.05,14.00,14.84,800,14.84
2004-12-01,14.05,14.40,13.61,14.25,1300,14.25
2004-11-01,14.10,14.50,13.55,13.90,1000,13.90
2004-10-01,13.71,14.69,13.50,14.00,800,14.00
2004-09-01,12.95,13.85,12.40,13.72,1000,13.72
2004-08-02,12.94,13.04,12.60,12.95,400,12.95
2004-07-01,13.51,13.60,12.60,12.95,700,12.95
2004-06-01,13.20,13.61,13.20,13.51,5400,13.51
2004-05-03,12.95,13.50,10.99,13.20,3200,13.20
2004-04-01,14.60,14.60,12.75,12.94,1400,12.94
2004-03-01,14.85,15.23,14.39,14.51,1100,14.51
2004-02-02,16.200001,16.200001,14.60,14.85,900,14.85
2004-01-02,16.73,17.33,16.299999,16.299999,1900,16.299999
2003-12-01,14.24,16.73,14.10,16.73,8400,16.73
2003-11-03,13.17,15.00,13.17,14.23,2900,14.23
2003-10-01,11.89,13.34,11.25,13.11,6400,13.11
2003-09-02,14.30,14.65,11.50,11.79,8900,11.79
2003-08-01,15.95,15.95,13.00,14.20,5000,14.20
2003-07-01,14.69,16.700001,14.30,16.049999,5000,16.049999
2003-06-02,17.200001,18.200001,13.55,14.70,11500,14.70
2003-05-01,18.00,18.10,17.219999,17.23,800,17.23
2003-04-01,18.35,19.15,17.85,18.00,1200,18.00
2003-03-03,17.440001,18.700001,17.049999,18.450001,1600,18.450001
2003-02-03,17.00,17.450001,16.23,17.450001,3400,17.450001
2003-01-02,17.65,17.65,16.50,17.02,2900,17.02
2002-12-02,17.450001,17.75,17.25,17.639999,3200,17.639999
2002-11-01,17.84,18.00,17.23,17.50,1400,17.50
2002-10-01,16.40,17.799999,15.80,17.799999,4100,17.799999
2002-09-03,17.110001,17.110001,16.200001,16.49,1700,16.49
2002-08-01,20.10,20.200001,17.00,17.120001,1800,17.120001
2002-07-01,19.83,21.82,18.700001,20.10,7200,20.10
2002-06-03,17.25,20.549999,16.40,19.82,14000,19.82
2002-05-01,17.200001,17.450001,17.00,17.25,1900,17.25
2002-04-01,16.50,17.299999,16.27,17.25,1900,17.25
2002-03-01,16.60,16.700001,16.299999,16.60,1500,16.60
2002-02-01,15.75,16.82,15.60,16.60,2100,16.60
2002-01-02,16.00,16.15,15.50,15.86,1200,15.86
2001-12-03,15.90,16.049999,15.50,16.049999,1100,16.049999
2001-11-01,16.60,16.75,15.63,15.95,2100,15.95
2001-10-01,13.25,16.85,11.80,16.50,3300,16.50
