Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,58.650002,58.650002,56.98,57.02,2191000,57.02
2013-03-01,58.240002,60.119999,55.75,58.509998,1847000,58.509998
2013-02-01,67.150002,67.910004,57.849998,58.060001,2710600,58.060001
2013-01-02,63.130001,69.650002,60.650002,66.660004,1529800,66.660004
2012-12-03,60.00,64.25,56.099998,61.889999,1577700,61.889999
2012-11-01,60.650002,65.459999,58.639999,59.48,2599000,59.48
2012-10-01,75.669998,77.029999,66.150002,68.309998,1836900,68.309998
2012-09-04,76.379997,80.970001,72.480003,75.410004,1670300,75.410004
2012-08-01,67.889999,77.879997,64.440002,76.379997,1582700,76.379997
2012-07-02,71.949997,73.339996,62.049999,67.620003,1881800,67.620003
2012-06-01,64.860001,73.739998,64.110001,72.010002,1722500,72.010002
2012-05-01,70.660004,79.889999,65.00,66.480003,2797500,66.480003
2012-04-02,68.269997,71.019997,66.120003,69.779999,1283700,69.779999
2012-03-01,66.790001,69.699997,63.369999,68.150002,1244400,68.150002
2012-02-01,54.009998,67.019997,53.580002,66.550003,2015000,66.550003
2012-01-03,49.669998,54.48,47.330002,53.560001,1572400,53.560001
2011-12-01,54.009998,54.970001,43.77,48.509998,1919200,48.509998
2011-11-01,57.73,58.889999,49.459999,54.23,1953000,54.23
2011-10-03,52.799999,62.619999,49.25,59.66,2166400,59.66
2011-09-01,52.330002,58.049999,47.040001,53.529999,2067500,53.529999
2011-08-01,55.66,58.369999,43.189999,52.360001,3250100,52.360001
2011-07-01,60.25,62.709999,53.509998,54.959999,1995600,54.959999
2011-06-01,55.709999,60.400002,52.639999,60.200001,1798000,60.200001
2011-05-02,56.509998,56.580002,51.43,55.790001,1637600,55.790001
2011-04-01,50.889999,56.110001,49.32,55.919998,1335800,55.919998
2011-03-01,47.950001,51.400002,46.09,50.700001,1716400,50.700001
2011-02-01,43.360001,49.75,43.27,47.82,1694400,47.82
2011-01-03,41.599998,46.709999,41.59,42.990002,1788900,42.990002
2010-12-01,41.610001,43.830002,41.02,41.16,1098800,41.16
2010-11-01,39.77,41.98,38.509998,41.09,1379300,41.09
2010-10-01,39.00,39.98,36.830002,39.360001,1398000,39.360001
2010-09-01,33.110001,39.349998,33.07,38.560001,2189500,38.560001
2010-08-02,32.189999,34.299999,29.120001,32.740002,1912800,32.740002
2010-07-01,30.389999,33.73,29.370001,31.799999,1432200,31.799999
2010-06-01,31.75,34.610001,30.40,30.48,2311800,30.48
2010-05-03,29.17,34.549999,28.25,31.940001,2727600,31.940001
2010-04-01,29.00,31.190001,28.00,29.07,1581900,29.07
2010-03-01,30.469999,30.969999,28.200001,28.889999,1365800,28.889999
2010-02-01,28.129999,30.629999,26.799999,30.49,1515500,30.49
2010-01-04,31.780001,31.780001,27.290001,27.969999,1537800,27.969999
2009-12-01,29.75,32.240002,29.129999,31.43,1582900,31.43
2009-11-02,28.00,31.24,27.77,29.299999,1643800,29.299999
2009-10-01,27.530001,29.75,25.879999,27.879999,1340000,27.879999
2009-09-01,26.950001,28.629999,25.120001,27.52,1578800,27.52
2009-08-03,24.91,28.02,24.60,26.93,1678400,26.93
2009-07-01,23.33,25.41,21.43,24.57,1210900,24.57
2009-06-01,21.860001,24.42,21.58,23.43,1622500,23.43
2009-05-01,16.74,23.459999,16.25,21.60,2656300,21.60
2009-04-01,16.209999,17.120001,15.10,16.719999,2063000,16.719999
2009-03-02,15.19,17.34,14.60,16.219999,2461900,16.219999
2009-02-02,13.03,15.77,12.75,15.46,2789100,15.46
2009-01-02,14.99,16.049999,13.10,13.13,1215400,13.13
2008-12-01,12.99,15.68,12.62,14.83,1056800,14.83
2008-11-03,15.44,17.49,11.11,13.43,1358500,13.43
2008-10-01,19.40,19.700001,14.03,15.39,1915700,15.39
2008-09-02,25.030001,25.16,17.90,19.50,2058600,19.50
2008-08-01,23.440001,25.879999,22.219999,24.57,1293100,24.57
2008-07-01,22.77,23.559999,21.610001,23.42,1176300,23.42
2008-06-02,27.059999,27.16,22.51,23.139999,1512700,23.139999
2008-05-01,21.299999,27.32,21.08,27.01,1306800,27.01
2008-04-01,22.02,22.719999,20.110001,21.290001,1207100,21.290001
2008-03-03,25.25,26.530001,21.40,22.059999,1146500,22.059999
2008-02-01,23.889999,27.040001,21.10,25.23,1460600,25.23
2008-01-02,27.41,27.90,22.129999,23.799999,1607000,23.799999
2007-12-03,25.530001,27.809999,25.379999,27.41,905100,27.41
2007-11-01,27.83,28.23,22.35,25.959999,1255700,25.959999
2007-10-01,26.450001,30.08,26.00,28.530001,2230300,28.530001
