Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.379999,25.379999,25.34,25.379999,3600,20.781853
2013-03-01,25.459999,25.709999,25.26,25.379999,3400,20.781853
2013-02-01,25.42,25.610001,25.27,25.49,4200,20.535305
2013-01-02,25.23,25.950001,25.10,25.379999,4400,20.446686
2012-12-03,25.360001,25.50,25.040001,25.24,2800,20.3339
2012-11-01,25.290001,25.540001,25.08,25.48,3800,20.193592
2012-10-01,25.66,25.940001,25.190001,25.33,3900,20.074713
2012-09-04,25.76,26.25,25.549999,25.799999,3400,20.447199
2012-08-01,25.67,26.129999,25.50,25.74,4200,20.07407
2012-07-02,25.459999,25.98,25.459999,25.700001,2600,20.042877
2012-06-01,25.33,25.969999,25.209999,25.58,3300,19.949291
2012-05-01,25.290001,25.450001,24.90,25.34,5800,19.444145
2012-04-02,25.08,25.450001,25.01,25.360001,3600,19.459492
2012-03-01,25.75,25.85,25.00,25.00,4900,19.183252
2012-02-01,25.299999,26.00,25.200001,25.870001,5700,19.527277
2012-01-03,25.07,25.690001,25.059999,25.219999,8700,19.03664
2011-12-01,25.26,25.530001,25.049999,25.15,3500,18.983803
2011-11-01,25.34,25.42,25.049999,25.33,3700,18.809624
2011-10-03,25.10,25.25,24.18,25.25,6100,18.750217
2011-09-01,25.00,25.309999,24.40,25.09,6900,18.631405
2011-08-01,24.35,25.00,20.25,25.00,10500,18.258244
2011-07-01,24.799999,25.24,24.10,24.34,6900,17.776226
2011-06-01,24.709999,24.950001,24.49,24.85,7900,18.148695
2011-05-02,24.639999,25.00,24.610001,24.68,9500,17.724854
2011-04-01,24.65,25.99,24.030001,24.60,4000,17.667398
2011-03-01,24.90,24.99,24.379999,24.59,5300,17.660217
2011-02-01,24.709999,24.99,24.540001,24.889999,6800,17.576662
2011-01-03,24.959999,25.00,24.15,24.65,4700,17.407181
2010-12-01,25.02,25.10,24.10,24.85,3300,17.548416
2010-11-01,24.43,25.040001,23.940001,25.040001,6200,17.386688
2010-10-01,25.09,25.129999,24.16,24.26,13700,16.845089
2010-09-01,24.959999,25.65,24.799999,25.00,12800,17.358913
2010-08-02,24.799999,25.190001,23.959999,24.950001,6700,17.03879
2010-07-01,23.60,24.940001,23.200001,24.799999,8800,16.936352
2010-06-01,22.60,24.299999,22.559999,23.549999,21500,16.082705
2010-05-03,23.75,23.889999,21.50,22.549999,16600,15.132246
2010-04-01,24.17,24.17,23.40,23.799999,3700,15.971062
2010-03-01,23.25,24.950001,23.200001,24.17,16000,16.219353
2010-02-01,23.01,23.35,22.690001,23.299999,7100,15.373891
2010-01-04,23.469999,23.549999,22.49,23.030001,6900,15.195739
2009-12-01,21.549999,23.26,21.370001,23.26,3700,15.347498
2009-11-02,21.35,21.65,20.969999,21.59,3200,13.989506
2009-10-01,21.35,22.379999,21.07,21.690001,4800,14.054302
2009-09-01,20.68,22.08,20.42,21.360001,4800,13.840474
2009-08-03,20.129999,20.870001,20.00,20.860001,6000,13.258978
2009-07-01,18.50,20.129999,18.50,19.950001,4300,12.680566
2009-06-01,18.059999,18.809999,17.48,18.530001,4800,11.777989
2009-05-01,15.74,18.00,15.62,18.00,9600,11.187138
2009-04-01,15.60,16.25,15.00,15.65,6900,9.726594
2009-03-02,13.75,16.25,11.60,15.35,53300,9.540143
2009-02-02,16.00,16.530001,13.33,14.25,2900,8.615103
2009-01-02,13.85,17.049999,13.85,16.120001,5300,9.745646
2008-12-01,11.88,13.95,11.31,13.80,2800,8.343047
2008-11-03,14.78,14.98,10.10,12.00,5800,7.032507
2008-10-01,16.219999,17.23,14.04,15.00,6100,8.790633
2008-09-02,18.309999,19.219999,15.25,16.00,7100,9.376676
2008-08-01,18.379999,19.48,17.50,18.51,2500,10.583779
2008-07-01,20.17,20.290001,17.709999,18.290001,8500,10.457987
2008-06-02,20.110001,21.049999,19.67,19.98,3700,11.424306
2008-05-01,19.77,20.65,19.75,20.08,3300,11.249502
2008-04-01,19.799999,20.200001,19.370001,19.84,4500,11.115047
2008-03-03,21.48,21.540001,17.870001,19.469999,7600,10.90776
2008-02-01,20.040001,21.74,20.040001,21.57,7300,11.835352
2008-01-02,19.200001,20.129999,18.65,20.00,11300,10.973901
2007-12-03,18.799999,19.700001,17.870001,19.200001,20700,10.534945
2007-11-01,20.25,20.35,18.00,18.870001,9200,10.120913
2007-10-01,20.940001,21.469999,20.030001,20.15,6200,10.807439
2007-09-04,20.42,21.450001,19.870001,21.02,4100,11.274064
2007-08-01,20.77,20.77,19.34,20.440001,6600,10.750398
2007-07-02,21.860001,22.790001,20.33,20.799999,6700,10.939739
2007-06-01,23.32,23.74,21.629999,21.860001,9100,11.497246
2007-05-01,24.440001,24.52,22.67,23.43,13400,12.094311
2007-04-02,24.190001,25.15,24.120001,24.51,7400,12.651795
2007-03-01,24.73,25.07,23.75,24.15,6800,12.465966
2007-02-01,24.60,25.15,24.60,24.73,5000,12.552429
2007-01-03,24.75,25.15,24.290001,24.639999,4600,12.506747
2006-12-01,25.34,25.34,24.299999,24.75,9800,12.562581
2006-11-01,24.60,25.25,24.559999,25.10,6300,12.529171
2006-10-02,24.200001,25.15,24.15,24.799999,5100,12.379419
2006-09-01,24.35,24.549999,23.60,24.120001,3900,12.039985
2006-08-01,23.91,24.549999,23.73,24.450001,4500,11.995052
2006-07-03,23.01,24.50,22.91,24.00,3300,11.774284
2006-06-01,23.00,23.50,22.700001,22.91,2700,11.239535
2006-05-01,22.879999,23.40,22.60,23.15,7000,11.155911
2006-04-03,24.950001,24.99,22.27,22.879999,12800,11.0258
2006-03-01,24.639999,25.15,24.200001,24.90,4100,11.999231
2006-02-01,22.459999,24.68,22.42,24.60,10200,11.656366
2006-01-03,24.459999,24.49,21.85,22.440001,11700,10.632881
2005-12-01,23.969999,24.940001,23.870001,24.379999,51000,11.552122
2005-11-01,24.370001,24.74,22.75,23.950001,8100,11.158393
2005-10-03,25.049999,25.51,24.08,24.34,5600,11.340095
2005-09-01,25.629999,25.90,24.84,25.08,7900,11.684863
2005-08-01,25.17,26.18,25.16,25.75,9400,11.802091
2005-07-01,24.99,25.92,24.860001,25.10,16100,11.504174
2005-06-01,24.85,25.00,24.559999,24.940001,43600,11.43084
2005-05-02,24.74,24.85,24.40,24.85,57900,11.200145
2005-04-12,24.76,25.07,24.35,24.719999,33800,11.141552
