Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.55,14.68,14.37,14.54,268200,12.688138
2013-03-01,12.12,15.88,11.90,14.51,435000,12.66196
2013-02-01,16.00,16.01,12.17,12.29,462200,10.724706
2013-01-02,11.74,15.87,11.72,15.87,544800,13.848745
2012-12-03,10.04,12.23,9.93,11.38,196500,9.930606
2012-11-01,9.83,10.47,9.12,10.12,169800,8.831083
2012-10-01,10.10,10.81,9.78,9.84,145700,8.586745
2012-09-04,11.27,11.37,9.19,10.01,310400,8.735094
2012-08-01,12.14,12.41,11.06,11.16,157800,9.738626
2012-07-02,11.87,12.37,11.08,12.14,187100,10.59381
2012-06-01,11.98,12.44,10.00,11.81,281500,10.30584
2012-05-01,14.62,14.62,11.91,12.11,374200,10.567631
2012-04-02,17.719999,17.92,13.89,14.63,555700,11.941328
2012-03-01,18.530001,19.27,17.219999,17.719999,286200,14.463453
2012-02-01,21.15,22.26,18.02,18.459999,366700,15.067457
2012-01-03,18.27,22.33,18.27,20.950001,267000,17.099852
2011-12-01,18.83,19.809999,17.129999,17.879999,241700,14.594049
2011-11-01,19.889999,20.559999,17.25,18.879999,260600,15.410271
2011-10-03,18.540001,22.17,16.90,20.08,315200,16.389738
2011-09-01,23.309999,23.33,18.129999,18.629999,267000,15.206216
2011-08-01,25.780001,25.99,22.02,23.129999,252700,18.879215
2011-07-01,26.26,26.90,24.639999,25.290001,196700,20.642256
2011-06-01,24.10,26.309999,22.57,26.059999,202400,21.270744
2011-05-02,22.77,25.09,22.040001,24.10,168100,19.67095
2011-04-01,25.059999,25.940001,21.459999,22.82,157400,18.626186
2011-03-01,23.77,25.40,22.040001,24.799999,162200,19.300726
2011-02-01,26.110001,26.90,22.940001,23.59,185400,18.359037
2011-01-03,25.120001,27.23,25.10,25.82,278700,20.094547
2010-12-01,24.389999,26.17,24.200001,24.889999,179200,19.37077
2010-11-01,23.950001,26.01,23.26,24.24,223900,18.518452
2010-10-01,21.43,27.15,21.16,23.84,338600,18.212866
2010-09-01,19.00,22.610001,18.799999,21.18,151000,16.180727
2010-08-02,18.379999,21.040001,18.24,18.809999,242800,14.370134
2010-07-01,16.379999,19.08,15.76,18.25,120200,13.942316
2010-06-01,16.299999,18.639999,16.10,16.43,135500,12.551905
2010-05-03,19.440001,20.360001,14.79,16.299999,279200,12.452588
2010-04-01,18.76,21.959999,18.74,19.549999,149800,14.935467
2010-03-01,16.059999,19.00,15.73,18.74,143400,13.682233
2010-02-01,17.00,18.16,15.32,16.09,151200,11.747446
2010-01-04,17.209999,18.98,16.15,16.84,131600,12.295027
2009-12-01,16.43,17.120001,16.00,16.82,76800,12.280425
2009-11-02,17.07,17.98,16.01,16.18,141200,11.813156
2009-10-01,15.96,18.969999,15.09,16.90,178100,12.338834
2009-09-01,14.81,16.440001,13.98,15.99,187000,11.674435
2009-08-03,14.11,15.12,13.25,14.83,185700,10.827509
2009-07-01,12.93,14.09,11.93,13.67,251100,9.980583
2009-06-01,8.35,13.10,8.35,12.83,378600,9.367292
2009-05-01,9.27,10.98,7.85,8.40,521700,6.132911
2009-04-01,7.58,9.25,7.23,9.25,161900,6.753504
2009-03-02,7.00,8.04,6.53,7.75,149100,5.658341
2009-02-02,8.10,8.95,6.68,7.13,177800,5.205674
2009-01-02,7.75,9.46,7.30,8.30,224400,6.059901
2008-12-01,7.78,10.00,7.45,7.60,187200,5.548824
2008-11-03,5.82,8.71,5.72,8.62,349200,6.293535
2008-10-01,12.08,13.47,4.33,5.82,682700,4.249232
2008-09-02,13.31,13.87,10.15,12.25,290100,8.94383
2008-08-01,13.43,14.10,12.17,13.30,231600,9.710443
2008-07-01,14.23,14.80,12.51,13.41,266300,9.790755
2008-06-02,18.65,19.58,14.15,14.25,318900,10.404046
2008-05-01,17.969999,20.60,14.69,18.559999,401500,13.550814
2008-04-01,21.18,21.99,17.219999,17.559999,267000,12.820704
2008-03-03,22.65,23.549999,18.02,21.18,214100,15.463698
2008-02-01,20.34,23.74,19.92,22.610001,288600,16.507753
2008-01-02,22.50,23.99,19.17,20.34,291000,14.850407
2007-12-03,27.129999,27.129999,22.00,22.25,200300,16.244915
2007-11-01,24.040001,27.280001,21.58,26.860001,420300,19.610714
2007-10-01,24.00,25.959999,21.25,24.01,263400,17.529905
2007-09-04,26.00,26.02,23.09,24.549999,200100,17.924164
2007-08-01,21.68,27.27,18.83,25.93,482000,18.931713
2007-07-02,24.889999,26.00,21.040001,21.559999,451100,15.741138
2007-06-01,28.889999,29.26,24.309999,24.92,224000,18.194304
2007-05-01,22.60,28.719999,22.42,28.360001,269200,20.705877
2007-04-02,21.959999,25.049999,21.549999,22.559999,157500,16.471247
2007-03-01,20.65,23.98,19.719999,21.34,197100,15.580516
2007-02-01,20.75,23.190001,19.00,21.540001,231900,15.726538
2007-01-03,20.00,22.25,19.440001,20.60,266700,15.040236
2006-12-01,17.190001,21.639999,17.10,20.01,152600,14.609471
2006-11-01,15.15,17.559999,14.85,17.26,177600,12.601673
2006-10-02,13.70,15.14,13.69,15.10,210600,11.024638
2006-09-01,13.70,14.15,13.32,13.75,150900,10.038992
2006-08-01,12.67,13.90,11.75,13.75,189300,10.038992
2006-07-03,11.60,12.75,10.97,12.66,235600,9.243174
2006-06-01,10.92,11.75,9.76,11.60,236300,8.469259
2006-05-01,12.80,13.32,10.70,10.96,293500,8.001989
2006-04-03,13.44,13.59,11.25,12.95,311700,9.454905
2006-03-01,12.54,14.04,12.30,13.54,362700,9.885669
2006-02-01,13.04,13.04,11.72,12.59,396000,9.192066
2006-01-03,13.10,13.40,12.00,12.99,258300,9.484109
2005-12-01,13.56,13.84,12.01,12.89,329300,9.411098
2005-11-01,13.19,14.50,12.98,13.33,401100,9.732347
2005-10-03,12.90,13.49,11.70,13.16,331300,9.608228
2005-09-01,12.00,13.00,11.06,12.91,788900,9.4257
2005-08-01,12.70,13.41,11.85,12.00,278500,8.761302
2005-07-01,12.04,12.73,11.79,12.60,258300,9.199368
2005-06-01,12.31,13.18,11.94,11.94,240600,8.717495
2005-05-02,11.45,12.58,11.29,12.21,294700,8.914625
2005-04-01,12.26,12.80,11.29,11.45,186400,8.359742
2005-03-01,14.30,14.92,11.37,12.26,712700,8.95113
2005-02-01,11.20,14.45,10.95,14.13,526100,10.316433
2005-01-03,11.00,11.29,10.09,11.28,221400,8.235623
2004-12-01,10.75,11.19,9.40,10.96,321500,8.001989
2004-11-01,10.65,10.85,9.84,10.65,221100,7.775655
2004-10-01,10.95,11.01,9.95,10.64,208900,7.768355
2004-09-01,9.15,10.92,9.08,10.92,215800,7.972785
2004-08-02,9.46,9.85,8.38,9.12,164900,6.658589
2004-07-01,9.00,9.71,8.67,9.46,214100,6.906826
2004-06-01,8.24,9.13,7.34,9.04,225200,6.600181
2004-05-03,8.35,9.22,7.30,8.47,360000,6.184019
2004-04-01,10.65,11.09,8.32,8.41,230600,6.140213
2004-03-01,10.46,11.41,10.31,10.65,399300,7.775655
2004-02-02,10.06,10.43,9.15,10.38,370300,7.578526
2004-01-02,8.71,12.10,8.71,10.05,602500,7.337591
2003-12-01,7.85,8.88,7.26,8.75,205300,6.388449
2003-11-03,7.79,8.42,7.50,7.85,397900,5.731352
2003-10-01,6.43,7.87,6.43,7.69,378700,5.614534
2003-09-02,5.77,6.99,5.75,6.43,460900,4.694598
2003-08-01,6.42,6.42,5.22,5.79,307600,4.227328
2003-07-01,6.51,6.80,5.70,6.40,332500,4.672695
2003-06-02,5.80,7.50,5.60,6.50,543100,4.745705
2003-05-01,5.53,5.99,4.45,5.70,638100,4.161618
2003-04-01,3.73,5.80,3.46,5.50,636100,4.015597
2003-03-03,4.01,4.04,3.26,3.74,293400,2.730606
2003-02-03,3.10,4.60,3.07,4.02,405200,2.935036
2003-01-02,2.27,3.79,2.27,3.18,382000,2.321745
2002-12-02,2.09,2.75,1.77,2.25,202900,1.642744
2002-11-01,1.40,2.27,1.28,2.00,248500,1.460217
2002-10-01,0.81,1.60,0.79,1.37,129500,1.000249
2002-09-03,1.01,1.04,0.69,0.82,79400,0.598689
2002-08-01,0.78,1.24,0.70,1.01,77500,0.73741
2002-07-01,0.64,1.07,0.62,0.78,223700,0.569485
2002-06-03,1.03,1.15,0.60,0.65,490200,0.474571
2002-05-01,1.95,2.05,1.05,1.05,307100,0.766614
2002-04-01,2.95,2.98,1.71,1.98,387600,1.445615
2002-03-01,5.00,5.20,2.52,2.86,357500,2.08811
2002-02-01,6.39,6.39,4.75,4.95,370900,3.614037
2002-01-02,6.42,6.80,5.50,6.39,583700,4.665393
2001-12-03,6.20,7.05,5.60,6.52,425200,4.760307
2001-11-01,6.30,7.58,5.82,6.00,502800,4.380651
2001-10-01,8.59,8.59,5.70,6.25,438400,4.563178
2001-09-04,9.70,9.85,7.26,8.69,348600,6.344643
2001-08-01,9.75,10.35,8.75,9.70,556200,7.082052
2001-07-02,15.65,15.94,9.66,9.75,632700,7.118558
2001-06-01,15.55,17.450001,15.07,15.45,343900,11.280176
2001-05-01,15.80,16.10,14.35,15.61,392800,11.396994
2001-04-02,15.65,17.85,14.35,15.75,715600,11.499208
2001-03-01,16.15,19.40,13.30,15.60,869700,11.264302
2001-02-01,22.50,22.50,15.75,16.190001,442500,11.690324
2001-01-02,15.875,22.75,15.125,22.280001,460300,16.087734
2000-12-01,14.75,16.8125,14.50,15.6875,235200,10.873128
2000-11-01,16.8125,18.625,14.50,14.8125,310300,10.266659
2000-10-02,21.8125,22.125,15.125,17.1875,380100,11.91279
2000-09-01,23.875,24.50,21.375,21.625,221200,14.988456
2000-08-01,25.75,26.25,21.875,23.50,289200,16.288033
2000-07-03,27.50,31.375,25.125,25.625,270300,17.760887
2000-06-01,24.625,29.50,24.625,27.50,339000,19.060465
2000-05-01,28.0625,28.25,23.00,24.625,469400,17.06778
2000-04-03,34.8125,36.50,26.9375,27.9375,250800,19.363699
2000-03-01,42.00,42.375,33.9375,34.75,213400,24.085495
2000-02-01,37.25,46.75,37.25,41.6875,285800,28.89393
2000-01-03,33.875,39.50,32.25,37.1875,302400,25.345493
