Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.25,16.25,15.81,15.84,3404600,15.4527
2013-03-01,16.639999,17.48,15.44,16.219999,2758200,15.823408
2013-02-01,16.290001,17.66,16.219999,16.76,2862400,16.350204
2013-01-02,17.280001,17.49,15.75,16.16,2800300,15.764875
2012-12-03,15.78,16.90,15.51,16.889999,2274400,16.477026
2012-11-01,14.69,16.15,14.61,15.64,3029800,15.25759
2012-10-01,14.30,14.98,13.40,14.62,3974600,14.262529
2012-09-04,15.58,16.49,13.80,14.22,3907100,13.872311
2012-08-01,14.84,15.95,14.04,15.62,2303100,15.238079
2012-07-02,14.10,15.12,12.95,14.71,3303900,14.350329
2012-06-01,14.10,14.99,13.18,14.06,3153900,13.716223
2012-05-01,17.049999,17.459999,14.13,14.45,3225700,14.096686
2012-04-02,16.790001,18.01,15.67,17.209999,3293800,16.789202
2012-03-01,16.51,17.389999,15.06,16.889999,3119000,16.477026
2012-02-01,16.530001,17.49,16.02,16.42,3634400,16.018518
2012-01-03,13.95,17.50,13.53,16.35,5953700,15.950231
2011-12-01,13.40,14.18,12.73,13.63,3810700,13.296736
2011-11-01,13.75,14.74,11.68,13.46,4173800,13.130893
2011-10-03,10.90,15.05,10.37,14.32,4863900,13.969865
2011-09-01,12.06,12.90,10.86,11.01,3858100,10.740797
2011-08-01,13.67,13.87,10.76,12.10,5114500,11.804146
2011-07-01,14.78,15.30,12.55,13.49,3578400,13.160159
2011-06-01,15.95,15.97,13.51,14.80,3297100,14.438128
2011-05-02,16.15,16.75,15.21,16.01,3865000,15.618544
2011-04-01,17.969999,18.68,15.51,16.10,4872900,15.706343
2011-03-01,18.809999,19.190001,16.07,17.809999,4504100,17.374531
2011-02-01,16.83,19.110001,16.790001,18.629999,7019800,18.17448
2011-01-03,14.13,16.74,13.38,16.68,6136100,16.272161
2010-12-01,12.18,14.44,12.08,14.04,4909100,13.696711
2010-11-01,11.38,12.85,11.08,11.86,6886800,11.570013
2010-10-01,11.14,11.91,10.51,11.24,7051400,10.965173
2010-09-01,9.19,11.64,9.10,11.14,7403300,10.867619
2010-08-02,11.08,11.31,8.84,8.98,6909900,8.760431
2010-07-01,9.72,11.24,9.25,10.76,6876100,10.49691
2010-06-01,10.88,12.06,9.62,9.75,6488200,9.511605
2010-05-03,12.46,13.07,10.13,10.98,7677900,10.71153
2010-04-01,11.31,13.37,10.85,12.23,7121900,11.930966
2010-03-01,10.05,11.50,10.05,11.17,5049400,10.896885
2010-02-01,9.36,10.20,8.95,9.99,5131900,9.745736
2010-01-04,10.86,11.57,9.23,9.34,7085600,9.111629
2009-12-01,8.89,10.96,8.89,10.73,4366100,10.467643
2009-11-02,8.48,9.29,8.09,8.86,4661800,8.643366
2009-10-01,9.77,10.67,8.34,8.37,8805100,8.165347
2009-09-01,8.21,9.57,7.57,9.25,6818800,9.02383
2009-08-03,7.99,8.59,7.58,8.25,5051800,8.048281
2009-07-01,6.86,8.25,5.97,7.88,6782000,7.687328
2009-06-01,7.25,7.65,5.96,6.86,6320800,6.692268
2009-05-01,5.94,7.53,5.57,7.15,7858900,6.975177
2009-04-01,4.26,6.33,4.26,5.94,7205900,5.794763
2009-03-02,4.05,4.97,3.24,4.38,4245100,4.272906
2009-02-02,4.73,5.47,3.79,4.13,3843600,4.029018
2009-01-02,4.22,5.52,4.15,4.81,4920400,4.692392
2008-12-01,3.70,4.45,3.20,4.22,3314700,4.116817
2008-11-03,5.03,5.64,2.80,3.79,2618900,3.697331
2008-10-01,7.76,7.87,4.50,5.10,4256500,4.975301
2008-09-02,9.18,9.97,7.54,7.81,3535000,7.61904
2008-08-01,9.36,10.03,9.01,9.33,2396700,9.101874
2008-07-01,10.98,11.35,8.84,9.37,5236200,9.140896
2008-06-02,13.66,13.83,10.53,11.07,4757100,10.79933
2008-05-01,13.16,14.50,12.85,13.74,2948500,13.404046
2008-04-01,12.63,13.92,11.84,13.29,3888400,12.965049
2008-03-03,11.99,13.13,11.53,12.42,3698200,12.116322
2008-02-01,10.99,12.73,10.36,11.99,3762000,11.696835
2008-01-02,10.35,11.07,8.75,10.99,4348800,10.721286
2007-12-03,10.91,11.39,10.02,10.34,3454500,10.087179
2007-11-01,12.15,12.31,10.10,10.89,5735600,10.623732
2007-10-01,13.76,14.36,12.13,12.34,5188400,12.038278
2007-09-04,14.90,15.02,13.72,13.80,4116800,13.46258
2007-08-01,15.68,16.530001,14.56,14.89,4540400,14.525928
2007-07-02,17.610001,18.280001,15.67,15.69,4695800,15.306367
2007-06-01,17.00,18.530001,16.360001,17.58,3729900,17.150156
2007-05-01,17.450001,17.610001,16.32,17.02,3942300,16.603848
2007-04-02,16.639999,17.73,16.219999,17.450001,5288800,17.023335
2007-03-01,15.75,17.299999,15.31,16.540001,3114100,16.135586
2007-02-01,15.05,16.84,14.92,16.110001,3313000,15.716099
2007-01-03,14.90,16.459999,14.64,14.90,4101600,14.535683
2006-12-01,14.90,15.59,14.43,14.96,2397400,14.594216
2006-11-01,14.04,15.00,13.34,14.90,3540500,14.535683
2006-10-02,13.10,14.49,12.95,14.02,4061500,13.6772
2006-09-01,14.15,14.49,13.13,13.16,3156500,12.838227
2006-08-01,13.02,14.25,12.50,14.04,2358600,13.696711
2006-07-03,13.93,14.33,11.50,13.14,3286100,12.818717
2006-06-01,15.55,16.02,13.31,13.93,2121000,13.589401
2006-05-01,16.799999,18.00,14.12,15.57,2403300,15.189301
2006-04-03,15.59,17.59,15.41,16.860001,2814600,16.44776
2006-03-01,16.84,17.73,14.63,15.51,3254300,15.130769
2006-02-01,17.42,18.049999,16.50,16.790001,2535500,16.379473
2006-01-03,14.50,18.08,14.22,17.42,3707900,16.994068
2005-12-01,14.90,15.97,14.11,14.57,2730200,14.213752
2005-11-01,13.54,15.05,13.21,14.63,3480600,14.272285
2005-10-03,16.809999,16.99,12.98,13.54,3787800,13.208937
2005-09-01,16.75,17.299999,14.85,16.50,2520800,16.096561
2005-08-01,15.57,16.809999,14.69,16.799999,2514200,16.389227
2005-07-01,12.02,16.700001,11.60,15.53,3685200,15.150279
2005-06-01,12.98,14.32,11.86,11.97,2278400,11.677324
2005-05-02,11.12,13.40,10.89,13.01,2391500,12.691895
2005-04-01,14.68,14.71,10.80,11.02,3323500,10.750553
2005-03-01,15.60,16.01,14.17,14.60,2244300,14.243019
2005-02-01,14.09,16.18,13.94,15.42,2622400,15.042969
2005-01-03,17.10,17.33,13.53,14.03,3139100,13.686955
2004-12-01,17.309999,18.969999,15.96,17.07,2397000,16.652624
2004-11-01,16.610001,18.15,16.030001,17.059999,2504000,16.64287
2004-10-01,13.95,16.90,13.10,16.559999,4043600,16.155094
2004-09-01,12.92,14.95,12.53,13.40,3689600,13.072359
2004-08-02,16.950001,17.209999,12.60,12.87,3225900,12.555319
2004-07-01,22.50,22.65,15.57,17.10,3612400,16.681892
2004-06-01,22.059999,22.790001,19.60,22.700001,2449000,22.144968
2004-05-03,20.48,22.40,19.639999,22.290001,2666000,21.744993
2004-04-01,23.85,26.66,20.049999,20.379999,3871400,19.881693
2004-03-01,24.65,25.73,20.469999,23.83,3610100,23.247337
2004-02-02,27.030001,27.66,22.82,24.65,3841000,24.047287
2004-01-02,25.450001,30.700001,25.030001,26.90,4326000,26.242273
