Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.70,1.77,1.70,1.73,103600,1.49036
2013-03-01,1.53,1.77,1.52,1.67,33600,1.438671
2013-02-01,1.91,1.98,1.52,1.55,79900,1.335293
2013-01-02,1.81,2.08,1.75,1.89,94300,1.628196
2012-12-03,1.47,2.11,1.35,1.76,68500,1.516204
2012-11-01,1.59,1.60,1.22,1.50,33500,1.154477
2012-10-01,1.59,1.67,1.37,1.61,40800,1.239139
2012-09-04,1.79,1.82,1.58,1.60,55800,1.231443
2012-08-01,1.73,2.00,1.69,1.80,44400,1.385373
2012-07-02,1.76,1.85,1.61,1.73,22700,1.331497
2012-06-01,2.12,2.18,1.61,1.80,52300,1.385373
2012-05-01,2.80,2.80,2.06,2.10,65600,1.616268
2012-04-02,2.80,2.88,1.86,2.75,81300,2.116542
2012-03-01,3.02,3.02,2.71,2.80,50400,2.155025
2012-02-01,3.00,3.12,2.78,2.89,97900,2.224293
2012-01-03,3.05,3.20,2.91,2.99,47500,2.301258
2011-12-01,2.99,3.25,2.85,3.00,16700,2.308955
2011-11-01,3.08,3.32,2.85,2.99,32400,2.301258
2011-10-03,3.05,3.54,2.70,3.15,39900,2.424402
2011-09-01,3.71,3.77,2.90,3.10,21900,2.38592
2011-08-01,3.63,3.85,2.94,3.70,37500,2.847711
2011-07-01,3.80,4.00,3.55,3.63,31700,2.793835
2011-06-01,3.56,3.99,3.40,3.80,49200,2.924676
2011-05-02,5.64,5.64,3.37,3.52,93800,2.709174
2011-04-01,5.01,5.51,4.29,5.30,86600,2.927348
2011-03-01,5.31,5.33,4.01,4.61,48700,2.54624
2011-02-01,6.06,6.21,5.21,5.31,43300,2.932871
2011-01-03,5.70,6.46,5.11,6.06,74700,3.347118
2010-12-01,4.97,6.24,4.91,5.61,63100,3.09857
2010-11-01,4.25,4.97,4.09,4.95,43000,2.734032
2010-10-01,3.70,4.99,3.50,4.10,35100,2.264552
2010-09-01,3.38,3.73,3.25,3.73,22400,2.06019
2010-08-02,3.85,3.94,3.37,3.45,16700,1.905538
2010-07-01,3.16,3.93,3.10,3.78,16000,2.087806
2010-06-01,3.16,3.36,3.04,3.14,9800,1.734315
2010-05-03,3.46,3.73,3.00,3.20,29700,1.767455
2010-04-01,3.37,3.80,3.34,3.36,16400,1.855828
2010-03-01,2.84,4.09,2.82,3.34,24000,1.819648
2010-02-01,2.96,2.96,2.65,2.83,11500,1.541798
2010-01-04,2.93,3.23,2.74,2.90,18900,1.579934
2009-12-01,2.85,2.99,2.60,2.92,19000,1.59083
2009-11-02,2.61,3.53,2.61,2.79,23900,1.520005
2009-10-01,3.22,3.50,2.70,2.71,36300,1.476421
2009-09-01,2.22,3.29,2.22,3.13,30800,1.705239
2009-08-03,2.34,2.58,1.79,2.25,13300,1.225811
2009-07-01,2.22,2.41,2.00,2.34,10900,1.274843
2009-06-01,1.99,2.98,1.90,2.24,43200,1.220363
2009-05-01,2.09,2.50,1.92,1.93,14900,1.051473
2009-04-01,1.90,2.24,1.54,1.92,8000,1.046025
2009-03-02,1.85,2.20,1.63,2.00,13600,1.06435
2009-02-02,2.57,3.94,1.92,1.95,40900,1.037742
