Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.603,1.63,1.58,1.59,8600,1.59
2013-03-01,1.5935,1.80,1.43,1.63,32400,1.63
2013-02-01,1.52,1.68,1.40,1.62,103500,1.62
2013-01-01,1.59,1.66,1.50,1.55,28900,1.55
2012-12-03,1.44,1.70,1.40,1.59,90900,1.59
2012-11-01,1.53,1.65,1.32,1.42,28600,1.42
2012-10-01,1.71,1.73,1.45,1.53,45900,1.53
2012-09-03,1.72,1.88,1.67,1.70,31200,1.70
2012-08-01,1.81,1.90,1.65,1.72,29100,1.72
2012-07-02,2.01,2.08,1.71,1.84,94000,1.84
2012-06-01,1.86,2.10,1.71,2.01,231500,2.01
2012-05-01,1.73,1.92,1.53,1.92,36300,1.92
2012-04-02,1.84,1.85,1.55,1.72,28700,1.72
2012-03-01,1.58,1.85,1.57,1.84,52200,1.84
2012-02-01,1.66,1.74,1.33,1.59,35000,1.59
2012-01-02,1.68,1.76,1.60,1.65,21300,1.65
2011-12-01,1.67,1.73,1.57,1.68,34200,1.68
2011-11-01,1.40,1.72,1.40,1.68,51200,1.68
2011-10-03,1.32,1.542,1.18,1.50,128500,1.50
2011-09-01,1.60,1.67,1.23,1.34,95200,1.34
2011-08-01,1.69,1.80,1.46,1.60,32500,1.60
2011-07-01,1.76,1.85,1.65,1.71,29000,1.71
2011-06-01,1.90,1.93,1.75,1.76,46800,1.76
2011-05-02,1.94,2.04,1.82,1.89,48600,1.89
2011-04-01,2.12,2.29,1.83,1.95,157100,1.95
2011-03-01,1.73,2.19,1.51,2.09,293000,2.09
2011-02-01,1.64,1.90,1.50,1.75,100500,1.75
2011-01-03,1.53,1.83,1.50,1.63,81400,1.63
2010-12-01,1.38,1.57,1.36,1.52,67800,1.52
2010-11-01,1.21,1.52,1.20,1.39,76100,1.39
2010-10-01,1.22,1.32,1.18,1.22,48900,1.22
2010-09-01,1.15,1.40,1.15,1.27,45400,1.27
2010-08-02,1.25,1.30,1.12,1.12,41700,1.12
2010-07-01,1.16,1.31,1.10,1.21,56700,1.21
2010-06-01,1.16,1.33,1.04,1.15,241500,1.15
2010-05-03,1.52,1.58,1.12,1.17,113400,1.17
2010-04-01,1.66,1.80,1.54,1.54,92000,1.54
2010-03-01,1.44,1.84,1.38,1.66,131100,1.66
2010-02-01,1.30,1.53,1.25,1.42,81200,1.42
2010-01-04,1.33,1.4499,1.27,1.33,162000,1.33
2009-12-01,1.33,1.44,1.28,1.34,63800,1.34
2009-11-02,1.35,1.55,1.23,1.31,66600,1.31
2009-10-01,1.61,1.61,1.35,1.35,72600,1.35
2009-09-01,1.34,1.89,1.21,1.60,152600,1.60
2009-08-03,1.25,1.51,1.22,1.34,142700,1.34
2009-07-01,1.23,1.31,1.04,1.25,91900,1.25
2009-06-01,1.15,1.48,0.97,1.29,471700,1.29
2009-05-01,1.22,1.26,0.98,1.20,63300,1.20
2009-04-01,1.17,1.24,0.97,1.24,54400,1.24
2009-03-02,0.93,1.22,0.79,1.22,54300,1.22
2009-02-02,1.15,1.2901,0.8703,0.95,82500,0.95
2009-01-02,1.17,1.39,1.04,1.29,110900,1.29
2008-12-01,1.51,1.51,0.96,1.17,67600,1.17
2008-11-03,1.89,1.92,1.01,1.46,55000,1.46
2008-10-01,3.10,3.10,1.43,1.95,133800,1.95
2008-09-02,3.30,3.50,2.30,3.12,95400,3.12
2008-08-01,3.54,3.54,3.25,3.35,70400,3.35
2008-07-01,3.55,3.63,3.26,3.62,82500,3.62
2008-06-02,3.67,3.76,3.20,3.63,126200,3.63
2008-05-01,3.85,3.93,3.25,3.93,105200,3.93
2008-04-01,3.86,4.25,3.51,4.25,113000,4.25
2008-03-03,3.88,3.94,3.23,3.94,94000,3.94
2008-02-01,3.91,4.00,3.40,3.88,54800,3.88
2008-01-02,3.60,4.00,3.28,3.87,82800,3.87
2007-12-03,3.96,4.07,3.37,3.58,128600,3.58
2007-11-01,4.33,4.42,3.669,3.93,71400,3.93
2007-10-01,4.41,4.74,3.97,4.73,86400,4.73
2007-09-04,4.15,4.58,3.97,4.49,63200,4.49
2007-08-01,3.93,4.39,3.49,4.15,131400,4.15
2007-07-02,4.16,4.18,3.70,3.95,94200,3.95
2007-06-01,4.37,4.49,4.00,4.17,110400,4.17
2007-05-01,6.06,6.09,4.28,4.39,216800,4.39
2007-04-02,6.32,6.95,5.60,6.15,376300,6.15
2007-03-01,4.81,6.32,4.10,6.26,264200,6.26
2007-02-01,5.00,5.24,4.06,4.81,329100,4.81
2007-01-03,3.15,4.95,3.00,4.95,344900,4.95
2006-12-01,3.33,3.36,2.93,3.10,142200,3.10
2006-11-01,3.19,3.35,2.91,3.35,95600,3.35
2006-10-02,2.93,3.25,2.75,3.20,50800,3.20
2006-09-01,3.10,3.18,2.83,2.88,44700,2.88
2006-08-01,3.11,3.26,3.10,3.11,28300,3.11
2006-07-03,3.40,3.62,2.93,3.12,73100,3.12
2006-06-01,3.37,3.47,2.90,3.41,59400,3.41
2006-05-01,3.49,3.50,3.03,3.39,56700,3.39
2006-04-03,3.05,3.50,2.90,3.44,74900,3.44
2006-03-01,3.37,3.45,3.07,3.16,33400,3.16
2006-02-01,3.68,3.74,3.27,3.38,39000,3.38
2006-01-03,3.05,3.90,3.01,3.68,147700,3.68
2005-12-01,3.04,3.20,2.87,3.02,91400,3.02
2005-11-01,3.01,3.07,2.92,3.04,50500,3.04
2005-10-03,2.95,3.10,2.75,3.01,91200,3.01
2005-09-01,3.05,3.27,2.78,2.95,91600,2.95
2005-08-01,3.51,3.53,3.01,3.10,87900,3.10
2005-07-01,3.25,3.58,3.06,3.53,74400,3.53
2005-06-01,3.49,3.65,3.16,3.22,68600,3.22
2005-05-02,3.61,3.85,3.18,3.43,101000,3.43
2005-04-01,3.39,3.89,3.13,3.51,101000,3.51
2005-03-01,3.31,3.50,3.04,3.44,91300,3.44
2005-02-01,3.99,4.02,3.30,3.34,91400,3.34
2005-01-03,4.06,4.08,3.81,3.99,103100,3.99
2004-12-01,4.22,4.23,3.83,4.06,65200,4.06
2004-11-01,3.69,4.52,3.58,4.20,96500,4.20
2004-10-01,3.65,4.00,3.47,3.68,133200,3.68
2004-09-01,3.72,3.83,3.50,3.65,63300,3.65
2004-08-02,4.11,4.40,3.52,3.75,72500,3.75
2004-07-01,4.48,4.70,4.16,4.16,85700,4.16
2004-06-01,4.27,4.83,4.17,4.62,158700,4.62
2004-05-03,5.29,5.29,4.20,4.27,126700,4.27
2004-04-01,5.40,5.89,5.02,5.24,112000,5.24
2004-03-01,5.50,5.75,4.95,5.38,80100,5.38
2004-02-02,6.09,6.24,5.40,5.51,85100,5.51
2004-01-02,5.47,6.25,5.41,6.09,114200,6.09
2003-12-01,4.90,6.24,4.63,5.47,179800,5.47
2003-11-03,4.48,5.00,4.12,4.91,107500,4.91
2003-10-01,5.71,6.24,4.40,4.45,90400,4.45
2003-09-02,4.44,6.29,4.40,5.70,148400,5.70
2003-08-01,4.40,4.56,3.92,4.45,86100,4.45
2003-07-01,4.31,5.60,4.11,4.43,124000,4.43
2003-06-02,4.36,4.88,4.25,4.30,98500,4.30
2003-05-01,4.40,4.74,3.92,4.26,81600,4.26
2003-04-01,3.52,4.75,3.50,4.47,59500,4.47
2003-03-03,3.29,3.85,3.12,3.46,70400,3.46
2003-02-03,4.02,4.09,3.28,3.31,63000,3.31
2003-01-02,4.12,4.75,3.96,4.05,53500,4.05
2002-12-02,5.20,5.36,3.85,4.03,75700,4.03
2002-11-01,4.48,5.48,4.40,5.27,86400,5.27
2002-10-01,4.40,4.48,3.47,4.32,117600,4.32
2002-09-03,4.69,4.97,4.02,4.40,57600,4.40
2002-08-01,5.35,5.55,4.20,5.00,96800,5.00
2002-07-01,8.33,8.33,4.90,5.35,91000,5.35
2002-06-03,8.52,8.52,6.93,8.43,95000,8.43
2002-05-01,8.88,9.00,8.01,8.55,80300,8.55
2002-04-01,10.00,10.50,8.50,8.98,109500,8.98
2002-03-01,8.78,10.19,8.25,9.90,114400,9.90
2002-02-01,8.80,9.00,8.10,8.86,114800,8.86
2002-01-02,9.96,10.50,8.15,8.84,181700,8.84
2001-12-03,8.90,10.50,8.80,9.86,106300,9.86
2001-11-01,8.80,9.35,8.15,8.85,65000,8.85
2001-10-01,9.20,10.74,8.55,8.90,82800,8.90
2001-09-04,9.90,10.23,7.10,9.24,117000,9.24
2001-08-01,10.45,11.38,9.50,9.99,87300,9.99
2001-07-02,11.17,11.98,8.87,10.71,158200,10.71
2001-06-01,9.80,14.05,9.47,11.17,259500,11.17
2001-05-01,8.20,9.98,7.95,9.84,125700,9.84
2001-04-02,6.33,8.30,6.00,8.07,118000,8.07
2001-03-01,6.61,6.79,5.90,6.39,71800,6.39
2001-02-01,7.16,7.99,6.25,6.65,151400,6.65
