Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,36.610001,37.27,36.610001,37.049999,1418000,34.304039
2013-03-01,37.450001,39.299999,35.639999,36.790001,553000,34.063313
2013-02-01,42.43,42.669998,36.299999,37.59,795000,34.80402
2013-01-02,38.709999,44.279999,37.810001,42.080002,779500,38.961243
2012-12-03,38.040001,39.360001,35.77,37.43,689000,34.655876
2012-11-01,37.98,45.75,37.00,37.740002,948000,33.37579
2012-10-01,36.330002,38.93,34.93,38.029999,638200,33.632252
2012-09-04,31.360001,37.490002,30.75,36.32,631400,32.119995
2012-08-01,28.91,33.799999,26.93,31.440001,383400,27.66361
2012-07-02,27.58,29.66,26.59,28.73,334600,25.279118
2012-06-01,30.110001,31.17,26.27,27.41,677200,24.11767
2012-05-01,33.84,34.700001,28.049999,30.75,604400,26.914085
2012-04-02,31.530001,34.560001,30.48,33.830002,385900,29.609871
2012-03-01,32.75,34.169998,29.809999,31.559999,539500,27.623041
2012-02-01,30.74,34.119999,30.700001,32.57,467000,28.373964
2012-01-03,28.15,31.82,27.309999,30.66,416600,26.710032
2011-12-01,24.01,27.559999,22.48,27.43,451000,23.896156
2011-11-01,25.209999,27.440001,22.25,24.200001,550200,20.965548
2011-10-03,21.959999,29.08,21.41,26.440001,628300,22.90616
2011-09-01,22.209999,24.60,18.709999,22.15,680200,19.189539
2011-08-01,25.07,25.07,17.620001,22.23,1004400,19.124359
2011-07-01,28.85,29.41,24.219999,24.73,469200,21.275097
2011-06-01,32.25,32.27,27.15,28.84,568600,24.810909
2011-05-02,31.09,33.790001,29.280001,32.299999,322400,27.691412
2011-04-01,33.700001,34.360001,29.309999,31.01,337500,26.585472
2011-03-01,33.439999,33.639999,30.219999,33.369999,393100,28.5242
2011-02-01,37.209999,39.119999,30.60,33.240002,510600,28.413082
2011-01-03,34.18,37.450001,33.209999,37.16,401800,31.76384
2010-12-01,29.780001,35.110001,29.60,33.959999,516500,29.028524
2010-11-01,31.860001,34.82,29.15,29.530001,590200,25.167585
2010-10-01,33.57,35.50,30.540001,31.49,621900,26.838037
2010-09-01,23.59,34.490002,23.40,33.400002,481000,28.381533
2010-08-02,28.40,29.26,22.50,23.34,472600,19.833082
2010-07-01,23.75,29.530001,22.940001,27.84,511900,23.656942
2010-06-01,28.85,29.860001,20.74,23.75,1128300,20.181479
2010-05-03,35.959999,36.470001,27.18,29.16,950300,24.708412
2010-04-01,30.33,36.849998,30.040001,35.709999,723900,30.258484
2010-03-01,34.220001,36.490002,30.00,30.209999,581100,25.598118
2010-02-01,31.83,34.82,30.60,33.93,463700,28.68549
2010-01-04,31.889999,33.869999,30.27,31.75,316900,26.842449
2009-12-01,28.49,31.959999,27.50,31.40,428700,26.546547
2009-11-02,26.219999,31.17,26.049999,28.450001,583900,23.997826
2009-10-01,30.90,32.98,26.049999,26.219999,513100,22.1168
2009-09-01,25.83,32.700001,25.07,30.950001,599100,25.644892
2009-08-03,23.90,28.719999,23.90,26.049999,799900,21.584795
2009-07-01,18.540001,23.950001,16.65,23.91,743400,19.811611
2009-06-01,20.809999,23.42,18.17,18.370001,524500,15.221217
2009-05-01,22.85,22.93,17.65,20.110001,564900,16.604382
2009-04-01,15.30,23.290001,15.19,22.99,691000,18.982332
2009-03-02,10.47,16.40,9.54,15.62,489800,12.897087
2009-02-02,10.47,12.29,9.90,10.71,505700,8.797925
2009-01-02,13.35,14.87,10.51,10.58,375400,8.691133
2008-12-01,15.36,17.18,12.06,13.18,440400,10.826952
2008-11-03,17.82,19.09,12.46,15.64,416500,12.777171
2008-10-01,24.60,24.74,14.68,17.90,491500,14.623488
2008-09-02,23.24,31.85,23.040001,24.82,659800,20.205311
2008-08-01,20.040001,24.309999,17.82,22.98,398100,18.707415
2008-07-01,21.10,24.00,19.620001,19.620001,463800,15.972128
2008-06-02,26.91,29.00,21.10,21.26,513000,17.307207
2008-05-01,30.530001,31.32,24.85,26.959999,910900,21.888224
2008-04-01,30.00,30.92,26.73,30.32,786700,24.616135
2008-03-03,30.27,32.259998,28.25,29.77,835000,24.169601
2008-02-01,35.73,36.91,29.799999,30.48,625700,24.687195
2008-01-02,38.00,38.59,29.719999,35.32,871500,28.607342
2007-12-03,35.00,41.59,33.529999,38.009998,790600,30.786098
2007-11-01,47.419998,47.48,31.43,35.25,1330800,28.492462
2007-10-01,44.939999,52.310001,44.75,48.00,643300,38.798248
2007-09-04,43.77,47.00,40.080002,44.990002,443000,36.365273
2007-08-01,40.970001,47.389999,38.68,43.990002,527000,33.865734
2007-07-02,45.490002,45.900002,41.02,41.02,439300,31.579277
2007-06-01,44.98,46.82,43.040001,45.139999,463400,34.75106
2007-05-01,39.799999,43.939999,39.650002,43.580002,418800,33.497272
2007-04-02,39.25,42.599998,38.73,39.830002,396200,30.614878
2007-03-01,41.110001,41.779999,38.50,39.389999,499500,30.276674
2007-02-01,42.360001,44.41,41.220001,41.84,440200,32.104088
2007-01-03,44.349998,48.02,41.110001,42.259998,602300,32.426357
2006-12-01,44.799999,46.310001,43.09,43.990002,563900,33.753799
2006-11-01,43.810001,46.720001,41.880001,45.259998,645100,34.675117
2006-10-02,40.549999,48.32,40.259998,43.82,727200,33.571888
2006-09-01,42.400002,43.349998,39.470001,41.169998,759800,31.541637
2006-08-01,42.84,45.900002,39.16,42.18,624600,31.465445
2006-07-03,48.18,50.09,42.00,42.84,789200,31.957792
2006-06-01,48.25,51.700001,42.880001,48.450001,1043500,36.142742
2006-05-01,50.650002,53.279999,45.529999,48.080002,742400,35.81004
2006-04-03,53.50,56.93,49.84,50.48,568100,37.597561
2006-03-01,47.220001,54.580002,47.220001,53.360001,613500,39.742592
2006-02-01,42.650002,47.470001,41.650002,47.200001,304900,35.107651
