Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,76.300003,76.349998,75.269997,75.529999,3177600,74.36837
2013-03-01,73.279999,78.040001,72.870003,76.489998,2056300,75.313606
2013-02-01,72.800003,75.790001,71.599998,73.800003,2269200,72.524704
2013-01-02,64.790001,72.480003,64.540001,72.139999,1908100,70.893379
2012-12-03,63.889999,65.540001,62.299999,63.779999,2187400,62.677849
2012-11-01,61.330002,63.779999,59.610001,63.549999,1892000,62.308033
2012-10-01,59.09,61.990002,57.209999,61.060001,2156700,59.866699
2012-09-04,57.27,61.00,56.639999,58.830002,1726600,57.680279
2012-08-01,56.07,57.75,53.77,57.349998,1788400,56.105995
2012-07-02,52.290001,56.459999,49.630001,55.669998,2333500,54.462437
2012-06-01,49.549999,52.130001,48.139999,51.91,2240700,50.783997
2012-05-01,55.59,56.91,49.919998,50.48,2383200,49.257408
2012-04-02,56.360001,56.709999,51.689999,55.650002,2676100,54.302197
2012-03-01,56.919998,58.369999,54.900002,56.380001,2326700,55.014515
2012-02-01,54.110001,57.57,53.00,56.619999,2560300,55.11903
2012-01-03,45.790001,54.09,45.669998,52.900002,3637900,51.497646
2011-12-01,47.25,47.700001,43.060001,44.970001,2841500,43.777866
2011-11-01,49.09,50.509998,44.290001,47.25,3941300,45.997425
2011-10-03,50.189999,55.259998,47.77,50.27,5189700,48.937366
2011-09-01,55.02,55.84,48.779999,50.639999,3283800,49.297558
2011-08-01,60.599998,60.720001,48.889999,54.93,4108000,53.473831
2011-07-01,64.529999,65.68,59.099998,60.09,2758900,58.497044
2011-06-01,65.449997,65.50,60.490002,64.389999,2432000,62.683052
2011-05-02,60.25,65.860001,59.529999,65.449997,3180600,63.714951
2011-04-01,55.66,60.369999,54.119999,59.990002,2983800,58.399696
2011-03-01,56.290001,57.470001,52.41,55.549999,3676700,54.077396
2011-02-01,57.509998,58.16,54.43,55.82,2875900,54.340237
2011-01-03,55.639999,58.09,54.799999,57.27,2514400,55.751801
2010-12-01,51.639999,56.25,51.349998,55.360001,2427100,53.892433
2010-11-01,51.580002,53.049999,49.91,50.860001,2690200,49.511726
2010-10-01,48.16,52.080002,47.169998,51.419998,3210500,50.056877
2010-09-01,42.759998,48.900002,42.700001,47.880001,2923900,46.610725
2010-08-02,45.389999,46.200001,41.740002,42.119999,4182900,41.003418
2010-07-01,49.049999,51.360001,44.560001,44.860001,5706900,43.670784
2010-06-01,51.57,54.869999,48.970001,49.049999,3704700,47.749706
2010-05-03,55.50,55.52,49.040001,52.060001,4229300,50.679916
2010-04-01,51.580002,57.400002,50.869999,55.279999,3768800,53.814552
2010-03-01,48.849998,52.389999,48.27,51.439999,3367700,50.076347
2010-02-01,46.110001,49.939999,45.369999,48.77,5352300,47.477131
2010-01-04,48.029999,49.669998,46.02,46.150002,3529900,44.926586
2009-12-01,47.610001,49.700001,47.23,47.689999,2535800,46.425758
2009-11-02,45.060001,48.220001,43.59,47.23,3489300,45.977955
2009-10-01,43.759998,48.509998,42.889999,45.00,4222800,43.807072
2009-09-01,44.990002,47.740002,42.860001,43.669998,4691700,42.512329
2009-08-03,45.77,46.799999,44.09,45.209999,3200000,44.011505
2009-07-01,41.040001,46.27,37.50,45.279999,3952900,44.079647
2009-06-01,39.32,42.470001,38.560001,40.77,4727400,39.689209
2009-05-01,35.029999,39.099998,34.610001,38.91,5035000,37.878513
2009-04-01,35.299999,37.860001,30.83,35.080002,6706100,34.150047
