Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.219999,19.280001,18.809999,18.959999,758800,18.959999
2013-03-01,16.83,19.379999,16.309999,19.299999,345500,19.299999
2013-02-01,16.719999,19.08,16.219999,17.01,421300,17.01
2013-01-02,14.00,16.629999,13.70,16.59,254300,16.59
2012-12-03,13.00,14.81,12.91,13.70,250500,13.70
2012-11-01,10.20,13.00,10.08,12.86,316500,12.86
2012-10-01,11.53,12.05,9.88,10.14,235300,10.14
2012-09-04,10.64,12.10,10.35,11.44,222000,11.44
2012-08-01,11.46,11.51,9.21,10.61,185500,10.61
2012-07-02,12.69,13.34,10.51,11.36,210100,11.36
2012-06-01,11.01,12.74,10.68,12.67,282200,12.67
2012-05-01,15.16,15.67,10.64,11.24,309900,11.24
2012-04-02,15.46,16.040001,14.42,15.21,185900,15.21
2012-03-01,15.90,16.41,13.41,15.58,347500,15.58
2012-02-01,15.32,17.49,15.22,15.78,174900,15.78
2012-01-03,12.73,15.95,12.50,15.19,205800,15.19
2011-12-01,16.379999,16.459999,11.96,12.34,294000,12.34
2011-11-01,13.93,16.99,13.71,16.49,273000,16.49
2011-10-03,11.35,15.77,10.08,14.53,248800,14.53
2011-09-01,14.04,14.38,11.22,11.49,291200,11.49
2011-08-01,15.94,15.99,11.71,14.04,625900,14.04
2011-07-01,19.25,19.32,15.33,15.78,320300,15.78
2011-06-01,20.24,20.299999,18.50,19.18,347700,19.18
2011-05-02,26.68,26.799999,18.049999,20.299999,391900,20.299999
2011-04-01,24.59,26.870001,24.02,26.66,240800,26.66
2011-03-01,23.969999,25.00,22.42,24.360001,210400,24.360001
2011-02-01,22.860001,25.280001,22.799999,23.82,196300,23.82
2011-01-03,21.57,23.860001,21.41,22.709999,255500,22.709999
2010-12-01,19.42,21.809999,19.15,21.41,365100,21.41
2010-11-01,23.41,23.85,18.60,19.049999,518900,19.049999
2010-10-01,20.23,23.52,19.809999,23.209999,230200,22.21981
2010-09-01,20.00,20.40,18.98,20.09,441900,19.232918
