Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,49.00,49.25,47.66,48.02,837200,24.01
2013-03-01,46.849998,51.50,46.50,49.18,479900,24.59
2013-02-01,42.50,48.669998,40.450001,47.240002,592100,23.620001
2013-01-02,38.130001,43.799999,38.099998,42.25,371600,21.125
2012-12-03,39.939999,40.810001,36.23,37.23,685700,18.615
2012-11-01,37.110001,40.759998,34.59,40.610001,609800,20.305
2012-10-01,34.150002,35.450001,32.57,34.939999,601900,17.469999
2012-09-04,30.83,34.740002,29.85,34.119999,476600,17.059999
2012-08-01,25.51,31.059999,24.51,30.75,337000,15.375
2012-07-02,30.059999,31.66,24.790001,25.48,419100,12.74
2012-06-01,28.299999,32.459999,25.41,30.09,733600,15.045
2012-05-01,31.959999,33.889999,25.58,29.10,498000,14.55
2012-04-02,31.469999,32.939999,29.379999,32.00,414200,16.00
2012-03-01,27.190001,32.759998,26.07,32.080002,460400,16.040001
2012-02-01,25.059999,28.459999,24.74,26.93,303400,13.465
2012-01-03,23.40,25.52,22.620001,24.82,278700,12.41
2011-12-01,22.32,23.780001,21.48,22.91,208100,11.455
2011-11-01,17.84,22.50,17.559999,22.33,412300,11.165
2011-10-03,15.85,19.68,14.53,18.48,652200,9.24
2011-09-01,18.389999,19.41,15.96,16.030001,433500,8.015
2011-08-01,20.17,20.98,15.40,18.24,601600,9.12
2011-07-01,24.42,25.969999,19.50,21.08,482700,10.54
2011-06-01,30.280001,30.629999,23.24,24.48,377600,12.24
2011-05-02,31.10,32.130001,26.60,30.559999,283800,15.28
2011-04-01,32.779999,34.00,31.139999,32.080002,280100,16.040001
2011-03-01,29.82,33.389999,29.35,32.619999,416300,16.309999
2011-02-01,23.50,30.90,23.01,29.950001,443500,14.975
2011-01-03,24.15,25.92,22.68,23.280001,245700,11.64
2010-12-01,18.700001,24.67,18.629999,23.959999,276400,11.98
2010-11-01,18.01,18.84,16.379999,18.450001,445500,9.225
2010-10-01,19.290001,19.809999,17.57,17.950001,379300,8.975
2010-09-01,20.370001,21.700001,18.42,19.07,331400,9.535
2010-08-02,22.00,23.01,18.99,20.049999,302300,10.025
2010-07-01,20.049999,22.530001,19.48,21.700001,346800,10.85
2010-06-01,22.620001,22.690001,18.940001,20.09,373300,10.045
2010-05-03,24.700001,26.51,21.41,22.74,502500,11.37
2010-04-01,21.52,25.40,21.17,24.49,249300,12.245
2010-03-01,20.10,22.00,19.190001,21.290001,272800,10.645
2010-02-01,15.68,20.110001,15.40,19.99,288200,9.995
2010-01-04,19.790001,20.40,15.39,15.42,190000,7.71
2009-12-01,17.459999,19.860001,16.030001,19.60,270300,9.80
2009-11-02,16.07,20.98,15.46,17.93,363800,8.965
2009-10-01,18.02,19.940001,15.56,15.91,231600,7.955
2009-09-01,18.809999,21.219999,17.35,18.200001,315200,9.10
2009-08-03,16.549999,19.290001,15.80,19.01,365100,9.505
2009-07-01,13.62,17.049999,11.51,16.35,375200,8.175
2009-06-01,11.82,14.85,11.00,13.37,348100,6.685
2009-05-01,10.86,12.99,10.03,11.11,365500,5.555
2009-04-01,7.39,11.80,7.24,10.95,572500,5.475
2009-03-02,9.01,9.25,5.11,7.63,737200,3.815
2009-02-02,14.60,17.719999,8.70,9.01,334200,4.505
2009-01-02,16.780001,19.50,14.57,14.79,467600,7.395
2008-12-01,13.13,16.879999,11.54,16.459999,373400,8.23
2008-11-03,16.60,16.75,9.54,13.56,363600,6.78
2008-10-01,17.99,18.459999,11.45,16.309999,566600,8.155
2008-09-02,18.27,21.73,16.00,18.110001,710100,9.055
