Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,45.299999,45.330002,44.540001,44.619999,2465600,21.315928
2013-03-01,42.939999,45.669998,41.52,45.330002,1277800,21.655109
2013-02-01,40.09,43.66,39.599998,43.240002,1749500,20.656673
2013-01-02,36.509998,40.560001,35.630001,39.700001,1898600,18.965538
2012-12-03,31.879999,36.25,31.280001,35.82,1776800,17.060816
2012-11-01,31.23,32.50,28.67,31.77,1359900,15.131828
2012-10-01,30.219999,33.130001,29.530001,31.280001,1829700,14.898445
2012-09-04,28.360001,34.299999,27.76,29.969999,2164700,14.223996
2012-08-01,28.32,32.84,27.389999,28.34,2173500,13.450386
2012-07-02,25.110001,28.790001,21.530001,28.00,1802300,13.289019
2012-06-01,24.08,25.790001,22.48,24.98,2136000,11.797379
2012-05-01,29.620001,30.209999,23.90,24.700001,1759800,11.665143
2012-04-02,32.669998,33.830002,28.84,29.60,2298100,13.97928
2012-03-01,34.970001,35.380001,31.889999,32.950001,1454300,15.51534
2012-02-01,31.98,36.09,31.75,34.759998,1731500,16.367624
2012-01-03,31.08,32.919998,28.40,31.459999,1644000,14.813735
2011-12-01,28.370001,30.75,26.73,30.059999,1159200,14.113536
2011-11-01,25.799999,30.43,24.59,28.58,1834100,13.418657
2011-10-03,21.08,29.190001,19.10,27.27,2087700,12.803596
2011-09-01,27.41,27.76,21.01,21.41,1716700,10.015922
2011-08-01,30.41,30.700001,20.77,27.559999,3680600,12.892984
2011-07-01,34.759998,37.349998,29.10,29.790001,2365600,13.936213
2011-06-01,34.240002,35.00,29.879999,34.880001,1504800,16.274961
2011-05-02,36.349998,36.689999,30.57,34.389999,1844700,16.046326
2011-04-01,36.77,38.150002,33.740002,36.200001,2357000,16.890871
2011-03-01,31.48,36.82,29.10,36.669998,2035800,17.072105
2011-02-01,28.299999,33.150002,28.209999,31.15,1904100,14.502213
2011-01-03,26.940001,29.129999,26.10,27.889999,1454400,12.984485
2010-12-01,23.469999,26.809999,23.370001,26.610001,1738100,12.352515
2010-11-01,22.860001,24.98,22.370001,22.90,1249600,10.630311
2010-10-01,22.389999,25.00,21.940001,22.73,1669600,10.551396
2010-09-01,17.559999,22.75,17.48,22.27,1599400,10.301983
2010-08-02,20.90,20.959999,16.110001,17.120001,1515200,7.919621
2010-07-01,17.629999,21.50,17.01,20.370001,1500600,9.423053
2010-06-01,21.57,22.23,17.58,17.719999,1831400,8.161223
2010-05-03,25.18,25.530001,19.059999,21.85,2797300,10.06336
2010-04-01,20.07,27.09,19.969999,24.889999,2975300,11.46348
2010-03-01,16.889999,20.950001,16.889999,19.959999,1930000,9.160692
2010-02-01,15.68,17.969999,14.95,16.83,2218800,7.724171
2010-01-04,17.51,18.620001,15.56,15.64,1850900,7.178018
2009-12-01,19.049999,19.50,17.379999,17.440001,1634600,7.968159
2009-11-02,16.889999,19.639999,16.700001,18.870001,1989300,8.621511
2009-10-01,17.110001,19.309999,16.129999,16.879999,2705300,7.712299
2009-09-01,15.62,19.35,15.09,17.190001,2638900,7.820797
2009-08-03,14.18,16.48,13.81,15.80,2585600,7.188399
2009-07-01,13.91,16.030001,11.63,13.96,2968800,6.351269
2009-06-01,15.41,15.84,12.24,13.62,2706600,6.155306
2009-05-01,14.74,17.459999,13.77,15.24,2928100,6.887435
2009-04-01,8.92,15.75,8.77,14.61,4130900,6.602718
2009-03-02,7.19,10.48,6.37,9.14,4778100,4.10224
2009-02-02,11.25,12.53,7.01,7.38,3999100,3.312312
2009-01-02,15.84,18.09,11.37,11.51,3218600,5.165949
2008-12-01,14.28,16.32,11.83,15.76,2592700,7.034951
2008-11-03,17.08,19.950001,9.34,14.87,4156000,6.637672
2008-10-01,25.92,26.57,15.05,16.879999,6652800,7.534896
2008-09-02,36.48,36.779999,24.959999,25.73,3857900,11.435069
2008-08-01,38.27,39.080002,33.630001,35.98,2502200,15.990431
2008-07-01,34.150002,39.360001,29.709999,37.639999,4664100,16.728178
2008-06-02,40.630001,40.849998,34.209999,34.689999,3993000,15.377553
2008-05-01,31.940001,41.150002,31.65,40.849998,4594100,18.108187
2008-04-01,27.01,31.360001,24.360001,30.40,2509000,13.475861
2008-03-03,28.00,28.780001,23.91,26.65,2531200,11.781189
2008-02-01,28.51,32.299999,27.549999,28.17,3076600,12.453137
2008-01-02,27.940001,28.440001,21.91,28.32,3447500,12.519447
2007-12-03,25.40,28.860001,24.450001,27.76,2738000,12.238187
2007-11-01,34.330002,35.07,24.280001,25.309999,5053400,11.158087
2007-10-01,37.709999,40.23,33.98,36.139999,2494100,15.932568
2007-09-04,37.59,38.220001,34.75,37.540001,2480800,16.52013
2007-08-01,38.23,40.099998,31.50,37.57,4721600,16.533333
2007-07-02,43.689999,47.459999,38.119999,38.23,3092100,16.823776
2007-06-01,46.349998,47.349998,41.00,43.540001,2505600,19.135511
2007-05-01,46.549999,49.700001,43.099998,46.169998,3781400,20.291376
2007-04-02,42.00,48.41,39.049999,46.400002,2887600,20.39246
2007-03-01,40.849998,42.25,38.82,41.919998,1936800,18.398003
2007-02-01,38.52,46.00,38.400002,41.849998,3351500,18.367281
2007-01-03,35.450001,38.349998,34.099998,38.25,1810800,16.7873
2006-12-01,38.029999,39.279999,34.950001,35.200001,1796600,15.422131
2006-11-01,36.310001,39.73,35.27,37.799999,2255200,16.561264
2006-10-02,32.049999,37.990002,30.92,36.060001,2517100,15.798922
2006-09-01,33.48,34.00,30.67,32.169998,1793300,14.068832
2006-08-01,33.419998,36.810001,32.209999,33.360001,2012400,14.589253
2006-07-03,40.150002,40.16,32.139999,33.419998,3048600,14.615493
2006-06-01,61.750019,61.759979,30.43,40.400002,5841400,17.639484
2006-05-01,63.650009,71.550003,60.250019,62.340004,3206500,18.145964
2006-04-03,54.640022,65.390015,54.640022,63.499981,2412900,18.48361
2006-03-01,53.500019,57.00,51.87999,54.389999,1873500,15.812362
2006-02-01,51.149998,53.859985,48.220016,52.999981,1293800,15.408254
2006-01-03,43.550011,51.349976,42.75,51.060001,1449900,14.844259
2005-12-01,41.890018,45.109982,41.890018,44.07,1075600,12.792169
2005-11-01,38.050018,42.859982,37.599991,41.639999,1264300,12.086814
2005-10-03,40.699982,41.750008,34.45998,38.050018,1305400,11.044753
2005-09-01,37.099979,41.750008,37.099979,40.490009,1604100,11.730693
2005-08-01,37.400009,38.46999,34.650002,37.429977,823300,10.844147
2005-07-01,32.130001,37.900021,31.099979,37.050003,1152000,10.73406
2005-06-01,29.109989,33.900002,29.099998,32.03001,1226200,9.263012
2005-05-02,23.400002,29.369999,23.07,29.059978,1450200,8.404085
2005-04-01,28.170002,28.609982,22.92,23.350019,1463900,6.752777
2005-03-01,28.74999,30.380009,27.300001,28.170002,2303400,8.128364
2005-02-01,30.400021,30.400021,27.00,28.800001,1405500,8.310148
2005-01-03,34.079998,34.099979,28.71999,30.24999,860500,8.728538
2004-12-01,35.320023,35.499992,30.97998,34.079998,1200900,9.814405
2004-11-01,30.99999,36.209999,30.02001,35.349991,907200,10.18014
2004-10-01,31.30002,31.95999,28.900021,31.160011,605200,8.973503
2004-09-01,27.740009,31.50,27.380009,31.170002,739600,8.958541
2004-08-02,30.00,30.400021,25.21998,27.75,1031000,7.975602
2004-07-01,31.98999,32.610001,29.52,30.070021,898000,8.642397
2004-06-01,28.449989,32.140018,28.06002,31.79001,757800,9.118525
2004-05-03,30.24,31.78002,26.73,28.609982,995400,8.206377
2004-04-01,27.719999,33.689999,27.02001,30.29001,1130600,8.68827
2004-03-01,29.099998,30.099991,26.130001,27.800011,661900,7.956713
2004-02-02,32.20998,33.53001,27.99999,29.099998,741400,8.328787
2004-01-02,30.900002,35.699997,30.66,32.099998,915500,9.187425
2003-12-01,26.199989,32.240009,26.00001,30.84,1260500,8.809936
2003-11-03,25.650002,26.76,23.390011,25.949999,650700,7.413029
2003-10-01,25.800001,27.19998,23.849998,25.449989,771400,7.270193
2003-09-02,26.29002,29.75001,25.509991,25.849979,1234100,7.367974
2003-08-01,22.650002,26.369999,21.62001,26.320021,1036400,7.501949
2003-07-01,18.51,23.149981,18.04998,22.689991,928700,6.467288
2003-06-02,17.29998,19.600019,17.12001,18.51,727600,5.260491
2003-05-01,16.62999,18.400021,16.150021,17.29998,704100,4.916606
2003-04-01,17.20998,17.240009,15.150001,16.54998,921400,4.703459
2003-03-03,16.27998,18.22998,15.68001,17.219999,492500,4.874932
2003-02-03,17.37999,17.58,15.850019,16.21002,406600,4.58901
2003-01-02,19.03002,19.74999,17.00001,17.390011,509600,4.923061
2002-12-02,19.559999,20.79999,18.560009,18.960001,619500,5.350774
2002-11-01,15.70998,20.149981,15.450001,19.530001,681500,5.511636
2002-10-01,16.530001,17.43,14.53998,15.70002,817300,4.430763
2002-09-03,17.990009,18.09,16.25001,16.45998,640600,4.626653
2002-08-01,18.12999,18.97998,17.350019,18.140011,612100,5.098884
2002-07-01,20.73,21.06999,16.70001,18.12999,866700,5.096067
2002-06-03,18.759991,21.560009,17.899981,20.71998,1260700,5.806246
2002-05-01,23.49999,23.49999,17.990009,18.75,1752300,5.25421
2002-04-01,24.209999,25.68,22.799999,23.49999,859600,6.585273
2002-03-01,21.93,24.699989,21.75,24.31002,1449000,6.796165
2002-02-01,23.67,24.209999,21.81999,21.93,674100,6.130801
2002-01-02,27.27,27.329998,23.419981,23.659981,484000,6.614439
2001-12-03,26.599979,28.28001,26.44998,27.17001,376600,7.541988
2001-11-01,24.890011,26.920021,24.420002,26.660011,280700,7.40042
2001-10-01,21.649981,25.81002,21.100019,24.87999,395000,6.906313
2001-09-04,24.92001,25.30002,20.590019,21.649981,497700,5.964619
2001-08-01,23.02002,27.97998,22.900021,24.92001,617100,6.86552
2001-07-02,20.49999,23.280001,20.49999,23.02002,351200,6.342068
2001-06-01,22.59,23.75001,20.49999,20.49999,412000,5.598801
2001-05-01,19.50,23.880001,19.43001,22.349998,571600,6.104062
2001-04-02,19.200001,19.619999,17.350019,19.50,643200,5.325691
2001-03-01,21.99,23.25,18.75,19.50,579900,5.273874
2001-02-01,23.549999,23.919991,21.400021,21.99,386200,5.947307
2001-01-02,24.75,25.37499,22.37499,23.549999,365900,6.369216
2000-12-01,24.87501,26.625,23.0625,24.99999,456000,6.709585
2000-11-01,23.56251,26.00001,22.62501,24.81249,408000,6.659263
2000-10-02,23.4375,24.81249,22.3125,24.06249,636700,6.457975
2000-09-01,19.74999,23.625,19.18749,23.37501,785400,6.225158
2000-08-01,19.37499,20.00001,18.1875,19.37499,505800,5.159886
2000-07-03,18.62499,19.50,18.24999,19.25001,523500,5.126601
2000-06-01,22.06251,23.00001,18.484379,18.50001,741000,4.879879
2000-05-01,22.25001,23.93751,21.50001,22.06251,356400,5.819585
2000-04-03,23.56251,23.8125,21.62499,22.25001,506000,5.869043
2000-03-01,22.18749,23.93751,19.74999,23.68749,748300,6.199583
2000-02-01,23.37501,24.12501,21.06249,22.125,829300,5.790642
2000-01-03,28.6875,28.6875,23.25,23.37501,763700,6.117799
