Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,40.720001,40.77,39.880001,40.169998,2007800,37.330383
2013-03-01,40.810001,41.189999,39.57,40.779999,1177700,37.897263
2013-02-01,42.119999,42.939999,39.290001,41.240002,1540700,38.324749
2013-01-02,42.799999,42.959999,40.389999,42.07,1122300,39.096073
2012-12-03,40.43,42.310001,38.16,41.919998,1199800,38.956676
2012-11-01,37.990002,40.029999,36.009998,39.939999,1633400,37.116642
2012-10-01,41.59,42.580002,37.240002,37.619999,1689600,34.723747
2012-09-04,42.02,44.880001,40.200001,40.77,1276600,37.631241
2012-08-01,38.77,42.419998,37.509998,41.709999,973300,38.498871
2012-07-02,35.700001,39.27,34.299999,38.279999,1386200,35.332935
2012-06-01,30.32,35.459999,29.790001,34.970001,1683700,32.277763
2012-05-01,39.060001,39.939999,31.07,31.18,1914700,28.779545
2012-04-02,37.630001,39.279999,33.950001,39.189999,1978900,35.624802
2012-03-01,39.009998,42.360001,37.779999,38.23,1669600,34.752136
2012-02-01,39.599998,42.330002,37.529999,38.68,1973900,35.161201
2012-01-03,39.52,40.77,37.91,39.259998,1524100,35.688435
2011-12-01,37.290001,38.610001,33.98,37.18,1750400,33.797657
2011-11-01,29.32,37.310001,29.290001,37.279999,2759500,33.888561
2011-10-03,24.52,34.66,23.290001,31.809999,2777000,28.697498
2011-09-01,32.720001,33.380001,24.940001,25.450001,2897900,22.959805
2011-08-01,44.560001,44.720001,30.34,33.200001,2921000,29.951492
2011-07-01,45.490002,47.82,43.360001,44.200001,1489400,39.875179
2011-06-01,48.23,48.869999,42.689999,45.73,1126700,41.255474
2011-05-02,50.880001,51.07,45.830002,48.689999,1398700,43.513302
2011-04-01,49.43,51.009998,47.029999,50.790001,1635200,45.390034
2011-03-01,45.990002,49.560001,42.919998,49.459999,1541400,44.201439
2011-02-01,47.610001,48.330002,44.029999,45.380001,2100300,40.555222
2011-01-03,49.50,49.880001,44.919998,47.169998,1998800,42.154907
2010-12-01,43.509998,49.50,43.50,48.98,1520500,43.772472
2010-11-01,41.82,46.16,41.389999,42.580002,2181400,38.052917
2010-10-01,39.060001,42.400002,37.759998,41.43,1691700,36.8092
2010-09-01,34.52,38.919998,34.43,38.419998,1142500,34.134911
2010-08-02,41.310001,41.950001,32.91,33.650002,2138200,29.896925
2010-07-01,35.299999,40.84,34.630001,40.049999,2203800,35.583115
2010-06-01,36.330002,39.02,34.150002,34.610001,2078400,30.749851
2010-05-03,40.990002,41.080002,33.150002,37.119999,2684500,32.617203
2010-04-01,43.799999,45.50,39.98,40.610001,2921900,35.683853
2010-03-01,42.09,45.09,41.779999,42.939999,2266300,37.731213
2010-02-01,43.400002,47.790001,40.240002,41.43,2236000,36.404385
2010-01-04,44.259998,47.759998,43.330002,44.00,1933800,38.662632
2009-12-01,40.549999,43.459999,37.91,42.650002,1264600,37.476395
2009-11-02,35.959999,42.720001,35.959999,39.459999,2349600,34.673351
2009-10-01,35.290001,41.150002,33.16,35.619999,2491200,31.098867
2009-09-01,28.860001,36.830002,27.950001,35.619999,2020400,31.098867
2009-08-03,31.41,31.99,28.559999,28.98,2066800,25.301662
2009-07-01,27.92,30.700001,23.860001,30.32,2173800,26.471581
2009-06-01,31.50,32.610001,24.719999,27.040001,2288300,23.607901
2009-05-01,25.25,31.00,24.809999,30.57,2656000,26.10433
2009-04-01,19.780001,25.67,19.76,25.02,2335300,21.365076
2009-03-02,16.780001,21.690001,14.82,20.17,3272300,17.223564
2009-02-02,19.43,23.50,16.799999,17.549999,2881200,14.986293
2009-01-02,20.99,24.450001,18.809999,19.790001,2251400,16.899075
2008-12-01,19.76,22.620001,18.01,20.98,2563800,17.915237
2008-11-03,20.139999,24.35,16.389999,21.030001,5087200,17.957935
2008-10-01,36.099998,37.240002,15.32,20.59,5660500,17.324669
2008-09-02,51.099998,52.09,33.299999,37.290001,3874300,31.376245
2008-08-01,59.889999,60.119999,48.990002,54.689999,2687800,46.016808
2008-07-01,71.849998,73.339996,57.849998,60.25,3054000,50.695061
2008-06-02,60.490002,75.43,58.889999,74.50,3553800,62.685177
2008-05-01,53.029999,62.279999,51.82,61.299999,2245400,51.198334
2008-04-01,49.34,56.349998,49.09,53.009998,1763900,44.274448
2008-03-03,44.990002,50.639999,44.07,49.849998,3216500,41.635185
2008-02-01,40.009998,45.52,36.75,44.450001,3065800,37.125057
2008-01-02,44.509998,44.950001,34.91,39.970001,2993800,33.38332
2007-12-03,47.00,47.240002,42.549999,44.73,1196600,37.358913
2007-11-01,51.84,52.59,43.919998,47.18,2580700,39.405178
2007-10-01,53.759998,54.82,49.610001,53.799999,2201100,44.692131
2007-09-04,45.869999,53.119999,43.779999,52.619999,2214200,43.711895
2007-08-01,47.880001,50.970001,41.049999,46.93,2915400,38.985165
2007-07-02,49.119999,53.139999,46.470001,48.169998,2347600,40.01524
2007-06-01,49.07,49.950001,45.950001,48.959999,2384800,40.671501
2007-05-01,46.919998,49.970001,43.310001,49.650002,2565900,40.736546
2007-04-02,45.779999,48.669998,45.619999,46.360001,1455600,38.037186
2007-03-01,44.84,46.98,41.240002,45.900002,2429400,37.659767
2007-02-01,47.700001,48.389999,43.59,45.450001,2114900,37.290554
2007-01-03,50.060001,50.43,45.869999,47.470001,1981700,38.94791
2006-12-01,46.040001,52.029999,45.110001,49.889999,1979900,40.933456
2006-11-01,39.080002,47.119999,38.50,47.009998,1944800,38.570492
2006-10-02,36.060001,39.50,33.650002,38.59,1817600,31.6621
2006-09-01,37.25,38.189999,34.049999,35.380001,1526300,29.028378
2006-08-01,38.720001,40.50,35.709999,36.709999,1736500,30.119608
2006-07-03,40.610001,41.32,35.540001,39.540001,1649600,32.441551
2006-06-01,36.490002,40.66,31.629999,40.490002,2167300,33.221001
2006-05-01,47.00,47.73,32.040001,36.889999,2792400,29.938486
2006-04-03,181.98999,241.309998,42.900002,45.900002,3550300,37.250652
2006-03-01,161.200012,186.62001,161.149994,180.669998,2898400,29.324945
2006-02-01,159.899994,163.549988,142.51001,160.149994,3300800,25.994299
2006-01-03,123.720001,164.899994,120.779999,162.450012,3053100,26.36762
2005-12-01,112.629997,128.990005,111.75,114.50,1978900,18.584747
2005-11-01,108.100006,120.600006,103.769997,111.800003,2750400,18.146505
2005-10-03,141.300003,144.899994,103.089996,109.849998,4075200,17.626873
2005-09-01,116.00,140.209991,112.709999,137.839996,2753300,22.118237
2005-08-01,96.110001,116.18,94.610001,114.479996,2364600,18.369818
2005-07-01,78.50,96.239998,78.099998,93.870003,2497000,15.062673
2005-06-01,69.899994,81.00,69.82,78.270004,1828900,12.559448
2005-05-02,57.399998,72.50,57.00,69.75,2024500,10.933901
2005-04-01,61.700001,63.790001,52.649998,57.150002,1777200,8.958745
2005-03-01,66.00,67.75,59.450001,61.510002,1555800,9.642212
2005-02-01,48.899998,67.00,48.899998,65.75,2410600,10.306867
2005-01-03,49.00,49.41,44.759998,49.299999,1475200,7.728191
