Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.209999,17.27,17.030001,17.08,21698400,15.750176
2013-03-01,18.17,18.43,16.870001,17.190001,10398100,15.851613
2013-02-01,17.889999,19.25,17.690001,18.25,8998200,16.829082
2013-01-02,17.76,18.35,17.40,17.74,11231300,16.358789
2012-12-03,17.27,17.370001,16.68,17.16,8652400,15.823948
2012-11-01,15.99,17.469999,15.75,17.27,10107200,15.925384
2012-10-01,15.73,16.309999,15.00,15.90,11779300,14.662049
2012-09-04,14.64,15.83,14.15,15.82,12240800,14.588278
2012-08-01,13.88,14.77,13.47,14.70,10785000,13.55548
2012-07-02,14.22,14.44,12.14,13.97,16364200,12.882317
2012-06-01,13.40,14.20,12.87,13.96,12880800,12.425568
2012-05-01,15.61,16.129999,13.66,13.73,13050300,12.220848
2012-04-02,15.27,16.15,14.60,15.58,10089200,13.867503
2012-03-01,14.65,15.51,14.10,15.28,7318200,13.600478
2012-02-01,14.10,14.80,13.79,14.52,9637800,12.924015
2012-01-03,13.11,14.43,13.04,14.08,11241000,12.532378
2011-12-01,12.95,13.36,12.31,12.91,10497500,11.49098
2011-11-01,12.34,13.09,12.00,12.92,12703000,11.499881
2011-10-03,11.35,13.06,11.26,12.62,13191200,11.232856
2011-09-01,11.92,12.51,11.29,11.43,15170800,10.173656
2011-08-01,12.60,12.69,10.75,11.97,15677700,10.654302
2011-07-01,12.59,13.05,12.00,12.36,17293600,11.001434
2011-06-01,13.73,14.05,12.26,12.61,18521600,11.223955
2011-05-02,13.51,13.94,13.07,13.66,15755400,11.666321
2011-04-01,12.26,13.50,11.85,13.50,15350500,11.529674
2011-03-01,12.54,12.63,11.33,12.18,16857500,10.402328
2011-02-01,13.26,13.74,12.01,12.29,16113600,10.496273
2011-01-03,12.56,13.85,12.24,13.07,17903300,11.162432
2010-12-01,10.96,12.73,10.90,12.54,11789900,10.709785
2010-11-01,10.91,11.29,10.71,10.75,10761600,9.181036
2010-10-01,10.21,10.94,10.12,10.91,12061300,9.317684
2010-09-01,9.47,10.38,9.42,10.14,16003500,8.660066
2010-08-02,10.21,10.38,9.32,9.40,14362200,8.028069
2010-07-01,9.77,10.60,9.60,10.10,13125700,8.625904
2010-06-01,9.73,10.48,9.31,9.76,14689500,7.940242
2010-05-03,10.67,10.70,9.30,9.75,19010500,7.932106
2010-04-01,10.55,11.25,10.40,10.59,15019800,8.615488
2010-03-01,9.91,10.62,9.75,10.49,15003700,8.534133
2010-02-01,10.14,10.29,9.40,9.75,16902600,7.932106
2010-01-04,11.49,11.69,9.89,10.16,20544300,8.265662
2009-12-01,10.52,11.50,10.43,11.44,12783600,9.307005
2009-11-02,9.74,10.92,9.35,10.39,17441700,8.452779
2009-10-01,10.93,10.99,9.39,9.54,29582000,7.761261
2009-09-01,10.86,11.20,10.37,10.96,17098000,8.916501
2009-08-03,10.73,11.00,10.00,10.70,12210700,8.704978
2009-07-01,9.480004,10.94,9.019995,10.47,16538200,8.517862
2009-06-01,11.060005,11.610002,9.019995,9.409996,21530800,7.264259
2009-05-01,10.660005,12.000002,9.299998,10.939998,21377900,8.445377
2009-04-01,8.919998,10.740003,8.780001,10.569997,25886300,8.159748
2009-03-02,7.359997,9.379996,7.359997,8.949997,24327600,6.909152
2009-02-02,7.500003,8.839999,7.25,7.540002,24923000,5.820675
2009-01-02,7.769997,8.469999,6.700003,7.540002,20851400,5.820675
2008-12-01,6.710003,8.42,6.03,7.900003,13389700,6.098586
2008-11-03,8.250005,8.45,5.830005,7.150002,16257900,5.519605
2008-10-01,9.220001,9.399997,6.209995,8.260005,23732300,6.376497
2008-09-02,9.460005,10.03,8.519998,9.369997,23727800,7.233381
2008-08-01,9.600001,10.770002,9.359997,9.709998,17468100,7.495852
2008-07-01,10.800001,10.969996,9.25,9.500004,21212100,7.333742
2008-06-02,11.27,11.970002,10.660005,10.909998,16422800,7.993798
2008-05-01,11.25,11.890004,10.780002,11.449995,14157900,8.389456
2008-04-01,10.300004,11.319999,10.149997,11.240001,16764500,8.235592
2008-03-03,9.829995,11.170003,9.500004,10.270004,21877900,7.524872
2008-02-01,9.450006,10.300004,8.939998,9.739998,14913900,7.136534
2008-01-02,9.839995,9.900003,7.560002,9.25,18418300,6.777511
2007-12-03,9.960002,10.380001,9.379996,9.960002,9855800,7.297732
2007-11-01,10.139997,10.740003,9.160003,9.920004,14389200,7.268425
2007-10-01,10.199996,10.830001,9.510004,10.649995,16127500,7.803292
2007-09-04,9.870005,10.400002,9.580002,10.119998,12908900,7.414962
2007-08-01,9.900003,10.340003,8.760002,9.920004,15168600,7.268425
2007-07-02,11.200002,11.809996,9.930003,10.149997,17646500,7.436943
2007-06-01,10.979997,11.339997,10.229996,11.130003,16501300,8.154996
2007-05-01,10.549997,10.949998,10.179996,10.909998,16875000,7.66016
2007-04-02,10.810001,11.100003,10.43,10.539998,14248700,7.400375
2007-03-01,10.810001,11.620001,9.799996,10.750003,13152500,7.547823
2007-02-01,10.909998,11.64,10.509998,11.100003,10296000,7.793568
2007-01-03,11.110004,11.500004,10.420001,10.909998,15955100,7.66016
2006-12-01,10.750003,11.279999,10.489999,10.929998,9735700,7.674202
2006-11-01,9.759997,10.800001,9.359997,10.750003,11509300,7.547823
2006-10-02,9.600001,10.499998,9.349998,9.699999,10910700,6.810592
2006-09-01,9.379996,9.950003,8.86,9.600001,10817000,6.740382
2006-08-01,8.650004,9.69,8.42,9.309999,9147800,6.536764
2006-07-03,9.220001,9.299998,7.970002,8.670005,9457100,6.087409
2006-06-01,9.499996,9.860002,8.310003,9.180001,9438000,6.44549
2006-05-01,10.550001,11.370006,9.249997,9.469997,10663700,6.176796
2006-04-03,10.179996,11.000001,10.169997,10.480003,9743600,6.835571
2006-03-01,9.790004,10.270003,9.300006,10.060002,8817400,6.561626
2006-02-01,10.750002,10.80,9.699998,9.729997,10405500,6.34638
2006-01-03,10.300001,11.04,9.780005,10.80,11459300,7.044289
2005-12-01,9.679999,10.159997,9.190001,9.909999,7610300,6.463786
2005-11-01,8.049999,9.630001,7.950004,9.580003,10817300,6.248547
2005-10-03,8.220002,8.569997,7.500003,8.079999,11061700,5.27017
