Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.76,24.82,24.309999,24.65,6692000,24.001221
2013-03-01,22.65,24.85,22.60,24.82,3873800,24.166746
2013-02-01,22.950001,24.309999,21.790001,22.67,6431500,22.073334
2013-01-02,19.709999,22.860001,19.610001,22.120001,4818800,21.489735
2012-12-03,19.25,19.91,19.030001,19.40,3526800,18.847235
2012-11-01,16.85,19.40,16.50,19.17,5737100,18.623789
2012-10-01,16.10,17.00,15.93,16.809999,4274000,16.202845
2012-09-04,15.66,16.73,15.51,16.02,5760900,15.44138
2012-08-01,15.05,16.33,14.07,15.66,8451400,15.094381
2012-07-02,18.879999,18.879999,14.62,15.01,6395600,14.430809
2012-06-01,19.15,19.549999,18.09,18.83,3457000,18.103407
2012-05-01,18.209999,19.77,17.639999,19.370001,4585800,18.62257
2012-04-02,19.18,19.540001,17.299999,18.25,4374000,17.509722
2012-03-01,18.93,19.99,18.709999,19.15,3688200,18.373215
2012-02-01,18.700001,19.83,18.50,18.91,4558400,18.14295
2012-01-03,20.889999,20.98,18.450001,18.639999,5465900,17.846527
2011-12-01,20.18,21.059999,19.82,20.639999,3270200,19.761391
2011-11-01,18.799999,20.309999,18.719999,20.139999,3675000,19.282675
2011-10-03,17.26,19.68,16.379999,19.299999,4139500,18.440779
2011-09-01,17.559999,17.85,15.96,17.360001,3921000,16.587147
2011-08-01,17.719999,17.799999,15.60,17.469999,5000700,16.692247
2011-07-01,19.50,19.700001,17.27,17.559999,3960300,16.739935
2011-06-01,18.950001,19.629999,17.09,19.42,5693200,18.513073
2011-05-02,19.959999,20.120001,17.620001,19.02,5459600,18.131752
2011-04-01,19.299999,19.950001,18.879999,19.90,3165400,18.929615
2011-03-01,18.84,19.99,18.24,19.190001,3654600,18.254238
2011-02-01,16.559999,19.139999,16.50,18.629999,4971200,17.721544
2011-01-03,17.209999,17.50,16.17,16.450001,4375800,15.613627
2010-12-01,16.09,17.809999,16.049999,17.219999,3772800,16.344477
2010-11-01,15.62,16.66,14.79,15.83,5062100,15.025149
2010-10-01,16.190001,16.33,14.59,15.55,5533100,14.722898
2010-09-01,16.51,17.209999,15.04,16.02,5849800,15.167899
2010-08-02,17.639999,17.870001,15.66,16.379999,5345000,15.508749
2010-07-01,16.309999,18.42,16.01,17.51,4318600,16.538721
2010-06-01,17.42,18.700001,16.35,16.389999,5785000,15.480847
2010-05-03,19.860001,20.07,16.50,17.58,7782600,16.604839
2010-04-01,19.23,20.57,18.91,19.59,5561500,18.459105
2010-03-01,17.049999,19.25,16.98,19.15,5256400,18.044504
2010-02-01,13.83,17.07,13.79,17.040001,6503800,16.056313
2010-01-04,12.27,14.11,12.15,13.82,5208400,12.990949
2009-12-01,12.13,12.87,12.04,12.27,3441400,11.533933
2009-11-02,12.58,13.40,11.94,12.02,4490700,11.29893
2009-10-01,12.55,13.07,11.91,12.52,4600900,11.731032
2009-09-01,11.82,13.25,11.55,12.63,3779300,11.8341
2009-08-03,12.00,12.29,10.76,11.99,5629600,11.23443
2009-07-01,12.30,13.33,11.02,11.43,5261000,10.674198
2009-06-01,13.56,13.94,11.95,12.61,4814000,11.776172
2009-05-01,10.54,14.25,10.34,13.32,5174600,12.439223
2009-04-01,9.25,11.70,9.16,10.54,4532700,9.814289
2009-03-02,8.25,10.15,7.51,9.39,5110100,8.74347
2009-02-02,8.81,9.94,7.52,8.43,6007200,7.849569
2009-01-02,8.81,9.67,7.90,8.85,6774400,8.200453
2008-12-01,6.73,9.06,5.21,8.76,5681100,8.117059
2008-11-03,8.73,9.75,4.40,6.71,9671800,6.217518
2008-10-01,11.78,13.08,5.71,8.74,7869000,8.046861
2008-09-02,14.52,15.30,10.97,11.94,8627200,10.993079
2008-08-01,15.02,17.549999,14.39,14.52,3952600,13.368469
2008-07-01,14.71,18.40,14.08,14.90,5159900,13.682349
2008-06-02,18.93,19.07,13.10,14.94,7687700,13.719081
2008-05-01,17.66,18.969999,17.280001,18.84,4251100,17.300367
2008-04-01,16.040001,19.50,16.040001,17.799999,5169800,16.309053
2008-03-03,14.36,17.440001,14.28,15.95,4213400,14.614013
2008-02-01,14.27,15.12,13.43,14.41,3062000,13.203004
2008-01-02,15.23,15.48,12.81,14.22,3604000,12.992526
