Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.75,24.799999,24.33,24.440001,1935600,23.600441
2013-03-01,23.65,24.83,23.50,24.780001,1458400,23.928761
2013-02-01,23.459999,23.870001,21.530001,23.76,2065900,22.84824
2013-01-02,21.719999,24.00,21.57,23.25,1984900,22.357809
2012-12-03,22.08,22.49,21.10,21.42,1560600,20.598034
2012-11-01,22.469999,22.809999,21.389999,21.950001,1401900,21.012617
2012-10-01,23.709999,24.40,21.91,22.49,1204900,21.529554
2012-09-04,23.200001,24.43,23.00,23.700001,1324500,22.687881
2012-08-01,23.73,24.120001,22.940001,23.18,1240900,22.097166
2012-07-02,23.85,25.059999,22.32,23.65,1679800,22.54521
2012-06-01,22.959999,23.969999,22.35,23.93,1522100,22.81213
2012-05-01,23.43,23.809999,21.809999,23.27,1558500,22.090185
2012-04-02,23.040001,23.879999,22.389999,23.52,1334200,22.327509
2012-03-01,21.969999,23.24,21.559999,23.07,1132600,21.900324
2012-02-01,21.60,22.040001,21.299999,21.879999,1142800,20.679317
2012-01-03,19.83,22.42,19.35,21.440001,1529600,20.263464
2011-12-01,19.950001,20.43,18.889999,19.559999,1367200,18.486629
2011-11-01,19.48,20.290001,18.719999,20.040001,1435300,18.844826
2011-10-03,16.82,20.50,16.59,19.889999,1990900,18.703772
2011-09-01,18.110001,18.49,16.65,16.93,1714300,15.920304
2011-08-01,18.790001,18.870001,15.80,18.15,2424600,16.999313
2011-07-01,18.610001,19.360001,17.68,18.610001,1500900,17.430151
2011-06-01,18.59,18.639999,17.09,18.58,1273100,17.402052
2011-05-02,18.969999,19.27,18.08,18.60,1076600,17.351021
2011-04-01,18.09,19.209999,18.030001,18.85,1247100,17.584232
2011-03-01,18.02,18.549999,17.200001,18.02,1371800,16.809967
2011-02-01,17.52,17.959999,17.00,17.75,1148400,16.493128
2011-01-03,15.47,18.07,15.44,17.41,1550000,16.177202
2010-12-01,15.27,15.62,15.10,15.38,887900,14.290947
2010-11-01,15.63,16.00,14.97,15.09,951500,13.957499
2010-10-01,15.36,16.10,15.11,15.61,1166300,14.438472
2010-09-01,14.37,15.50,13.98,15.24,1689600,14.096241
2010-08-02,15.08,15.44,13.87,14.20,1152700,13.071147
2010-07-01,13.55,15.74,13.41,14.91,1393300,13.724705
2010-06-01,14.45,15.02,13.52,13.60,1458600,12.518846
2010-05-03,16.139999,16.18,13.93,14.60,2289200,13.373928
2010-04-01,15.73,16.99,15.65,16.01,1608700,14.665519
2010-03-01,14.56,15.94,14.29,15.66,1374800,14.344911
2010-02-01,14.34,14.99,14.11,14.24,1862800,12.983769
2010-01-04,17.32,17.75,14.19,14.31,2740100,13.047594
2009-12-01,17.299999,17.709999,17.110001,17.27,867900,15.746468
2009-11-02,15.97,17.639999,15.82,17.280001,1445400,15.692886
2009-10-01,16.049999,16.92,14.76,15.97,1535600,14.503205
2009-09-01,15.26,16.43,14.31,16.110001,1287600,14.630347
2009-08-03,14.78,15.63,14.39,15.26,1182900,13.796191
2009-07-01,13.44,14.78,12.61,14.68,1847700,13.271828
2009-06-01,13.54,14.49,13.00,13.39,1528700,12.105571
2009-05-01,12.58,13.84,12.20,13.65,2131500,12.277942
2009-04-01,13.65,14.79,12.31,12.47,2188500,11.216552
2009-03-02,12.38,14.00,11.33,13.81,1887700,12.42186
2009-02-02,12.55,13.72,11.88,12.58,1722300,11.254045
2009-01-02,14.00,15.07,12.61,12.66,1427600,11.325613
2008-12-01,14.20,14.33,12.60,14.00,1078200,12.524375
2008-11-03,13.65,14.27,10.36,14.27,1038600,12.699722
2008-10-01,16.139999,16.459999,11.08,13.74,1413000,12.228044
2008-09-02,20.190001,20.450001,14.30,16.40,1278800,14.595336
2008-08-01,19.639999,21.32,18.950001,19.92,908000,17.658821
2008-07-01,21.84,23.15,16.620001,19.58,1128200,17.357416
2008-06-02,24.58,25.27,22.139999,22.219999,758700,19.697741
2008-05-01,23.85,25.67,23.34,24.52,629300,21.674404
2008-04-01,23.83,26.620001,23.379999,23.799999,857900,21.03796
2008-03-03,22.299999,24.17,21.18,23.66,1057800,20.914209
2008-02-01,23.059999,23.90,21.32,22.23,1003800,19.586775
2008-01-02,28.00,28.190001,18.76,23.10,2171500,20.353331
2007-12-03,28.34,29.93,24.35,28.00,1488800,24.670704
2007-11-01,29.51,30.50,27.129999,28.040001,569500,22.137623
2007-10-01,27.66,30.99,27.34,29.959999,488500,23.653463
2007-09-04,27.709999,28.50,26.68,27.780001,302900,21.932352
2007-08-01,28.10,29.51,26.93,27.74,380500,21.845762
2007-07-02,29.629999,30.309999,28.030001,28.129999,460800,22.152895
2007-06-01,33.650002,33.650002,29.00,29.51,457000,23.239672
2007-05-01,30.950001,35.049999,30.66,33.189999,494900,26.07818
2007-04-02,32.099998,32.990002,31.00,31.059999,331000,24.404589
2007-03-01,31.219999,32.619999,29.00,31.85,342400,25.025311
2007-02-01,30.950001,33.09,30.00,31.18,434000,24.444242
2007-01-03,26.040001,30.969999,25.48,30.90,477900,24.22473
2006-12-01,25.969999,26.610001,25.50,26.389999,110400,20.689016
2006-11-01,24.00,26.15,23.50,25.969999,138700,20.305435
2006-10-02,22.83,24.77,22.40,24.08,165900,18.827681
2006-09-01,22.299999,24.02,21.700001,22.83,219500,17.85033
2006-08-01,20.92,22.90,20.90,22.290001,124400,17.375555
2006-07-03,19.35,21.07,17.870001,21.02,176000,16.385561
2006-06-01,18.00,19.50,17.99,19.25,122800,15.005805
2006-05-01,20.040001,20.360001,17.92,18.07,136300,14.033099
2006-04-03,20.00,20.76,19.440001,20.030001,165000,15.555229
2006-03-01,19.719999,20.219999,19.50,19.92,118700,15.469803
2006-02-01,19.530001,20.18,19.26,19.60,152700,15.175399
2006-01-03,19.65,20.790001,18.540001,19.629999,204600,15.198626
2005-12-01,21.700001,23.48,17.76,19.790001,200700,15.322508
2005-11-01,21.450001,22.299999,20.90,21.559999,110400,16.648304
2005-10-03,23.43,23.65,20.450001,21.309999,184800,16.455259
2005-09-01,23.459999,24.00,22.51,23.309999,122000,17.999628
2005-08-01,24.59,24.82,23.190001,23.450001,74000,18.061621
2005-07-01,24.049999,25.200001,23.08,24.559999,140600,18.916561
