Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.42,24.48,23.82,23.84,2578200,23.57268
2013-03-01,26.780001,28.639999,24.15,24.41,1927900,24.136288
2013-02-01,27.799999,29.25,26.559999,27.139999,1959700,26.835674
2013-01-02,29.450001,30.85,26.57,27.629999,2095900,27.320181
2012-12-03,25.18,28.870001,24.92,28.719999,1222100,28.397959
2012-11-01,24.90,26.370001,23.549999,25.07,1370500,24.788887
2012-10-01,26.00,27.00,23.40,24.15,1135400,23.879202
2012-09-04,21.200001,25.74,20.33,25.68,1778600,25.392048
2012-08-01,20.50,22.299999,19.75,21.120001,1418500,20.883179
2012-07-02,21.84,22.49,18.83,20.200001,1357700,19.973495
2012-06-01,20.02,22.41,19.85,21.959999,1849800,21.34815
2012-05-01,29.67,30.00,20.370001,20.790001,2681400,20.210751
2012-04-02,27.17,30.629999,26.799999,29.75,1962700,28.921104
2012-03-01,27.34,28.969999,25.799999,26.969999,1881000,26.218561
2012-02-01,24.85,28.74,24.75,27.299999,2489500,26.539366
2012-01-03,17.82,24.440001,17.82,24.08,2620000,23.409082
2011-12-01,17.35,18.73,15.88,16.90,1612500,16.429132
2011-11-01,19.07,19.75,14.86,17.200001,2257300,16.720774
2011-10-03,15.28,21.959999,14.33,20.049999,2294200,19.491365
2011-09-01,16.639999,17.15,14.50,15.38,2377300,14.951483
2011-08-01,21.73,21.809999,14.95,16.629999,2782300,16.166655
2011-07-01,22.40,24.290001,21.01,21.42,2035500,20.823196
2011-06-01,24.040001,24.15,20.75,22.51,2719900,21.464588
2011-05-02,27.620001,27.620001,23.77,24.23,2438000,23.104706
2011-04-01,27.98,29.059999,26.40,27.440001,1688200,26.165628
2011-03-01,25.209999,28.34,24.540001,27.790001,2453000,26.499374
2011-02-01,23.639999,27.450001,23.35,24.620001,3669400,23.476595
2011-01-03,29.809999,30.209999,23.91,24.26,3240000,23.133314
2010-12-01,34.23,34.380001,27.360001,29.34,3633600,27.977388
2010-11-01,28.35,37.650002,27.57,32.709999,3561800,31.190876
2010-10-01,25.90,29.16,25.290001,28.120001,1425900,26.814047
2010-09-01,21.709999,26.059999,21.540001,25.51,1612500,24.32526
2010-08-02,19.110001,22.93,18.799999,21.41,1728500,20.415674
2010-07-01,17.00,19.32,16.719999,18.91,1036300,17.734194
2010-06-01,16.32,18.469999,16.059999,17.190001,1023900,16.121143
2010-05-03,20.48,20.84,15.25,16.68,1736400,15.642854
2010-04-01,18.709999,20.76,18.58,20.41,1032100,19.140926
2010-03-01,16.200001,18.790001,16.200001,18.459999,1805600,17.312174
2010-02-01,15.20,16.290001,13.85,16.18,1364900,15.173944
2010-01-04,17.57,18.09,14.55,14.63,1754800,13.720321
2009-12-01,14.95,17.389999,14.65,16.860001,1276400,15.811662
2009-11-02,11.62,14.38,11.46,14.32,1543800,13.429596
2009-10-01,12.65,13.10,11.32,11.38,1572100,10.672402
2009-09-01,12.10,13.58,11.47,12.96,972500,12.15416
2009-08-03,10.66,12.34,10.50,11.59,1327600,10.869346
2009-07-01,8.65,11.00,7.37,10.55,1541700,9.894011
2009-06-01,9.81,11.00,8.18,8.52,1703900,7.892644
2009-05-01,7.83,10.15,7.00,9.68,2272900,8.967229
2009-04-01,4.92,8.30,4.83,7.71,1838600,7.142287
2009-03-02,3.50,5.20,3.05,4.93,1073400,4.566988
2009-02-02,4.04,4.23,3.18,3.51,769100,3.251547
2009-01-02,4.47,5.41,3.90,4.04,728300,3.742521
2008-12-01,4.27,4.93,3.75,4.45,842200,4.122331
2008-11-03,5.71,5.75,3.62,4.55,1348200,4.214968
2008-10-01,7.65,7.65,3.50,5.85,1528600,5.419245
2008-09-02,10.04,10.04,7.23,7.66,1397100,7.095968
2008-08-01,9.44,10.71,9.25,9.86,1193200,9.133975
2008-07-01,9.73,10.80,8.66,9.35,1739500,8.661529
2008-06-02,13.50,13.73,9.63,10.05,1781400,9.309985
2008-05-01,16.60,17.379999,13.50,13.86,1341700,12.475846
2008-04-01,15.82,16.82,15.01,16.540001,1027100,14.888205
2008-03-03,17.50,17.84,14.71,15.62,1398400,14.060081
2008-02-01,19.01,20.049999,17.50,17.52,929800,15.770335
2008-01-02,19.629999,20.049999,16.459999,18.50,1395600,16.652466
2007-12-03,18.49,19.74,17.27,18.860001,844500,16.976513
2007-11-01,19.15,19.40,16.60,18.67,1095400,16.805489
2007-10-01,19.219999,21.299999,18.709999,19.700001,1229800,17.732626
2007-09-04,16.940001,19.34,16.77,19.139999,899300,17.22855
2007-08-01,16.809999,17.33,15.26,16.950001,1210600,15.257259
