Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.16,1.16,1.16,1.16,000,0.8081
2013-03-01,1.10,13.185,0.79,1.16,700,0.8081
2013-02-01,1.08,12.50,0.80,1.10,1500,0.7099
2013-01-01,1.10,12.87,0.79,1.08,2100,0.697
2012-12-03,1.10,12.30,1.05,1.05,2200,0.6777
2012-11-01,1.10,13.01,1.10,1.10,1200,0.6709
2012-10-01,13.61,13.76,0.79,1.10,800,0.6593
2012-09-03,1.08,14.06,1.06,1.06,1700,0.6353
2012-08-01,13.83,14.29,1.08,1.08,10500,0.6104
2012-07-02,0.70,13.99,0.70,13.83,2000,7.8162
2012-06-01,0.70,14.088,0.70,0.70,5900,0.3829
2012-05-01,15.03,15.089,0.70,0.70,7300,0.3498
2012-04-02,0.83,15.07,0.82,0.82,3100,0.4098
2012-03-01,0.83,14.19,0.82,0.83,3800,0.4148
2012-02-01,0.82,14.28,0.82,0.82,000,0.3799
2012-01-02,13.79,13.79,0.70,0.82,11500,0.3799
2011-12-01,0.70,14.00,0.70,0.70,13000,0.3172
2011-11-01,13.39,14.97,0.70,12.35,15800,5.1568
2011-10-03,12.72,15.00,0.69,13.88,24900,5.7956
2011-09-01,13.82,14.13,11.29,12.91,24100,5.3906
2011-08-01,14.83,14.89,0.70,13.86,29500,5.7623
2011-07-01,15.50,15.74,0.70,14.70,23500,6.1115
2011-06-01,0.70,16.00,0.70,15.45,20500,6.4147
2011-05-02,16.96,16.96,0.70,15.38,30400,6.3616
2011-04-01,16.28,16.97,0.60,0.70,27200,0.2895
2011-03-01,0.60,16.37,0.60,16.13,17100,6.6718
2011-02-01,0.60,0.60,0.60,0.60,70100,0.2254
2011-01-03,0.60,14.98,0.60,0.60,135100,0.2254
2010-12-01,0.60,15.20,0.60,14.95,141900,5.4765
2010-11-01,0.60,0.60,0.60,0.60,622100,0.219
2010-10-01,0.70,0.70,0.60,0.60,000,0.219
2010-09-01,0.70,12.47,0.70,0.70,1300,0.2556
2010-08-02,0.70,11.07,0.70,0.70,800,0.2373
2010-07-01,0.60,0.70,0.60,0.70,000,0.2373
2010-06-01,0.60,11.89,0.60,0.60,1300,0.2034
2010-05-03,0.60,12.32,0.60,0.60,2900,0.1864
2010-04-01,0.70,12.43,0.60,0.60,1400,0.1864
2010-03-01,0.50,10.81,0.50,0.50,800,0.1554
2010-02-01,0.70,9.11,0.50,0.50,600,0.1554
2010-01-04,0.70,0.70,0.70,0.70,000,0.1958
2009-12-01,0.70,10.10,0.70,0.70,3400,0.1958
2009-11-02,0.70,8.11,0.40,0.70,700,0.1958
2009-10-01,0.70,10.50,0.70,0.70,4000,0.1958
2009-09-01,0.70,12.03,0.70,10.78,18600,3.0149
2009-08-03,0.70,12.46,0.70,0.70,1500,0.1958
2009-07-01,0.70,0.70,0.68,0.70,000,0.1958
