Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.00,21.190001,20.879999,20.92,2109400,20.92
2013-03-01,23.43,24.76,20.700001,20.940001,1231000,20.940001
2013-02-01,22.66,23.90,21.719999,23.639999,362400,23.639999
2013-01-02,21.33,23.99,19.440001,22.49,480400,22.49
2012-12-03,22.209999,23.049999,19.77,20.85,455900,20.85
2012-11-01,21.709999,22.98,19.92,22.469999,888600,22.469999
2012-10-01,23.65,25.08,20.049999,22.40,330300,22.40
2012-09-04,21.16,26.98,20.50,23.540001,467600,23.540001
2012-08-01,18.07,23.90,16.26,21.059999,471200,21.059999
2012-07-02,17.450001,18.549999,15.11,18.049999,387400,18.049999
2012-06-01,16.73,19.780001,14.44,17.50,913700,17.50
2012-05-01,25.629999,25.629999,17.139999,17.25,1012100,17.25
2012-04-19,26.00,28.700001,24.07,25.469999,3491600,25.469999
