Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,81.739998,82.339996,80.57,80.889999,717800,71.968735
2013-03-01,77.849998,82.279999,75.349998,81.739998,732000,72.724991
2013-02-01,76.639999,79.940002,75.220001,78.230003,589900,69.052246
2013-01-02,65.400002,76.349998,63.57,76.199997,560300,67.260391
2012-12-03,65.00,67.82,62.080002,64.099998,513600,56.579941
2012-11-01,60.02,65.199997,60.02,64.849998,480200,56.928581
2012-10-01,53.560001,60.610001,52.799999,59.099998,408800,51.880943
2012-09-04,53.389999,58.080002,53.040001,53.59,338200,47.043991
2012-08-01,52.790001,54.919998,50.900002,53.48,346300,46.654362
2012-07-02,54.720001,56.09,51.240002,52.419998,309500,45.729649
2012-06-01,52.84,55.09,51.279999,54.759998,424500,47.770996
2012-05-01,62.23,62.810001,52.299999,54.049999,582500,46.835629
2012-04-02,63.50,64.629997,60.049999,62.290001,537400,53.975792
2012-03-01,62.830002,64.989998,60.759998,63.50,378700,55.024284
2012-02-01,63.009998,63.599998,59.650002,62.689999,680900,54.014137
2012-01-03,56.790001,64.449997,54.880001,62.84,418100,54.143383
2011-12-01,56.59,58.360001,53.00,55.970001,513900,48.224144
2011-11-01,54.689999,59.450001,52.779999,58.259998,611300,49.921104
2011-10-03,53.00,61.349998,49.860001,56.540001,797900,48.447296
2011-09-01,66.809998,67.610001,53.720001,53.740002,763800,46.048065
2011-08-01,63.77,66.800003,52.50,66.50,1048800,56.703011
2011-07-01,67.639999,71.989998,60.830002,62.490002,688800,53.283779
2011-06-01,65.449997,67.760002,60.580002,67.449997,621300,57.513054
2011-05-02,63.720001,66.82,61.07,65.459999,764400,55.54541
2011-04-01,60.00,65.839996,57.389999,63.669998,516400,54.026524
2011-03-01,53.970001,59.799999,52.52,59.709999,699200,50.666306
2011-02-01,49.889999,55.43,49.169998,53.650002,991600,45.289131
2011-01-03,48.00,49.43,45.18,45.75,552000,38.620274
2010-12-01,47.169998,48.639999,45.959999,47.669998,406500,40.241058
2010-11-01,44.950001,48.43,44.759998,46.48,504600,38.988384
2010-10-01,46.349998,50.459999,44.759998,44.810001,739700,37.587555
2010-09-01,39.880001,46.18,39.880001,45.759998,495200,38.384434
2010-08-02,40.049999,42.220001,38.900002,39.34,730500,32.807171
2010-07-01,39.709999,43.959999,36.119999,39.389999,1187400,32.848869
2010-06-01,42.00,42.139999,36.189999,39.849998,1396900,33.232479
