Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.00,21.110001,20.49,20.84,1772600,20.708744
2013-03-01,21.00,22.58,20.42,21.08,1120400,20.947231
2013-02-01,24.540001,27.120001,20.129999,21.110001,1866700,20.972128
2013-01-02,22.280001,25.01,21.35,24.290001,745800,24.131359
2012-12-03,20.59,22.059999,20.25,21.719999,653200,21.578144
2012-11-01,21.16,21.469999,18.299999,20.33,543100,20.192574
2012-10-01,17.950001,21.67,17.51,20.98,852800,20.838179
2012-09-04,20.940001,21.99,16.860001,17.66,1032700,17.540621
2012-08-01,20.889999,22.549999,19.879999,20.879999,664100,20.732836
2012-07-02,24.66,25.540001,18.34,20.67,952100,20.524317
2012-06-01,21.58,24.700001,20.040001,24.530001,796700,24.357111
2012-05-01,28.74,29.950001,21.82,22.40,1142400,22.237011
2012-04-02,23.65,28.99,21.51,28.889999,952100,28.679787
2012-03-01,24.709999,26.549999,22.25,23.65,603600,23.477915
2012-02-01,24.49,26.950001,24.280001,24.639999,652000,24.455797
2012-01-03,20.030001,25.110001,19.50,24.139999,648000,23.959536
2011-12-01,21.389999,23.040001,17.85,19.459999,691100,19.314522
2011-11-01,21.15,23.290001,18.620001,21.540001,895800,21.373398
2011-10-03,14.81,23.51,12.97,22.50,1049100,22.325972
2011-09-01,21.530001,22.77,14.94,15.00,984500,14.883981
2011-08-01,25.93,26.639999,16.23,21.50,1231100,21.327341
2011-07-01,24.35,27.93,23.90,25.27,890600,25.067066
2011-06-01,27.309999,27.309999,20.73,24.26,1105700,24.065176
2011-05-02,31.33,31.42,24.879999,27.49,1119000,27.263237
2011-04-01,26.98,31.27,24.549999,30.889999,903400,30.635191
2011-03-01,24.18,26.67,22.110001,26.610001,1023800,26.390497
2011-02-01,19.27,24.040001,18.969999,24.02,769400,23.817131
2011-01-03,19.84,20.73,17.719999,19.00,731600,18.839529
2010-12-01,16.43,19.860001,15.86,19.540001,566300,19.374969
2010-11-01,15.22,16.879999,14.24,15.98,800100,15.84093
2010-10-01,13.69,16.059999,12.85,15.17,913400,15.037979
2010-09-01,10.40,14.28,10.35,13.57,821500,13.451903
2010-08-02,11.39,12.01,9.81,10.14,461000,10.048064
2010-07-01,9.96,12.00,9.36,10.98,573900,10.880447
2010-06-01,10.41,12.25,9.25,9.97,537100,9.879606
2010-05-03,12.63,13.10,9.42,10.57,730300,10.469421
2010-04-01,8.81,13.10,8.81,12.41,985300,12.291913
2010-03-01,8.34,9.25,8.26,8.73,443300,8.64693
2010-02-01,7.83,8.81,7.15,8.25,553600,8.166849
2010-01-04,8.16,9.84,7.76,7.76,1074100,7.681788
2009-12-01,8.39,9.42,7.55,8.11,1168200,8.02826
2009-11-02,8.40,8.77,7.84,8.28,422000,8.19143
2009-10-01,8.85,10.37,7.88,8.40,533800,8.310146
2009-09-01,8.30,9.75,7.50,8.90,408000,8.804798
