Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.360001,20.450001,20.040001,20.18,800600,17.411991
2013-03-01,19.99,20.549999,19.51,20.35,602700,17.558674
2013-02-01,23.77,24.00,19.75,20.139999,678800,17.377478
2013-01-02,24.00,24.129999,22.889999,23.629999,487100,20.388767
2012-12-03,23.00,23.719999,21.07,23.549999,575900,20.31974
2012-11-01,20.860001,22.870001,19.93,22.83,419700,19.698502
2012-10-01,19.790001,21.40,18.030001,20.530001,397900,17.713984
2012-09-04,18.82,21.790001,18.459999,19.620001,567200,16.928804
2012-08-01,19.799999,20.50,17.360001,18.959999,553800,16.359333
2012-07-02,19.780001,20.98,17.959999,19.549999,456300,16.868404
2012-06-01,18.469999,21.540001,17.620001,19.57,585600,16.885662
2012-05-01,23.68,24.549999,18.27,18.940001,691000,16.342077
2012-04-02,23.639999,24.700001,21.10,23.719999,897700,19.832394
2012-03-01,23.639999,25.139999,22.18,23.68,757000,19.79895
2012-02-01,22.74,24.459999,20.10,23.639999,745900,19.765507
2012-01-03,18.99,23.68,18.469999,22.67,831700,18.954485
2011-12-01,16.700001,18.82,16.52,18.389999,916900,15.375958
2011-11-01,23.73,26.16,15.31,16.68,1182900,13.94622
2011-10-03,20.51,26.24,19.200001,24.540001,720700,20.518002
2011-09-01,25.41,25.60,19.73,20.83,604000,17.416054
2011-08-01,29.459999,29.59,21.50,25.379999,771600,21.220327
2011-07-01,29.639999,31.16,28.35,28.99,364200,24.238665
2011-06-01,31.09,31.16,28.190001,29.530001,491000,24.690161
2011-05-02,33.98,34.02,30.120001,31.10,642700,25.364477
2011-04-01,36.259998,36.869999,32.00,33.619999,639200,27.419733
2011-03-01,36.119999,37.299999,33.619999,35.939999,605000,29.311874
2011-02-01,39.279999,40.540001,35.139999,36.040001,1672700,29.393433
2011-01-03,42.84,43.689999,37.299999,38.939999,331400,31.758608
2010-12-01,34.709999,43.849998,34.669998,42.41,361100,34.588665
2010-11-01,34.369999,37.07,33.299999,34.18,223300,27.876457
2010-10-01,32.919998,36.220001,32.34,34.279999,224700,27.958014
2010-09-01,34.23,35.84,31.24,32.650002,273300,26.628624
2010-08-02,36.25,36.73,30.129999,32.77,347300,26.726492
2010-07-01,32.509998,37.939999,31.040001,35.75,274000,29.156916
2010-06-01,33.84,37.799999,31.00,32.919998,305100,26.848827
2010-05-03,37.34,39.68,28.83,34.049999,530300,27.376078
2010-04-01,41.099998,43.52,35.25,36.939999,314600,29.699627
2010-03-01,34.00,42.169998,33.740002,41.029999,312900,32.987972
2010-02-01,29.76,34.459999,27.700001,34.23,454000,27.520798
2010-01-04,36.27,38.34,29.58,29.76,439000,23.926935
2009-12-01,32.209999,36.200001,31.35,35.419998,285600,28.477552
2009-11-02,25.00,33.59,23.950001,31.469999,485900,25.301767
2009-10-01,26.120001,28.74,22.219999,25.129999,533900,20.20443
2009-09-01,25.00,28.379999,23.690001,26.60,399900,21.386305
2009-08-03,20.620001,26.049999,20.280001,25.139999,359400,20.212471
2009-07-01,17.35,21.459999,14.97,20.40,336200,16.401527
2009-06-01,17.57,18.959999,16.290001,17.26,383800,13.876979
2009-05-01,8.41,17.52,8.41,17.110001,842400,13.75638
2009-04-01,6.64,8.78,6.64,8.41,360600,6.76161
2009-03-02,6.51,7.95,5.46,6.85,372800,5.507376
2009-02-02,9.18,10.41,6.41,6.57,370700,5.282257
2009-01-02,8.80,11.39,8.02,9.33,312500,7.501287
2008-12-01,6.63,9.24,6.10,8.57,374700,6.890249
2008-11-03,8.96,9.70,4.55,7.18,729400,5.772694
