Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.57,17.57,17.469999,17.540001,143400,15.669973
2013-03-01,17.049999,17.620001,16.950001,17.549999,66700,15.678905
2013-02-01,16.940001,17.290001,16.84,17.059999,53700,15.076612
2013-01-02,16.25,17.08,16.25,16.91,61600,14.944052
2012-12-03,16.059999,16.24,15.80,16.049999,136300,14.184034
2012-11-01,16.040001,16.33,15.10,16.040001,72800,14.007914
2012-10-01,16.26,16.60,15.89,16.02,52600,13.990447
2012-09-04,16.01,16.559999,15.95,16.219999,81000,14.165109
2012-08-01,15.78,16.280001,15.54,16.030001,37800,13.867434
2012-07-02,15.45,15.80,15.12,15.71,41100,13.590604
2012-06-01,14.76,15.47,14.51,15.47,50000,13.382981
2012-05-01,15.80,16.00,14.55,14.93,44400,12.787358
2012-04-02,15.94,16.08,15.43,15.80,39300,13.532502
2012-03-01,15.88,16.15,15.55,15.92,50000,13.635281
2012-02-01,15.14,15.96,15.14,15.83,57700,13.469828
2012-01-03,14.43,15.15,14.33,15.07,82800,12.82314
2011-12-01,14.01,14.41,13.76,14.23,93300,12.108379
2011-11-01,14.00,14.55,13.07,13.99,66300,11.841771
2011-10-03,12.68,14.63,11.95,14.30,88900,12.10417
2011-09-01,13.91,14.08,12.65,12.72,77600,10.766787
2011-08-01,14.84,14.92,12.41,13.96,102900,11.75587
2011-07-01,14.95,15.36,14.45,14.63,80400,12.320085
2011-06-01,15.04,15.04,14.16,14.93,66600,12.572719
2011-05-02,15.20,15.23,14.62,15.04,74500,12.608181
2011-04-01,14.66,15.19,14.33,15.17,59300,12.717161
2011-03-01,14.61,14.70,13.83,14.62,75400,12.25609
2011-02-01,14.10,14.79,14.09,14.61,77700,12.192954
2011-01-03,13.83,14.20,13.68,14.04,86600,11.717254
2010-12-01,13.11,13.76,13.11,13.76,128500,11.483577
2010-11-01,12.94,13.62,12.86,13.03,76200,10.789579
2010-10-01,12.36,13.05,12.21,12.91,114900,10.690212
2010-09-01,11.37,12.45,11.35,12.33,97000,10.20994
2010-08-02,11.74,11.97,11.11,11.20,75700,9.234602
2010-07-01,10.87,11.88,10.44,11.60,85000,9.56441
2010-06-01,11.51,12.05,10.87,10.87,103100,8.962511
2010-05-03,12.73,12.86,9.60,11.67,150000,9.579285
2010-04-01,12.32,13.02,12.32,12.70,100800,10.424757
2010-03-01,11.49,12.38,11.49,12.27,67600,10.071794
2010-02-01,11.08,11.56,10.66,11.46,101500,9.373064
2010-01-04,11.56,11.90,10.98,11.04,128000,9.029549
2009-12-01,11.25,11.62,11.09,11.52,107400,9.422137
2009-11-02,10.74,11.50,10.53,11.25,91500,9.165029
2009-10-01,10.98,11.54,10.45,10.63,119400,8.659934
2009-09-01,10.50,11.18,10.15,11.02,99000,8.977654
2009-08-03,10.87,11.00,10.26,10.57,109500,8.575938
2009-07-01,9.23,10.69,8.45,10.64,152600,8.632733
2009-06-01,9.46,9.64,8.85,9.19,75000,7.456279
2009-05-01,8.95,9.56,8.90,9.35,97200,7.586095
2009-04-01,8.30,9.13,8.24,8.96,68800,7.23074
2009-03-02,8.30,8.76,6.86,8.42,88900,6.794959
2009-02-02,9.05,9.52,7.84,8.50,140600,6.80976
2009-01-02,9.90,10.62,8.84,9.26,197000,7.418633
2008-12-01,10.31,10.98,9.23,9.86,406800,7.899322
2008-11-03,11.80,12.89,8.89,10.63,470100,8.516206
2008-10-01,14.49,14.77,8.55,11.78,376100,9.042295
2008-09-02,17.75,17.84,14.22,14.61,278000,11.214596
2008-08-01,16.85,17.809999,16.459999,17.639999,219900,13.137033
2008-07-01,16.40,17.00,15.61,16.82,219400,12.526356
2008-06-02,18.940001,19.280001,16.469999,16.540001,144900,12.317832
2008-05-01,18.360001,19.34,18.34,19.00,140600,13.753346
2008-04-01,17.629999,18.620001,17.16,18.41,109700,13.326268
2008-03-03,18.809999,18.959999,16.450001,17.42,173000,12.609647
2008-02-01,19.59,19.889999,18.690001,18.799999,145300,13.137593
2008-01-02,21.08,21.08,17.00,19.469999,213900,13.605795
2007-12-03,22.610001,22.610001,20.379999,20.90,170600,14.605091
2007-11-01,24.35,24.35,21.049999,22.469999,185800,15.200583
2007-10-01,24.24,25.00,23.77,24.440001,122900,16.533257
2007-09-04,24.059999,24.459999,22.76,24.25,169200,16.404724
2007-08-01,24.07,24.34,21.34,23.940001,177700,15.691007
2007-07-02,26.030001,26.549999,24.08,24.09,172400,15.789321
2007-06-01,26.49,26.719999,25.459999,26.02,169100,16.599478
2007-05-01,25.15,26.52,25.01,26.440001,182500,16.867416
2007-04-02,22.73,25.280001,22.59,25.15,269900,16.04446
2007-03-01,22.34,23.00,22.01,22.700001,110000,14.481482
2007-02-01,22.73,23.280001,22.50,22.629999,94200,14.268578
2007-01-03,22.50,22.77,22.290001,22.73,128700,14.33163
2006-12-01,22.040001,22.60,21.809999,22.379999,115500,14.110949
2006-11-01,21.50,22.08,21.17,22.02,100100,13.840185
2006-10-02,20.92,21.60,20.790001,21.459999,126900,13.488209
2006-09-01,20.50,21.219999,20.10,21.030001,161800,13.217943
2006-08-01,19.73,20.50,19.370001,20.48,135000,12.828404
2006-07-03,19.450001,19.76,18.85,19.73,77600,12.358614
2006-06-01,19.68,20.00,18.76,19.459999,88900,12.189489
2006-05-01,20.57,20.700001,19.379999,19.690001,115600,12.289443
2006-04-03,20.209999,20.780001,20.129999,20.549999,103100,12.826208
2006-03-01,19.84,20.440001,19.82,20.24,92700,12.632723
2006-02-01,19.690001,20.00,19.280001,19.83,108900,12.333483
2006-01-03,18.57,19.91,18.50,19.709999,298800,12.258847
2005-12-01,18.610001,18.790001,18.450001,18.58,146800,11.556032
2005-11-01,18.040001,18.860001,18.00,18.59,130800,11.519109
2005-10-03,18.25,18.40,17.48,18.08,113400,11.203093
2005-09-01,18.34,18.530001,17.959999,18.26,111300,11.314628
2005-08-01,18.459999,18.60,18.030001,18.299999,90000,11.302356
2005-07-01,17.809999,18.700001,17.700001,18.459999,114900,11.401175
2005-06-01,17.870001,18.35,17.76,17.809999,124700,10.999724
2005-05-02,17.43,17.99,17.25,17.91,100900,11.024635
2005-04-01,17.82,17.99,17.139999,17.440001,101900,10.735324
2005-03-01,17.99,18.450001,17.49,17.799999,112500,10.956923
2005-02-01,17.67,18.190001,17.65,18.00,121800,11.080036
2005-01-03,18.280001,18.32,17.450001,17.68,121600,10.883058
2004-12-01,17.75,18.33,17.700001,18.280001,158900,11.252393
2004-11-01,16.92,17.99,16.870001,17.75,116300,10.859227
2004-10-01,16.639999,17.00,16.290001,16.940001,114700,10.36368
2004-09-01,16.42,16.84,16.40,16.610001,104800,10.16179
2004-08-02,16.200001,16.50,15.79,16.450001,108100,10.039741
2004-07-01,16.860001,16.860001,16.040001,16.41,101200,10.015327
2004-06-01,16.60,16.950001,16.50,16.83,103800,10.271661
2004-05-03,16.65,16.889999,15.86,16.60,119900,10.102221
2004-04-01,17.17,17.530001,16.58,16.610001,109800,10.108306
2004-03-01,17.450001,17.77,16.65,17.200001,103300,10.467361
2004-02-02,17.110001,17.559999,17.00,17.43,90100,10.582706
2004-01-02,16.42,17.48,16.379999,17.09,137800,10.376273
2003-12-01,15.81,16.440001,15.63,16.40,153700,9.957336
2003-11-03,15.81,16.00,15.41,15.74,97600,9.532542
2003-10-01,14.97,15.89,14.97,15.82,90100,9.580993
2003-09-02,15.13,15.64,14.40,14.96,98500,9.060155
2003-08-01,14.95,15.20,14.25,15.17,82900,9.163269
2003-07-01,14.70,15.40,14.56,15.00,92300,9.060582
2003-06-02,14.75,15.33,14.68,14.78,96200,8.927693
2003-05-01,13.94,14.73,13.88,14.71,103700,8.861843
2003-04-01,12.74,14.10,12.74,13.95,77600,8.403992
2003-03-03,12.82,13.50,12.07,12.81,201900,7.717214
2003-02-03,13.15,13.24,12.26,12.81,106400,7.686687
2003-01-02,13.28,14.20,12.90,13.10,123900,7.860703
2002-12-02,14.50,14.57,13.19,13.25,148000,7.95071
2002-11-01,14.30,14.95,13.60,14.40,95800,8.597874
2002-10-01,13.15,14.70,12.25,14.35,116000,8.56802
2002-09-03,14.70,14.90,12.96,13.16,111500,7.857501
2002-08-01,14.70,15.85,13.58,15.18,106900,9.019472
2002-07-01,16.10,16.200001,11.75,14.64,213600,8.698622
2002-06-03,17.809999,17.83,15.87,16.10,111400,9.566107
2002-05-01,18.02,18.58,17.799999,17.83,92200,10.54985
2002-04-01,19.15,19.60,17.809999,17.950001,95600,10.620853
2002-03-01,19.00,19.950001,18.799999,19.35,88800,11.449221
2002-02-01,18.77,19.049999,18.309999,18.85,97500,11.113643
2002-01-02,18.799999,19.33,18.35,18.84,205200,11.107747
2001-12-03,19.98,20.540001,18.299999,18.75,225900,11.054685
2001-11-01,19.049999,20.360001,19.00,20.00,116900,11.167397
2001-10-01,18.10,19.82,18.00,19.059999,91400,10.642529
2001-09-04,20.26,20.58,16.00,18.299999,139300,10.218168
2001-08-01,21.440001,21.60,20.200001,20.35,87900,11.362827
2001-07-02,21.700001,21.99,20.90,21.379999,100400,11.937947
2001-06-01,22.200001,22.65,21.32,21.77,81200,12.155712
