Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,29.00,29.00,29.00,29.00,000,24.808617
2013-03-01,30.50,30.50,29.00,29.00,000,24.808617
2013-02-01,28.879999,32.450001,28.879999,30.50,000,26.09182
2013-01-02,26.540001,29.17,26.360001,28.879999,100,24.705959
2012-12-03,26.67,27.98,26.540001,26.540001,000,22.704163
2012-11-01,28.65,30.139999,26.67,26.67,100,22.815372
2012-10-01,28.65,28.65,28.65,28.65,000,23.711708
2012-09-04,27.76,28.65,27.76,28.65,000,23.711708
2012-08-01,27.65,27.76,26.280001,27.76,000,22.975115
2012-07-02,28.780001,30.50,27.540001,27.65,000,22.884073
2012-06-01,29.690001,29.690001,27.299999,28.780001,000,23.819302
2012-05-01,27.50,29.690001,27.50,29.690001,000,24.572449
2012-04-02,28.00,29.00,26.50,28.129999,000,22.585014
2012-03-01,31.23,31.23,28.00,28.00,000,22.48064
2012-02-01,30.200001,31.23,28.75,31.23,000,25.073944
2012-01-03,30.440001,31.75,30.040001,30.200001,100,24.246979
2011-12-01,29.75,31.950001,25.92,29.200001,200,23.444098
2011-11-01,28.75,33.00,28.75,30.48,200,24.471783
2011-10-03,29.299999,30.35,27.74,28.75,100,22.442053
2011-09-01,29.030001,30.00,27.959999,29.299999,000,22.87138
2011-08-01,28.139999,30.10,27.290001,29.030001,000,22.66062
2011-07-01,26.76,29.610001,26.76,28.139999,000,21.965891
2011-06-01,26.77,27.42,25.98,26.76,000,20.888674
2011-05-02,28.10,28.85,28.10,28.110001,000,21.942474
2011-04-01,26.200001,28.67,26.200001,28.10,100,21.241747
2011-03-01,25.85,27.15,25.75,26.200001,100,19.805473
2011-02-01,25.76,26.48,25.76,25.85,000,19.540895
2011-01-03,25.66,26.10,25.370001,25.76,000,19.472862
2010-12-01,27.27,27.27,25.129999,25.66,300,19.397268
2010-11-01,26.25,27.450001,26.25,27.27,000,20.614323
2010-10-01,26.65,26.74,26.049999,26.25,100,19.197109
2010-09-01,27.85,28.35,24.780001,26.65,300,19.489635
2010-08-02,27.700001,28.50,27.23,27.85,800,20.367218
2010-07-01,26.41,29.040001,25.219999,27.059999,500,19.789476
2010-06-01,26.51,26.66,25.559999,26.66,1200,19.496948
2010-05-03,28.40,28.40,26.51,26.51,000,19.387251
2010-04-01,26.40,28.49,26.25,28.40,700,20.102417
2010-03-01,26.23,26.49,25.940001,26.450001,1000,18.722145
2010-02-01,25.59,26.08,25.200001,25.969999,2900,18.382385
2010-01-04,25.190001,25.860001,25.15,25.57,5100,18.099253
2009-12-01,25.190001,25.360001,25.09,25.25,3600,17.872747
2009-11-02,25.60,25.889999,25.00,25.15,2900,17.801964
2009-10-01,25.27,25.709999,25.26,25.60,1400,17.497532
2009-09-01,25.15,25.540001,25.15,25.299999,1900,17.29248
2009-08-03,25.18,25.68,25.02,25.280001,1900,17.278812
2009-07-01,24.65,25.32,24.65,25.16,900,17.196793
2009-06-01,24.99,25.00,24.450001,24.82,1300,16.964403
2009-05-01,25.049999,25.389999,24.209999,24.450001,1100,16.71151
2009-04-01,25.00,25.58,24.540001,25.15,2000,16.582287
2009-03-02,24.719999,25.25,23.02,25.00,1400,16.483385
2009-02-02,24.50,25.50,24.48,24.75,1800,16.318552
2009-01-02,23.950001,24.459999,23.610001,24.459999,2500,16.127344
2008-12-01,22.00,23.950001,22.00,23.950001,800,15.791084
2008-11-03,23.549999,23.950001,20.309999,22.00,3300,14.50538
2008-10-01,23.26,24.690001,21.00,23.950001,2700,15.168139
2008-09-02,24.98,25.299999,19.66,23.15,4600,14.661479
2008-08-01,24.26,25.82,24.26,24.950001,3700,15.801465
2008-07-01,24.58,24.75,22.67,24.26,3300,15.36447
2008-06-02,24.629999,25.00,24.50,24.50,1600,15.516468
2008-05-01,25.120001,25.34,24.41,24.58,900,15.567134
2008-04-01,25.07,25.26,24.950001,25.09,1200,15.332405
2008-03-03,25.120001,25.190001,24.75,25.00,2300,15.277407
2008-02-01,25.059999,25.190001,25.01,25.120001,500,15.350739
2008-01-02,24.690001,25.120001,24.68,25.059999,3300,15.314072
2007-12-03,24.049999,25.00,23.99,24.700001,4000,15.094078
2007-11-01,24.90,25.049999,23.75,24.299999,4700,14.849639
2007-10-01,24.92,25.139999,24.90,25.00,2500,14.731037
2007-09-04,24.98,24.98,24.75,24.92,500,14.683898
2007-08-01,24.969999,25.25,24.58,24.98,1700,14.719253
2007-07-02,25.01,25.139999,24.76,24.969999,700,14.71336
2007-06-01,25.09,25.15,24.950001,25.00,500,14.731037
2007-05-01,25.74,25.950001,25.02,25.09,900,14.784069
2007-04-02,25.59,25.799999,25.59,25.799999,200,14.682008
2007-03-01,25.52,25.75,25.52,25.59,400,14.562504
2007-02-01,25.50,25.75,25.459999,25.52,600,14.522669
2007-01-03,25.15,25.51,25.110001,25.35,1000,14.425927
2006-12-01,25.02,25.24,24.93,25.219999,900,14.351948
2006-11-01,25.65,25.889999,24.940001,25.049999,800,14.255205
2006-10-02,25.58,25.85,25.40,25.60,500,14.064827
2006-09-01,25.360001,25.65,25.360001,25.58,500,14.053839
2006-08-01,24.950001,25.360001,24.940001,25.360001,400,13.932969
2006-07-03,24.77,25.030001,24.75,24.950001,700,13.707712
2006-06-01,24.709999,24.950001,24.620001,24.85,2300,13.652772
2006-05-01,25.639999,25.74,24.75,24.75,2200,13.597831
2006-04-03,25.629999,25.65,25.48,25.639999,700,13.600447
2006-03-01,25.43,25.690001,25.43,25.60,2100,13.57923
2006-02-01,25.40,25.43,25.389999,25.43,300,13.489056
2006-01-03,25.209999,25.50,25.17,25.389999,800,13.467837
2005-12-01,25.99,25.99,25.01,25.200001,600,13.367055
2005-11-01,25.92,25.99,25.83,25.99,500,13.7861
2005-10-03,25.84,25.92,25.780001,25.92,2000,13.279209
2005-09-01,25.75,26.00,25.700001,25.84,1000,13.238224
2005-08-01,25.700001,25.76,25.65,25.75,400,13.192115
2005-07-01,25.790001,25.889999,25.60,25.700001,700,13.1665
2005-06-01,26.25,26.25,25.50,25.790001,600,13.212608
2005-05-02,26.10,26.450001,26.10,26.25,300,13.448273
2005-04-01,26.01,26.299999,26.00,26.10,1200,12.919089
2005-03-01,26.09,26.16,26.01,26.01,300,12.874541
2005-02-01,26.110001,26.200001,25.98,26.059999,600,12.89929
2005-01-03,26.040001,26.200001,25.91,26.110001,1200,12.92404
2004-12-01,25.889999,26.040001,25.77,26.040001,800,12.889391
2004-11-01,26.389999,26.790001,25.75,25.90,1100,12.820092
2004-10-01,26.40,26.60,26.10,26.379999,1800,12.624058
2004-09-01,26.00,26.60,25.879999,26.459999,1500,12.662341
2004-08-02,25.58,26.25,25.58,26.00,600,12.44221
2004-07-01,24.92,26.01,24.92,25.57,700,12.236435
2004-06-01,25.00,25.700001,24.92,25.040001,700,11.982806
2004-05-03,26.10,26.10,24.200001,25.059999,2300,11.992376
2004-04-01,27.030001,27.030001,26.07,26.15,800,12.073024
2004-03-01,26.889999,27.25,26.83,27.030001,900,12.479305
2004-02-02,26.66,26.950001,26.450001,26.950001,1300,12.442371
2004-01-02,25.950001,26.940001,25.950001,26.66,1800,12.308482
2003-12-01,26.200001,26.40,25.959999,25.959999,1000,11.985304
2003-11-03,26.59,26.98,26.00,26.15,1200,12.073024
2003-10-01,26.40,26.700001,26.309999,26.60,500,11.873866
2003-09-02,26.00,26.75,26.00,26.40,3000,11.784588
2003-08-01,26.00,26.23,25.700001,26.00,700,11.606034
2003-07-01,26.700001,27.049999,26.00,26.00,1300,11.606034
2003-06-02,26.40,26.85,26.18,26.610001,700,11.878329
2003-05-01,26.50,27.10,26.10,26.50,900,11.829226
2003-04-01,26.049999,26.90,25.950001,26.40,1600,11.398437
2003-03-03,26.00,26.50,26.00,26.10,700,11.268909
2003-02-03,26.00,26.450001,25.90,26.00,1400,11.225733
2003-01-02,25.35,26.450001,25.35,26.049999,1000,11.247321
