Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.27,31.940001,30.84,30.969999,11215000,30.969999
2013-03-01,26.58,32.950001,26.58,32.009998,4998100,32.009998
2013-02-01,24.27,27.219999,23.889999,26.709999,4757400,26.709999
2013-01-02,23.83,26.370001,23.620001,24.15,5447700,24.15
2012-12-03,20.129999,24.23,19.540001,23.379999,4107100,23.379999
2012-11-01,19.17,21.65,19.120001,20.219999,3654100,20.219999
2012-10-01,19.48,21.74,18.85,19.209999,4161000,19.209999
2012-09-04,18.40,20.85,17.98,19.50,4301600,19.50
2012-08-01,18.76,19.99,17.450001,18.450001,5376900,18.450001
2012-07-02,24.43,24.950001,18.58,18.889999,5219700,18.889999
2012-06-01,25.15,25.219999,21.85,24.33,5640000,24.33
2012-05-01,21.959999,25.50,20.84,25.17,5407600,25.17
2012-04-02,21.51,23.77,20.549999,21.92,5750500,21.92
2012-03-01,20.620001,22.540001,19.129999,21.50,7626800,21.50
2012-02-01,23.15,25.84,19.959999,20.65,6492600,20.65
2012-01-03,19.23,23.48,17.25,23.10,7605700,23.10
2011-12-01,18.049999,21.450001,17.90,18.870001,6423700,18.870001
2011-11-01,18.860001,19.280001,15.51,17.969999,6174600,17.969999
2011-10-03,19.16,21.440001,16.83,19.32,5635600,19.32
2011-09-01,18.50,21.889999,17.280001,19.379999,6856900,19.379999
2011-08-01,18.530001,19.25,15.92,18.59,8331700,18.59
2011-07-01,22.799999,23.280001,16.450001,18.120001,8215400,18.120001
2011-06-01,24.190001,25.60,21.690001,22.629999,7180700,22.629999
2011-05-02,23.59,26.84,23.17,24.15,7375500,24.15
2011-04-01,23.34,23.43,19.32,22.82,9057200,22.82
2011-03-01,23.84,25.66,21.950001,22.99,7504000,22.99
2011-02-01,25.459999,27.719999,21.65,24.040001,8561700,24.040001
2011-01-03,24.129999,27.469999,23.629999,25.40,6607600,25.40
2010-12-01,28.129999,28.59,23.10,23.82,5208100,23.82
2010-11-01,28.91,29.59,26.66,27.68,4263700,27.68
2010-10-01,25.00,29.75,23.76,29.040001,6711500,29.040001
2010-09-01,21.50,23.950001,20.48,23.66,6157700,23.66
2010-08-02,24.10,24.440001,19.09,21.200001,5071700,21.200001
2010-07-01,20.65,25.00,18.42,23.74,6639600,23.74
2010-06-01,19.74,24.59,19.34,20.559999,8401900,20.559999
2010-05-03,22.299999,22.549999,16.389999,20.01,10892900,20.01
2010-04-01,19.530001,23.83,18.50,21.60,12573400,21.60
2010-03-01,17.25,20.59,17.23,19.549999,9051700,19.549999
2010-02-01,12.35,17.280001,12.14,17.15,11554600,17.15
2010-01-04,12.99,14.15,12.13,12.23,12715700,12.23
2009-12-01,7.90,13.33,7.84,12.91,14436800,12.91
2009-11-02,6.56,7.82,6.26,7.76,7895700,7.76
2009-10-01,8.39,8.49,6.23,6.51,18550100,6.51
2009-09-01,6.20,9.77,5.43,9.22,11380600,9.22
2009-08-03,4.20,6.84,4.05,6.23,10379500,6.23
2009-07-01,3.19,4.25,3.07,4.12,7183100,4.12
2009-06-01,4.77,5.31,3.08,3.19,9985400,3.19
2009-05-01,5.00,6.49,4.35,4.65,7483100,4.65
2009-04-01,4.45,6.90,4.32,4.92,9523700,4.92
2009-03-02,4.71,6.49,3.45,4.48,8362500,4.48
2009-02-02,9.46,9.52,4.56,4.91,7887500,4.91
2009-01-02,11.08,12.88,9.11,9.44,9085500,9.44
2008-12-01,10.77,12.37,8.42,11.02,7001700,11.02
2008-11-03,15.45,16.73,7.00,11.25,10058300,11.25
2008-10-01,8.84,16.200001,4.55,14.56,17367100,14.56
2008-09-02,13.42,14.29,3.00,8.79,18885300,8.79
2008-08-01,8.89,15.84,7.68,11.11,31687900,11.11
2008-07-01,5.01,10.20,2.80,8.31,17992500,8.31
2008-06-02,8.49,10.43,5.22,5.22,11823500,5.22
2008-05-01,15.00,16.459999,7.36,8.54,6496700,8.54
2008-04-01,22.10,24.870001,12.78,14.90,7057600,14.90
2008-03-03,30.129999,30.58,19.709999,21.530001,4730900,21.530001
2008-02-01,38.130001,41.470001,30.139999,30.299999,3185500,30.299999
2008-01-02,35.25,38.049999,23.530001,37.950001,5749100,37.950001
2007-12-03,40.27,42.830002,33.48,35.66,2891900,33.34721
2007-11-01,47.23,49.48,35.869999,40.939999,3992900,38.284763
2007-10-01,46.529999,51.599998,45.509998,47.900002,2310200,44.793365
2007-09-04,47.900002,48.57,42.400002,46.529999,2217100,43.512215
2007-08-01,44.00,47.849998,35.900002,47.470001,3428900,44.391254
2007-07-02,40.509998,50.00,40.330002,44.139999,4500200,41.277225
2007-06-01,39.540001,40.849998,33.889999,40.59,3524700,37.957466
2007-05-01,32.900002,40.529999,31.620001,39.259998,3507700,36.713722
2007-04-02,38.299999,44.32,33.200001,33.400002,3978900,31.233788
2007-03-01,39.439999,41.560001,36.639999,38.169998,3030600,35.694416
2007-02-01,43.00,46.50,38.34,39.990002,2911900,37.396381
2007-01-03,44.799999,51.57,40.900002,43.200001,4680600,40.39819
2006-12-01,40.849998,46.540001,39.950001,44.00,2419700,41.146305
2006-11-01,35.860001,44.50,34.18,40.580002,3771000,37.948116
2006-10-02,26.969999,37.75,26.77,35.939999,3516800,33.609047
2006-09-01,25.07,29.440001,24.450001,26.57,2542300,24.846758
2006-08-01,25.610001,25.799999,21.90,25.00,2159000,23.378582
2006-07-03,30.799999,32.169998,25.799999,26.139999,2472200,24.444645
2006-06-01,29.35,33.049999,26.02,31.02,2023500,29.008146
2006-05-01,35.860001,39.700001,28.309999,29.43,1735700,27.521267
2006-04-03,39.50,40.049999,33.610001,36.009998,1641100,33.674507
2006-03-01,35.259998,43.00,35.060001,39.93,1449800,37.340271
2006-02-06,34.82,37.00,29.51,35.470001,3232800,33.169533
