Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.75,21.90,21.440001,21.83,240800,18.565643
2013-03-01,20.98,21.84,20.98,21.76,66800,18.506111
2013-02-01,20.309999,21.40,20.15,21.129999,68500,17.970318
2013-01-02,19.74,20.309999,19.450001,20.24,70900,17.213404
2012-12-03,18.98,19.74,18.35,19.68,82600,16.524529
2012-11-01,18.940001,19.42,17.870001,18.790001,74600,15.77723
2012-10-01,20.35,20.73,18.940001,18.940001,150800,15.903179
2012-09-04,19.559999,21.049999,19.370001,20.23,87700,16.770641
2012-08-01,19.08,19.889999,18.709999,19.50,42000,16.165474
2012-07-02,19.74,20.030001,18.77,18.99,52800,15.742683
2012-06-01,17.459999,19.77,17.35,19.77,89600,16.185871
2012-05-01,19.24,19.629999,17.620001,17.799999,56700,14.573014
2012-04-02,19.700001,19.85,18.40,19.24,60400,15.751956
2012-03-01,19.049999,19.98,18.43,19.74,61000,15.959395
2012-02-01,19.709999,20.34,18.90,19.02,58100,15.377291
2012-01-03,18.33,19.870001,17.57,19.559999,77400,15.813869
2011-12-01,16.77,18.73,16.41,18.08,90600,14.419765
2011-11-01,17.23,18.08,15.56,16.870001,95800,13.454727
2011-10-03,15.70,18.32,15.35,17.84,86300,14.228354
2011-09-01,16.780001,16.940001,15.35,15.97,103300,12.549733
2011-08-01,17.959999,17.99,15.18,16.809999,129400,13.209831
2011-07-01,18.120001,19.25,17.719999,17.74,92500,13.940655
2011-06-01,19.16,19.25,17.450001,18.110001,91400,14.231414
2011-05-02,19.73,19.889999,18.07,19.16,79200,14.852507
2011-04-01,19.030001,20.50,18.690001,19.68,90000,15.255602
2011-03-01,19.40,19.40,17.98,19.02,91700,14.743981
2011-02-01,19.49,19.870001,18.60,19.389999,75500,14.834813
2011-01-03,19.690001,20.00,18.50,19.41,88700,14.850116
2010-12-01,18.65,19.93,18.52,19.450001,81000,14.691623
2010-11-01,19.219999,20.35,18.34,18.40,86600,13.898501
2010-10-01,18.27,19.76,17.870001,19.209999,77300,14.510337
2010-09-01,18.67,19.50,17.68,18.08,193100,13.656788
2010-08-02,18.049999,18.540001,16.709999,18.360001,73700,13.686028
2010-07-01,16.15,18.059999,15.85,17.83,86200,13.290951
2010-06-01,16.65,17.84,15.22,16.129999,104500,12.023726
2010-05-03,16.98,17.82,15.59,16.74,135600,12.29566
2010-04-01,15.87,17.450001,15.81,16.860001,98500,12.383802
2010-03-01,15.95,17.10,15.58,15.81,96200,11.612569
2010-02-01,15.09,16.02,14.17,15.77,74800,11.4126
2010-01-04,15.50,15.55,14.39,14.99,113400,10.848121
2009-12-01,13.80,15.80,13.58,15.27,125100,10.874897
2009-11-02,14.77,15.45,13.60,13.72,95700,9.771028
2009-10-01,14.56,16.200001,14.01,14.77,92800,10.51881
2009-09-01,15.47,16.219999,14.39,14.59,74500,10.390618
2009-08-03,15.61,16.32,14.71,15.47,54900,10.846741
2009-07-01,14.25,15.63,13.63,15.39,88800,10.790649
2009-06-01,13.45,15.40,13.23,14.08,109000,9.872147
2009-05-01,15.46,16.24,12.26,13.23,147000,9.12103
2009-04-01,13.15,16.190001,13.04,15.36,170600,10.589496
2009-03-02,12.16,14.36,9.70,13.42,143000,9.086559
2009-02-02,14.64,15.53,11.75,12.11,123800,8.199571
2009-01-02,15.80,16.27,13.05,14.79,142500,10.014174
2008-12-01,15.15,16.969999,14.08,15.93,153600,10.623556
2008-11-03,16.24,17.84,12.11,15.74,121400,10.496847
2008-10-01,19.290001,19.290001,12.57,16.379999,170900,10.923656
2008-09-02,17.309999,20.50,15.62,18.75,200300,12.345465
2008-08-01,16.549999,18.07,16.09,17.030001,54600,11.212975
2008-07-01,14.33,17.59,14.16,16.549999,76400,10.89693
2008-06-02,17.10,17.93,14.65,14.66,92800,9.495803
2008-05-01,17.02,18.200001,15.86,17.299999,107600,11.205824
2008-04-01,15.78,17.76,15.51,16.870001,60100,10.927299
2008-03-03,14.67,17.540001,13.50,15.73,100900,10.045815
2008-02-01,15.44,16.040001,13.87,14.69,87600,9.381628
2008-01-02,15.41,16.370001,13.58,15.44,137500,9.860608
2007-12-03,16.799999,18.059999,15.01,15.50,86000,9.746931
2007-11-01,16.33,18.129999,15.39,16.879999,85800,10.614721
2007-10-01,15.50,18.09,15.32,16.620001,68200,10.451225
2007-09-04,16.90,18.120001,15.46,15.47,82400,9.587963
