Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,77.629997,77.970001,76.139999,76.639999,1468800,34.151207
2013-03-01,74.110001,80.669998,73.150002,77.620003,523000,34.587902
2013-02-01,83.110001,83.110001,73.519997,74.559998,754600,33.029572
2013-01-02,85.480003,87.080002,80.989998,83.230003,519300,36.870323
2012-12-03,80.07,85.169998,77.849998,83.519997,445000,36.998791
2012-11-01,80.480003,81.529999,72.720001,80.110001,501800,35.285885
2012-10-01,78.400002,83.150002,76.879997,79.75,818900,35.127316
2012-09-04,72.510002,79.209999,72.080002,78.290001,838000,34.48423
2012-08-01,74.660004,76.00,69.599998,72.440002,606900,31.719976
2012-07-02,76.93,78.980003,71.459999,73.860001,770700,32.341766
2012-06-01,77.849998,82.639999,73.43,76.709999,954000,33.589722
2012-05-01,87.43,88.489998,75.580002,79.110001,1036100,34.446262
2012-04-02,94.940002,100.599998,87.389999,87.480003,915100,38.090748
2012-03-01,96.360001,100.82,93.339996,95.379997,569400,41.530582
2012-02-01,87.269997,97.690002,87.190002,95.870003,664600,41.594616
2012-01-03,82.00,88.940002,81.68,86.379997,633100,37.477234
2011-12-01,78.110001,81.419998,73.620003,79.959999,653300,34.691826
2011-11-01,78.809998,84.099998,70.00,78.529999,1134400,33.917782
2011-10-03,67.459999,85.25,62.279999,81.910004,1426700,35.377636
2011-09-01,80.660004,84.209999,67.989998,68.169998,1393500,29.443209
2011-08-01,80.949997,82.25,64.580002,80.32,1905900,34.533073
2011-07-01,95.099998,99.690002,78.120003,79.949997,1305000,34.373993
2011-06-01,102.059998,102.599998,90.419998,94.720001,1202200,40.724258
2011-05-02,93.709999,105.82,93.010002,102.480003,2217500,43.897018
2011-04-01,92.550003,95.099998,84.699997,93.019997,1172400,39.844852
2011-03-01,88.309998,92.169998,81.889999,91.779999,864000,39.313702
2011-02-01,88.470001,93.889999,83.50,87.400002,1218500,37.32608
2011-01-03,75.949997,88.330002,75.449997,87.93,1177200,37.552429
2010-12-01,78.089996,84.989998,75.190002,75.919998,1031500,32.423294
2010-11-01,79.25,83.980003,74.610001,75.919998,1236600,32.326717
2010-10-01,64.989998,80.220001,62.790001,79.360001,1449800,33.79147
2010-09-01,61.099998,66.50,60.299999,64.580002,1251900,27.49815
2010-08-02,60.389999,64.50,55.889999,60.02,1675400,25.456642
2010-07-01,48.950001,59.080002,46.240002,58.50,2260700,24.811954
2010-06-01,60.240002,62.810001,48.330002,49.150002,3066400,20.846285
2010-05-03,71.809998,75.730003,54.580002,61.200001,2039600,25.843275
2010-04-01,65.07,79.00,64.139999,70.839996,1990500,29.914011
2010-03-01,53.009998,70.00,52.360001,64.410004,1939000,27.19878
2010-02-01,50.00,55.119999,47.259998,52.27,1575500,22.072351
2010-01-04,56.330002,59.380001,48.080002,48.57,1609600,20.509932
2009-12-01,56.990002,59.119999,52.610001,55.41,1166900,23.398298
2009-11-02,44.310001,56.75,43.75,56.419998,2723000,23.824795
2009-10-01,37.490002,45.619999,35.400002,41.889999,2289000,17.689129
2009-09-01,35.290001,42.00,32.48,35.220001,1636500,14.872552
2009-08-03,19.219999,36.060001,18.84,35.43,2022300,14.961229
2009-07-01,16.690001,19.82,13.84,18.959999,1480000,8.006348
2009-06-01,1.199952,20.17,1.189952,16.58,2222500,7.001331
2009-05-01,1.74993,1.98992,1.139954,1.139954,884100,5.776501
2009-04-01,0.949962,1.819927,0.869965,1.819927,617200,9.222133
2009-03-02,0.74997,1.199952,0.50998,0.949962,623600,4.81375
2009-02-02,1.519939,1.569937,0.75997,0.789968,856100,4.003014
2009-01-02,1.709932,2.129915,1.389944,1.48994,404300,7.549987
2008-12-01,1.399944,1.98992,1.25995,1.669933,656400,8.462068
2008-11-03,2.399904,2.789888,1.00996,1.399944,1262100,7.093948
2008-10-01,4.609816,4.769809,2.099916,2.479901,785400,12.566422
2008-09-02,5.719771,5.829767,4.319827,4.599816,586300,23.308687
2008-08-01,5.629775,6.529739,5.339787,5.709771,523100,28.933172
2008-07-01,5.359786,5.75977,4.329827,5.699772,720400,28.882504
2008-06-02,6.859725,6.909723,5.019799,5.449782,747600,27.615728
2008-05-01,5.969761,7.089716,5.649774,6.869725,637500,34.81102
2008-04-01,6.98972,7.449702,5.779769,5.969761,592500,30.250622
2008-03-03,6.309748,6.869725,5.929763,6.829727,794600,34.608334
2008-02-01,8.149674,8.229671,6.309748,6.369745,850800,32.277466
2008-01-02,7.629694,8.409663,7.049718,8.069676,769400,40.891544
2007-12-03,7.409703,8.279669,7.059718,7.689692,703300,38.966042
2007-11-01,8.659654,8.679653,6.799728,7.599696,922100,38.510002
2007-10-01,8.199672,8.73965,7.75969,8.579657,623300,43.475769
2007-09-04,8.179673,8.709651,7.599696,8.199672,698600,41.55027
2007-08-01,9.439622,9.519619,6.669733,7.99968,1047200,40.536846
2007-07-02,11.169553,11.539537,9.059637,9.50962,550000,48.188179
2007-06-01,10.98956,11.48954,10.429583,11.159554,646800,56.548901
2007-05-01,9.899604,10.939562,9.24963,10.899564,695000,55.231457
2007-04-02,9.23963,10.189592,9.199632,9.74961,550700,49.404282
2007-03-07,8.629654,9.919603,8.549658,9.309628,1766400,47.174755
