Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.75,22.959999,22.16,22.639999,820400,22.639999
2013-03-01,22.780001,24.43,22.35,22.75,418500,22.75
2013-02-01,22.35,24.73,22.23,22.98,619300,22.98
2013-01-02,17.870001,22.379999,17.110001,22.209999,794500,22.209999
2012-12-03,17.469999,18.200001,16.280001,17.299999,417700,17.299999
2012-11-01,16.98,17.450001,15.04,17.280001,475800,17.280001
2012-10-01,20.950001,22.280001,16.549999,17.049999,548300,17.049999
2012-09-04,21.120001,22.870001,20.32,20.82,450800,20.82
2012-08-01,19.49,22.700001,18.51,21.129999,690500,21.129999
2012-07-02,19.530001,20.00,16.25,19.43,765600,19.43
2012-06-01,15.24,19.700001,14.40,19.549999,919400,19.549999
2012-05-01,18.709999,19.110001,15.40,15.71,805500,15.71
2012-04-02,19.73,20.98,16.059999,18.66,1136900,18.66
2012-03-01,18.74,21.74,17.50,19.719999,684000,19.719999
2012-02-01,18.959999,20.48,17.690001,18.68,1017100,18.68
2012-01-03,20.379999,21.00,18.99,20.969999,786900,20.969999
2011-12-01,24.040001,25.27,19.469999,19.709999,729400,19.709999
2011-11-01,24.719999,26.68,21.17,24.15,781200,24.15
2011-10-03,15.50,27.43,13.77,25.99,1053500,25.99
2011-09-01,17.629999,17.870001,15.00,15.69,677600,15.69
2011-08-01,21.200001,21.799999,15.67,17.59,1014600,17.59
2011-07-01,25.73,26.860001,20.59,20.77,741900,20.77
2011-06-01,27.860001,27.98,24.049999,25.700001,464100,25.700001
2011-05-02,29.809999,29.98,26.65,27.950001,541300,27.950001
2011-04-01,31.49,33.139999,27.76,29.68,749300,29.68
2011-03-01,36.830002,37.060001,30.00,31.219999,921800,31.219999
2011-02-01,28.67,41.32,28.40,37.16,1565900,37.16
2011-01-03,26.23,28.950001,25.33,28.33,613800,28.33
2010-12-01,23.09,26.370001,23.00,25.889999,374200,25.889999
2010-11-01,23.08,24.459999,21.32,22.610001,674300,22.610001
2010-10-01,28.26,31.700001,22.90,23.049999,1110300,23.049999
2010-09-01,22.799999,28.889999,22.799999,27.90,623200,27.90
2010-08-02,27.98,27.98,21.469999,22.360001,949700,22.360001
2010-07-01,18.57,27.58,17.040001,27.01,1159000,27.01
2010-06-01,22.870001,23.299999,18.43,18.49,835400,18.49
2010-05-03,28.16,29.059999,20.82,23.200001,1011300,23.200001
2010-04-01,35.099998,39.23,27.76,28.02,911800,28.02
2010-03-01,35.099998,40.400002,34.830002,34.889999,507200,34.889999
2010-02-01,29.00,36.59,28.98,34.91,647700,34.91
2010-01-04,38.77,39.130001,28.68,28.889999,689000,28.889999
2009-12-01,32.189999,40.049999,32.02,38.560001,506900,38.560001
2009-11-02,29.469999,34.459999,28.60,32.09,740900,32.09
2009-10-01,2.64,30.00,2.49,29.139999,816000,29.139999
2009-09-01,2.43,3.17,2.12,2.67,854800,26.700001
2009-08-03,1.81,2.52,1.81,2.44,847300,24.40
2009-07-01,1.53,1.92,1.41,1.79,626200,17.90
2009-06-01,1.44,1.63,1.22,1.51,537600,15.10
2009-05-01,1.22,1.63,1.17,1.39,308900,13.90
2009-04-01,0.53,1.64,0.50,1.22,714700,12.20
2009-03-02,0.36,0.63,0.28,0.53,288600,5.30
2009-02-02,0.72,0.86,0.35,0.36,242100,3.60
2009-01-02,0.89,1.37,0.73,0.75,264300,7.50
2008-12-01,0.56,0.98,0.46,0.85,544000,8.50
2008-11-03,1.46,1.55,0.38,0.67,1163000,6.70
2008-10-01,2.73,2.92,1.20,1.52,673900,15.20
2008-09-02,4.15,4.29,2.70,2.75,372000,27.50
2008-08-01,3.78,4.27,3.44,4.09,217000,40.900002
2008-07-01,3.94,4.26,3.19,3.69,304300,36.900002
2008-06-02,4.92,4.99,3.85,3.95,265400,39.50
2008-05-01,4.25,5.09,3.94,5.06,286200,50.599998
2008-04-01,4.36,5.11,4.04,4.16,288400,41.599998
2008-03-03,4.12,4.75,3.78,4.43,272600,44.299999
2008-02-01,4.19,4.61,3.91,4.13,319300,41.299999
2008-01-02,4.74,4.75,3.04,4.12,573500,41.200001
2007-12-03,4.98,5.24,4.42,4.73,240600,47.299999
2007-11-01,6.06,7.90,4.56,4.96,372400,49.599998
2007-10-01,6.64,7.78,5.70,6.08,274300,60.799999
2007-09-04,7.32,7.48,6.43,6.62,215200,66.199997
2007-08-01,8.00,8.16,7.01,7.37,349300,73.699997
2007-07-02,9.32,9.70,8.07,8.09,373200,80.900002
2007-06-01,8.32,9.51,7.93,9.14,297700,91.400002
2007-05-01,7.84,8.580001,7.70,8.32,260100,83.199997
2007-04-02,8.43,9.37,7.52,7.84,324200,78.400002
2007-03-01,8.43,8.68,8.10,8.43,185600,84.300003
2007-02-01,8.67,9.47,8.09,8.490001,361400,84.900002
2007-01-03,7.84,8.68,7.78,8.62,413300,86.199997
2006-12-01,7.21,7.87,7.12,7.84,215600,78.400002
2006-11-01,6.55,7.37,6.54,7.21,241000,72.099998
2006-10-02,5.67,6.73,5.57,6.54,238100,65.400002
2006-09-01,5.39,5.85,5.10,5.66,160200,56.599998
2006-08-01,5.15,5.37,4.72,5.35,158100,53.50
2006-07-03,6.40,6.44,4.81,5.12,196000,51.200001
2006-06-01,6.58,6.76,5.98,6.28,145000,62.799999
2006-05-01,6.24,6.62,5.92,6.58,154300,65.800003
2006-04-03,6.99,7.08,6.02,6.24,214400,62.400002
2006-03-01,6.70,7.20,6.53,6.89,207800,68.900002
2006-02-01,6.64,6.99,6.28,6.68,232000,66.800003
2006-01-03,5.85,6.84,5.77,6.69,240700,66.900002
2005-12-01,6.16,6.44,5.73,5.83,227200,58.299999
2005-11-01,5.11,6.21,5.07,6.15,248600,61.50
2005-10-03,6.59,6.84,4.38,5.11,434100,51.099998
2005-09-01,6.69,7.15,6.40,6.64,134400,66.400002
2005-08-01,6.47,6.80,6.25,6.65,133200,66.50
2005-07-01,6.30,6.74,6.13,6.47,182200,64.699997
2005-06-01,7.24,7.48,6.09,6.33,171600,63.299999
2005-05-02,6.48,7.48,6.35,7.24,177300,72.400002
2005-04-01,7.130001,7.54,6.30,6.49,188200,64.900002
2005-03-01,7.68,7.73,6.64,7.06,168100,70.599998
2005-02-01,7.85,8.10,7.19,7.68,209300,76.800003
2005-01-03,10.17,10.240001,7.47,7.85,294000,78.50
2004-12-01,11.50,11.830001,9.50,10.18,245700,101.800003
2004-11-01,10.60,11.80,10.190001,11.490001,161000,114.900002
2004-10-01,10.29,11.13,10.10,10.62,118100,106.199997
2004-09-01,10.01,10.80,9.75,10.32,122900,103.199997
2004-08-02,10.150001,10.650001,9.57,10.04,110900,100.400002
2004-07-01,13.80,13.839999,9.85,10.240001,229500,102.400002
2004-06-01,13.47,14.19,13.150001,13.88,100400,138.800003
2004-05-03,13.030001,13.67,12.05,13.56,118000,135.600006
2004-04-01,14.25,15.00,12.73,13.030001,135800,130.300003
2004-03-01,14.20,14.68,12.48,14.280001,112100,142.800003
2004-02-02,13.900001,15.25,13.580001,14.13,169700,141.300003
2004-01-02,14.80,15.88,13.400001,13.839999,219900,138.399994
2003-12-01,16.32,16.85,13.900001,14.85,213100,148.50
2003-11-03,15.400001,16.49,15.210001,16.32,164700,163.199997
2003-10-01,13.49,15.900001,13.32,15.360001,207100,153.600006
2003-09-02,12.98,14.19,12.76,13.530001,145600,135.300003
2003-08-01,12.35,12.98,11.41,12.98,101400,129.800003
2003-07-01,12.240001,13.00,11.80,12.26,134000,122.599998
2003-06-02,11.29,12.45,10.89,12.280001,142700,122.800003
2003-05-01,10.37,11.29,9.650001,11.29,151000,112.900002
2003-04-01,9.20,10.80,9.080001,10.400001,134600,104.00
2003-03-03,9.38,9.98,8.82,9.26,101100,92.599998
2003-02-03,9.400001,9.47,8.25,9.26,107300,92.599998
2003-01-02,10.10,11.240001,8.900001,9.32,185000,93.199997
2002-12-02,11.400001,11.490001,9.75,9.900001,138500,99.00
2002-11-01,8.63,11.30,8.50,11.20,135200,112.00
2002-10-01,7.00,9.25,5.92,8.73,159900,87.300003
2002-09-03,8.55,9.280001,6.52,7.00,111800,70.00
2002-08-01,7.52,9.67,6.92,8.900001,133600,89.00
2002-07-01,8.85,8.85,6.39,7.52,130300,75.199997
2002-06-03,11.440001,11.440001,8.30,9.00,118300,90.00
2002-05-01,13.25,13.839999,11.21,11.440001,112400,114.400002
2002-04-01,12.60,13.50,11.400001,13.50,110000,135.00
2002-03-01,11.00,12.75,11.00,12.63,90400,126.300003
2002-02-01,12.50,12.530001,10.780001,11.10,100000,111.00
2002-01-02,12.54,13.74,12.00,12.50,121900,125.00
2001-12-03,11.70,13.45,11.64,12.54,127800,125.400002
2001-11-01,9.00,12.10,8.900001,11.900001,137600,119.00
2001-10-01,8.60,9.51,7.95,8.93,180300,89.300003
2001-09-04,11.80,11.80,7.70,8.66,174800,86.599998
2001-08-01,11.54,12.55,10.71,11.82,136200,118.199997
2001-07-02,14.280001,14.47,11.25,11.45,133400,114.50
2001-06-01,11.93,14.910001,11.85,14.710001,175500,147.100006
2001-05-01,11.88,12.889999,11.51,11.940001,176100,119.400002
