Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.81,1.81,1.79,1.80,1561000,1.615854
2013-03-01,1.84,1.93,1.78,1.80,2059000,1.615854
2013-02-01,1.98,1.98,1.81,1.85,2123200,1.660739
2013-01-02,2.03,2.16,1.91,1.96,3945200,1.759485
2012-12-03,1.92,2.05,1.89,1.99,2247600,1.786416
2012-11-01,1.87,1.97,1.75,1.91,2202600,1.7146
2012-10-01,2.07,2.12,1.85,1.88,1581300,1.68767
2012-09-04,2.04,2.18,1.98,2.05,3123200,1.840278
2012-08-01,2.17,2.23,2.01,2.03,1896900,1.822324
2012-07-02,2.29,2.29,2.01,2.17,2471100,1.948002
2012-06-01,2.12,2.22,1.94,2.17,3367300,1.872595
2012-05-01,2.69,2.72,2.11,2.11,4097600,1.820818
2012-04-02,2.46,2.69,2.41,2.68,3720400,2.312698
2012-03-01,2.72,2.77,2.43,2.45,3633400,2.11422
2012-02-01,2.68,2.73,2.53,2.72,3920000,2.347216
2012-01-03,2.17,2.71,2.14,2.71,3844800,2.338587
2011-12-01,2.26,2.28,1.95,2.14,2059300,1.846707
2011-11-01,2.19,2.31,1.97,2.29,2665000,1.976149
2011-10-03,1.90,2.36,1.84,2.23,3366100,1.924372
2011-09-01,2.01,2.07,1.77,1.91,2907400,1.648229
2011-08-01,2.32,2.33,1.79,1.99,4557900,1.717265
2011-07-01,2.57,2.58,2.23,2.30,3644300,1.984778
2011-06-01,2.73,2.75,2.40,2.56,3502100,2.041284
2011-05-02,2.83,2.85,2.54,2.72,4184200,2.168864
2011-04-01,2.73,2.89,2.63,2.84,3991000,2.264549
2011-03-01,2.88,2.96,2.49,2.73,2892500,2.176838
2011-02-01,3.19,3.45,2.80,2.80,4941400,2.232655
2011-01-03,3.16,3.52,3.04,3.18,5573500,2.535658
2010-12-01,2.93,3.28,2.92,3.16,3172300,2.51971
2010-11-01,3.09,3.32,2.85,2.85,2631000,2.272523
2010-10-01,2.85,3.09,2.59,3.09,2426800,2.463894
2010-09-01,2.59,2.80,2.50,2.78,3249700,2.216707
2010-08-02,3.06,3.20,2.50,2.57,2353900,2.049258
2010-07-01,2.90,3.26,2.85,3.03,3557700,2.416051
2010-06-01,3.26,3.38,2.85,2.91,4510800,2.26122
2010-05-03,3.55,3.75,3.00,3.31,5887500,2.57204
2010-04-01,3.76,3.94,3.52,3.55,3344900,2.758532
2010-03-01,3.46,3.80,3.45,3.76,5437200,2.921713
2010-02-01,3.46,3.79,3.25,3.43,7191400,2.665286
2010-01-04,3.92,4.24,3.51,3.51,6128400,2.72745
2009-12-01,3.49,3.92,3.39,3.88,5755500,3.014959
2009-11-02,3.32,3.87,3.21,3.39,4801800,2.634204
2009-10-01,3.75,3.81,3.28,3.29,7594800,2.556499
2009-09-01,3.22,3.84,3.22,3.80,4855000,2.952795
2009-08-03,3.45,3.53,3.03,3.25,3603600,2.525417
2009-07-01,2.65,3.42,2.42,3.40,4572900,2.641975
