Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,90.610001,91.43,89.660004,90.349998,124200,89.962059
2013-03-01,82.900002,93.00,82.529999,90.50,67200,90.11142
2013-02-01,82.300003,85.599998,81.220001,83.540001,70900,83.145332
2013-01-02,75.00,88.349998,74.160004,81.739998,98800,81.353828
2012-12-03,70.830002,75.370003,70.290001,73.32,45300,72.97361
2012-11-01,69.449997,72.010002,69.269997,70.57,57600,70.200882
2012-10-01,66.989998,70.410004,65.849998,69.57,37600,69.206108
2012-09-04,63.509998,69.010002,62.400002,66.790001,48200,66.440651
2012-08-01,62.93,68.040001,61.860001,63.509998,40700,63.14019
2012-07-02,63.740002,69.230003,61.220001,62.619999,109000,62.255371
2012-06-01,56.77,64.050003,55.860001,63.75,91400,63.378796
2012-05-01,60.689999,61.41,56.68,57.220001,62000,56.849506
2012-04-02,61.669998,62.00,58.619999,60.759998,56700,60.366581
2012-03-01,60.299999,62.98,58.27,61.549999,70900,61.15147
2012-02-01,61.07,62.75,60.02,60.080002,59600,59.652218
2012-01-03,57.950001,62.209999,57.450001,60.380001,66200,59.950081
2011-12-01,57.900002,58.310001,54.389999,56.740002,54300,56.335999
2011-11-01,50.509998,57.880001,49.93,57.830002,64900,57.380089
2011-10-03,45.150002,54.73,42.84,52.349998,72300,51.942719
2011-09-01,51.77,52.66,43.689999,45.290001,64400,44.937645
2011-08-01,55.419998,55.459999,45.450001,51.779999,62400,51.336803
2011-07-01,56.360001,61.220001,53.650002,54.849998,51600,54.380527
2011-06-01,53.610001,56.360001,49.630001,56.189999,52700,55.709061
2011-05-02,52.060001,53.93,50.50,53.619999,63200,53.120945
2011-04-01,53.27,54.349998,49.939999,51.759998,59300,51.278255
2011-03-01,56.610001,57.66,51.880001,53.009998,58400,52.516621
2011-02-01,56.110001,57.98,55.029999,56.400002,61600,55.837387
2011-01-03,55.459999,57.369999,52.50,55.759998,72200,55.20377
2010-12-01,52.009998,55.889999,52.009998,55.049999,38900,54.500851
2010-11-01,45.990002,52.23,45.900002,51.27,37400,50.722816
2010-10-01,44.630001,48.400002,42.720001,46.029999,48000,45.538738
2010-09-01,39.84,45.669998,39.529999,44.150002,47500,43.678806
2010-08-02,44.439999,44.59,38.139999,39.259998,65500,38.804867
2010-07-01,44.02,46.189999,41.889999,43.959999,80900,43.450382
2010-06-01,44.540001,45.419998,39.810001,44.02,101200,43.509689
2010-05-03,48.830002,49.57,43.470001,45.00,87900,44.437023
2010-04-01,51.68,52.43,48.849998,48.869999,70600,48.258606
2010-03-01,52.740002,55.790001,51.299999,51.50,66000,50.855705
2010-02-01,50.41,54.25,49.630001,52.560001,75100,51.866329
2010-01-04,48.799999,55.380001,48.310001,50.240002,153000,49.57695
