Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,48.43,49.00,46.810001,47.639999,114000,47.639999
2013-03-01,44.009998,49.459999,43.080002,48.330002,122800,48.330002
2013-02-01,35.669998,48.119999,33.34,44.290001,311900,44.290001
2013-01-02,34.130001,39.73,32.029999,35.450001,330300,35.450001
2012-12-03,41.419998,43.990002,30.51,32.93,338200,32.93
2012-11-01,42.799999,44.880001,39.02,41.279999,297500,41.279999
2012-10-01,46.470001,50.23,42.540001,43.139999,195900,43.139999
2012-09-04,45.50,49.509998,44.189999,46.470001,205200,46.470001
2012-08-01,45.130001,47.560001,42.259998,45.349998,142700,45.349998
2012-07-02,41.200001,45.540001,38.25,44.98,129900,44.98
2012-06-01,39.77,41.50,38.00,41.119999,84700,41.119999
2012-05-01,41.68,41.959999,36.02,40.400002,134200,40.400002
2012-04-02,37.330002,42.139999,35.759998,41.700001,88300,41.700001
2012-03-01,37.200001,38.25,35.110001,37.330002,45200,37.330002
2012-02-01,34.900002,38.970001,33.740002,37.099998,80800,37.099998
2012-01-03,30.66,34.950001,30.66,34.779999,62400,34.779999
2011-12-01,33.959999,34.040001,29.00,30.370001,71400,30.370001
2011-11-01,33.299999,35.880001,31.030001,34.139999,67300,34.139999
2011-10-03,27.25,35.00,25.690001,34.599998,85800,34.599998
2011-09-01,25.790001,28.73,24.110001,27.50,81600,27.50
2011-08-01,27.65,28.719999,23.10,25.74,133800,25.74
2011-07-01,31.49,33.75,27.280001,27.35,140200,27.35
2011-06-01,29.299999,34.439999,26.809999,31.280001,153500,31.280001
2011-05-02,37.240002,37.799999,27.870001,29.389999,241600,29.389999
2011-04-01,34.599998,38.50,33.580002,37.299999,69300,37.299999
2011-03-01,34.84,35.360001,32.00,34.509998,48000,34.509998
2011-02-01,38.139999,40.490002,32.93,34.82,56900,34.82
2011-01-03,43.549999,44.220001,37.919998,37.919998,35900,37.919998
2010-12-01,42.740002,44.75,41.619999,43.450001,51600,43.450001
2010-11-01,44.00,45.00,41.299999,42.119999,48700,42.119999
2010-10-01,40.41,45.50,39.00,43.919998,61200,43.919998
2010-09-01,43.00,43.889999,39.740002,40.360001,48000,40.360001
2010-08-02,41.900002,45.00,39.279999,42.50,78700,42.50
2010-07-01,36.509998,42.25,35.509998,41.900002,42400,41.900002
2010-06-01,37.02,37.900002,34.619999,36.529999,34000,36.529999
2010-05-03,36.52,39.200001,33.599998,37.450001,51800,37.450001
2010-04-01,31.50,38.50,29.76,36.240002,88700,36.240002
2010-03-01,27.51,32.689999,27.10,31.41,47700,31.41
2010-02-01,28.43,28.809999,24.34,27.690001,55200,27.690001
2010-01-04,32.16,32.84,28.35,28.42,25900,28.42
2009-12-01,32.360001,33.00,30.459999,31.90,25000,31.90
2009-11-02,28.620001,33.450001,27.870001,32.09,40300,32.09
2009-10-01,33.82,37.189999,28.57,28.82,55800,28.82
2009-09-01,31.450001,36.00,30.02,34.110001,42000,34.110001
2009-08-03,33.630001,35.009998,30.41,31.52,55600,31.52
2009-07-01,29.959999,36.93,23.58,33.349998,78300,33.349998
2009-06-01,26.83,30.219999,26.299999,29.73,66000,29.73
2009-05-01,24.290001,28.129999,23.74,26.52,66200,26.52
2009-04-01,22.280001,27.90,20.780001,23.91,73400,23.91
2009-03-02,20.00,23.389999,17.719999,22.360001,63500,22.360001
2009-02-02,23.50,27.469999,19.16,20.030001,73800,20.030001
2009-01-02,34.310001,34.84,21.57,23.209999,69600,23.209999
2008-12-01,29.860001,35.619999,28.190001,34.240002,75900,34.240002
2008-11-03,37.810001,37.919998,28.030001,30.370001,110900,30.370001
2008-10-01,40.990002,44.50,35.799999,37.939999,129900,37.939999
2008-09-02,37.869999,45.799999,34.009998,40.990002,256600,40.990002
2008-08-01,33.939999,38.00,30.530001,37.860001,237000,37.860001
2008-07-01,26.91,38.990002,23.52,34.09,343800,34.09
2008-06-02,25.07,28.969999,24.50,26.870001,409800,26.870001
2008-05-01,19.43,26.98,19.02,25.450001,492900,25.450001
2008-04-01,21.60,22.59,18.18,19.50,441600,19.50
2008-03-03,31.10,31.139999,18.25,22.030001,590000,22.030001
2008-02-01,42.880001,46.450001,31.01,31.18,333200,31.18
2008-01-02,37.169998,49.889999,34.029999,43.349998,590600,43.349998
2007-12-03,41.360001,41.849998,36.110001,37.080002,382700,37.080002
2007-11-01,40.150002,45.00,38.900002,41.68,343000,41.68
2007-10-01,43.970001,48.50,38.880001,40.810001,421800,40.810001
2007-09-04,38.00,43.810001,37.299999,43.75,353900,43.75
2007-08-01,40.50,41.439999,28.51,38.080002,682100,38.080002
2007-07-02,45.07,51.50,40.119999,40.360001,754700,40.360001
2007-06-01,39.25,49.709999,36.700001,44.740002,742700,44.740002
2007-05-01,39.84,42.950001,38.00,38.880001,500300,38.880001
2007-04-02,45.450001,48.00,39.689999,39.84,919500,39.84
2007-03-01,57.66,59.91,45.27,46.869999,562300,46.869999
2007-02-01,53.130001,61.799999,52.990002,58.07,264200,58.07
2007-01-03,51.849998,53.470001,49.23,53.080002,183600,53.080002
2006-12-01,48.470001,52.84,47.93,51.66,156900,51.66
2006-11-01,44.93,48.599998,42.759998,48.380001,186500,48.380001
2006-10-02,44.580002,48.919998,43.91,44.919998,232300,44.919998
2006-09-01,44.810001,47.330002,43.18,44.59,184700,44.59
2006-08-01,44.23,45.580002,43.060001,44.759998,115800,44.759998
2006-07-03,37.810001,45.00,35.060001,44.349998,247900,44.349998
2006-06-01,37.790001,39.369999,35.810001,37.900002,176000,37.900002
2006-05-01,36.540001,38.869999,36.049999,37.610001,200100,37.610001
2006-04-03,41.709999,42.700001,36.290001,36.59,190400,36.59
2006-03-01,43.220001,43.419998,39.400002,41.720001,123800,41.720001
2006-02-01,40.34,43.419998,37.900002,43.150002,247500,43.150002
2006-01-03,38.91,40.549999,37.380001,40.110001,211100,40.110001
2005-12-01,39.380001,40.84,37.299999,38.360001,211200,38.360001
2005-11-01,43.84,44.799999,38.759998,39.48,169900,39.48
2005-10-03,47.50,48.50,40.290001,44.02,349800,44.02
2005-09-01,51.619999,54.099998,47.689999,47.700001,193900,47.700001
2005-08-01,49.07,52.50,46.50,52.00,319600,52.00
2005-07-01,42.34,49.799999,41.869999,48.509998,272900,48.509998
2005-06-01,44.02,44.049999,41.380001,42.299999,128700,42.299999
2005-05-02,41.259998,45.50,40.630001,43.900002,167500,43.900002
2005-04-01,47.98,48.48,40.07,41.330002,376900,41.330002
2005-03-01,44.400002,52.93,40.299999,47.299999,368300,47.299999
2005-02-01,36.630001,45.75,36.34,44.52,464900,44.52
2005-01-03,33.849998,36.549999,32.599998,36.380001,167400,36.380001
2004-12-01,30.18,36.50,29.059999,34.200001,221300,34.200001
2004-11-01,30.00,30.700001,27.77,29.709999,185300,29.709999
2004-10-01,34.639999,36.150002,29.290001,29.83,240000,29.83
2004-09-01,29.129999,35.00,28.83,34.799999,201700,34.799999
2004-08-02,29.450001,30.33,25.809999,29.10,187200,29.10
2004-07-01,28.49,31.190001,26.10,29.75,279000,29.75
