Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,72.00,72.07,71.209999,71.889999,1027800,71.889999
2013-03-01,70.510002,74.50,69.800003,72.00,663100,72.00
2013-02-01,71.07,72.330002,67.879997,70.629997,819700,70.629997
2013-01-02,71.260002,75.779999,69.519997,70.650002,1031800,70.650002
2012-12-03,69.269997,72.610001,68.949997,70.239998,679800,70.239998
2012-11-01,66.239998,71.389999,65.910004,69.160004,1005700,69.160004
2012-10-01,60.470001,69.18,57.00,66.760002,1262200,66.760002
2012-09-04,61.290001,64.00,58.560001,60.32,949500,60.32
2012-08-01,54.740002,60.709999,53.740002,58.790001,864900,58.790001
2012-07-02,60.709999,61.549999,52.900002,54.580002,1448300,54.580002
2012-06-01,57.43,61.810001,56.610001,60.77,1137500,60.77
2012-05-01,63.419998,65.480003,58.259998,58.66,1389800,58.66
2012-04-02,68.68,69.809998,62.50,63.419998,1235800,63.419998
2012-03-01,65.139999,71.00,64.300003,68.959999,823700,68.959999
2012-02-01,66.349998,68.349998,64.220001,65.25,816000,65.25
2012-01-03,67.949997,71.949997,64.93,65.870003,1327000,65.870003
2011-12-01,61.939999,67.82,61.869999,67.129997,892800,67.129997
2011-11-01,56.790001,62.360001,55.810001,62.23,1241600,62.23
2011-10-03,51.759998,62.439999,48.720001,58.720001,1599600,58.720001
2011-09-01,56.73,56.73,49.16,52.16,1742800,52.16
2011-08-01,62.610001,63.099998,51.490002,56.959999,1875600,56.959999
2011-07-01,70.160004,71.580002,61.00,62.759998,1066800,62.759998
2011-06-01,67.349998,70.400002,64.889999,70.019997,1005400,70.019997
2011-05-02,70.349998,71.330002,66.599998,67.540001,1063100,67.540001
2011-04-01,68.410004,71.849998,68.050003,70.199997,873900,70.199997
2011-03-01,69.739998,71.610001,64.129997,67.639999,979100,67.639999
2011-02-01,67.900002,71.75,66.269997,69.279999,1058700,69.279999
2011-01-03,69.790001,72.190002,67.370003,67.57,1013500,67.57
2010-12-01,66.510002,70.970001,66.360001,69.279999,1005000,69.279999
2010-11-01,63.369999,66.139999,62.099998,65.830002,796500,65.830002
2010-10-01,60.82,63.75,59.52,63.220001,1165500,63.220001
2010-09-01,53.91,61.380001,53.810001,60.50,1095200,60.50
2010-08-02,55.889999,57.139999,51.009998,53.240002,1177800,53.240002
2010-07-01,52.34,57.419998,50.200001,55.200001,1106700,55.200001
2010-06-01,49.560001,54.959999,48.099998,52.279999,1515600,52.279999
2010-05-03,56.689999,57.330002,35.50,50.09,1734600,50.09
2010-04-01,55.470001,57.700001,54.400002,56.380001,1068200,56.380001
2010-03-01,49.060001,56.32,49.00,55.330002,995200,55.330002
2010-02-01,50.860001,50.860001,46.959999,48.970001,1088600,48.970001
2010-01-04,47.189999,50.740002,47.00,50.290001,1253300,50.290001
2009-12-01,47.099998,47.610001,44.299999,46.849998,768300,46.849998
2009-11-02,43.509998,47.779999,42.150002,46.740002,956100,46.740002
