Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,57.700001,58.080002,57.130001,57.380001,759800,57.380001
2013-03-01,58.790001,61.50,56.580002,57.700001,490300,57.700001
2013-02-01,56.82,60.290001,55.049999,58.279999,410400,58.279999
2013-01-02,54.380001,58.279999,50.00,56.290001,603500,56.290001
2012-12-03,50.400002,54.18,49.630001,53.82,373300,53.82
2012-11-01,45.450001,51.139999,45.450001,50.099998,624500,50.099998
2012-10-01,44.700001,46.189999,42.48,44.099998,474200,44.099998
2012-09-04,45.98,48.400002,42.48,44.459999,757400,44.459999
2012-08-01,32.68,46.459999,27.040001,46.02,1434500,46.02
2012-07-02,37.369999,40.470001,28.709999,32.43,599100,32.43
2012-06-01,39.00,41.240002,35.720001,37.50,466700,37.50
2012-05-01,50.18,50.990002,39.669998,40.00,620600,40.00
2012-04-02,52.900002,53.459999,45.93,50.169998,464300,50.169998
2012-03-01,53.900002,56.779999,51.369999,53.00,326600,53.00
2012-02-01,48.700001,57.00,48.380001,53.720001,384700,53.720001
2012-01-03,51.060001,53.869999,47.16,48.00,452400,48.00
2011-12-01,55.68,57.560001,46.349998,49.939999,461300,49.939999
2011-11-01,52.900002,58.59,49.50,55.950001,803400,55.950001
2011-10-03,42.860001,58.139999,38.32,55.619999,542000,55.619999
2011-09-01,50.900002,51.150002,41.009998,43.00,508800,43.00
2011-08-01,63.57,63.959999,43.369999,51.080002,670800,51.080002
2011-07-01,68.349998,70.480003,61.139999,62.700001,650000,62.700001
2011-06-01,61.080002,68.589996,58.459999,68.410004,862200,68.410004
2011-05-02,68.220001,71.00,58.93,61.290001,507200,61.290001
2011-04-01,63.150002,68.00,60.75,67.43,406900,67.43
2011-03-01,74.50,75.940002,59.560001,62.490002,863700,62.490002
2011-02-01,70.75,76.610001,67.889999,73.949997,431300,73.949997
2011-01-03,73.989998,76.25,68.650002,70.239998,852300,70.239998
2010-12-01,60.50,74.50,60.50,74.25,210000,74.25
2010-11-01,62.599998,66.50,60.200001,60.549999,161000,60.549999
2010-10-05,58.00,66.00,50.759998,62.900002,285600,62.900002
