Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.15,2.15,2.15,2.15,000,1.43447
2013-03-01,2.25,2.25,2.05,2.15,100,1.43447
2013-02-01,2.03,2.25,2.01,2.25,800,1.28474
2013-01-01,2.00,2.15,2.00,2.15,6400,1.22764
2012-12-03,1.92,2.05,1.92,2.00,5300,1.14199
2012-11-01,2.20,2.20,1.92,1.92,300,0.92203
2012-10-01,1.95,2.20,1.95,2.20,2700,1.05649
2012-09-03,2.25,2.25,1.95,1.95,000,0.93643
2012-08-01,2.40,2.40,2.25,2.25,3200,1.0805
2012-07-02,2.40,2.40,2.40,2.40,000,1.15254
2012-06-01,2.00,2.40,2.00,2.40,000,1.15254
2012-05-01,1.95,2.00,1.94,2.00,200,0.96045
2012-04-02,2.40,2.40,1.95,1.95,000,0.93643
2012-03-01,2.39,2.40,2.39,2.40,100,1.15254
2012-02-01,1.95,2.39,1.95,2.39,200,1.14773
2012-01-02,1.95,1.95,1.95,1.95,000,0.93643
2011-12-01,1.99,1.99,1.95,1.95,000,0.93643
2011-11-01,18.73,20.95,1.99,1.99,668900,0.95564
2011-10-03,18.54,20.49,1.98,19.53,1217200,9.37875
2011-09-01,25.20,25.66,18.50,18.74,1464600,8.99938
2011-08-01,27.10,27.13,1.99,25.27,2035700,12.13523
2011-07-01,30.42,31.95,1.95,26.80,781800,12.86998
2011-06-01,28.98,30.51,2.19,30.30,609400,14.55076
2011-05-02,28.98,29.66,2.22,2.22,656500,1.06609
2011-04-01,29.39,30.81,2.00,28.83,1064900,13.84483
2011-03-01,28.19,29.51,1.95,29.14,659700,13.9937
2011-02-01,30.47,33.48,2.05,28.22,867600,13.55189
2011-01-03,32.35,33.22,2.01,30.34,695100,14.56997
2010-12-01,33.13,35.85,1.75,32.35,513200,15.53521
2010-11-01,33.17,34.16,2.07,32.55,568800,15.63126
2010-10-01,34.16,37.44,2.00,33.00,538300,15.84736
2010-09-01,29.89,35.13,29.49,33.89,708400,16.27476
2010-08-02,35.34,35.82,29.09,29.31,769000,14.07533
2010-07-01,31.56,34.94,1.92,34.57,1012500,16.60131
2010-06-01,35.84,38.43,31.03,31.72,941600,15.23267
2010-05-03,32.81,36.74,2.26,36.52,1331400,17.53774
2010-04-01,28.04,32.99,2.10,32.69,555000,15.69849
2010-03-01,25.80,29.45,1.75,27.83,443200,13.3646
2010-02-01,24.57,27.00,1.75,25.62,1143200,12.30331
2010-01-04,18.72,21.75,1.75,20.93,536500,10.05107
2009-12-01,14.92,19.79,1.61,18.26,515100,8.76887
2009-11-02,18.35,18.68,14.32,14.83,806900,7.12171
2009-10-01,1.61,21.01,1.61,18.23,563700,8.75446
2009-09-01,1.75,1.75,1.61,1.61,000,0.77316
2009-08-03,1.80,1.96,1.60,1.75,000,0.84039
2009-07-01,1.50,1.80,1.50,1.80,300,0.8644
2009-06-01,1.50,1.50,1.50,1.50,000,0.72033
2009-05-01,1.55,1.55,1.50,1.50,200,0.72033
2009-04-01,1.55,1.55,1.55,1.55,000,0.74435
2009-03-02,1.55,1.55,1.55,1.55,000,0.74435
2009-02-02,1.65,1.65,1.55,1.55,1800,0.74435
2009-01-01,1.55,1.65,1.55,1.65,200,0.79237
2008-12-01,1.55,1.55,1.55,1.55,200,0.74435
2008-11-03,1.55,1.55,1.55,1.55,600,0.74435
2008-10-01,1.65,1.65,1.50,1.55,600,0.74435
2008-09-01,1.65,1.65,1.65,1.65,000,0.79237
2008-08-01,1.65,1.65,1.65,1.65,000,0.79237
