Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.89,2.89,2.82,2.88,2646600,2.88
2013-03-01,2.61,2.92,2.55,2.89,1454700,2.89
2013-02-01,2.63,2.84,2.41,2.64,2289700,2.64
2013-01-02,2.41,2.62,2.30,2.61,1384100,2.61
2012-12-03,2.44,2.50,2.25,2.37,1487400,2.37
2012-11-01,2.27,2.43,2.12,2.43,1426100,2.43
2012-10-01,2.29,2.35,2.13,2.27,1451200,2.27
2012-09-04,2.14,2.55,2.06,2.28,2115000,2.28
2012-08-01,1.98,2.19,1.90,2.14,1398200,2.14
2012-07-02,2.04,2.10,1.63,1.79,1586400,1.79
2012-06-01,1.77,2.09,1.64,2.01,1726300,2.01
2012-05-01,2.08,2.10,1.68,1.83,1863800,1.83
2012-04-02,2.21,2.27,1.96,2.04,1970500,2.04
2012-03-01,2.40,2.41,2.14,2.21,2133400,2.21
2012-02-01,2.55,3.16,2.26,2.39,3684100,2.39
2012-01-03,2.51,2.60,2.17,2.53,1765700,2.53
2011-12-01,2.57,2.69,2.04,2.45,1767100,2.45
2011-11-01,3.28,3.28,2.15,2.58,2034700,2.58
2011-10-03,2.53,3.52,2.43,3.35,1810300,3.35
2011-09-01,3.62,3.62,2.51,2.60,2036100,2.60
2011-08-01,4.07,4.12,2.52,3.62,2898100,3.62
2011-07-01,4.43,4.82,3.92,4.01,2009600,4.01
2011-06-01,4.77,4.83,3.99,4.41,2675000,4.41
2011-05-02,5.20,5.39,4.35,4.77,3642100,4.77
2011-04-01,4.57,5.30,4.41,5.16,2599200,5.16
2011-03-01,4.45,4.80,3.70,4.56,3786700,4.56
2011-02-01,3.26,4.94,3.25,4.42,4762400,4.42
2011-01-03,2.25,3.38,2.25,3.28,4397100,3.28
2010-12-01,2.44,2.59,2.23,2.24,1994600,2.24
2010-11-01,2.56,2.59,2.10,2.42,2766000,2.42
2010-10-01,2.56,2.79,2.41,2.55,1933500,2.55
2010-09-01,2.19,2.62,2.13,2.55,2096300,2.55
2010-08-02,2.46,2.51,1.92,2.16,2678400,2.16
2010-07-01,2.31,2.49,2.11,2.45,3100900,2.45
2010-06-01,2.01,2.79,1.85,2.30,6619700,2.30
2010-05-03,1.74,2.15,1.45,2.01,5639600,2.01
2010-04-01,1.35,1.74,1.35,1.70,3587300,1.70
2010-03-01,1.61,1.61,1.30,1.35,3344200,1.35
2010-02-01,1.45,1.83,1.34,1.55,3196600,1.55
2010-01-04,1.41,1.64,1.40,1.45,2720800,1.45
2009-12-01,1.30,1.65,1.17,1.40,3387100,1.40
2009-11-02,1.60,1.82,1.13,1.28,5236700,1.28
2009-10-01,1.41,2.06,1.32,1.58,14188600,1.58
2009-09-01,1.44,2.07,1.30,1.39,14837500,1.39
2009-08-03,0.44,2.63,0.37,1.43,11624000,1.43
2009-07-01,0.40,0.45,0.31,0.42,655600,0.42
2009-06-01,0.47,0.50,0.34,0.38,1119100,0.38
2009-05-01,0.39,0.82,0.38,0.46,2478600,0.46
2009-04-01,0.40,0.52,0.35,0.38,1906300,0.38
2009-03-02,0.36,0.45,0.31,0.40,277900,0.40
2009-02-02,0.56,0.63,0.33,0.35,248300,0.35
2009-01-02,0.69,0.70,0.51,0.56,238400,0.56
2008-12-01,1.12,1.32,0.62,0.66,533500,0.66
2008-11-03,0.93,1.10,0.80,1.05,315100,1.05
2008-10-01,1.10,1.11,0.57,0.88,550000,0.88
2008-09-02,1.40,1.55,0.90,1.01,449200,1.01
2008-08-01,1.40,1.48,1.20,1.48,325700,1.48
2008-07-01,1.64,1.96,1.36,1.41,355000,1.41
2008-06-02,1.91,1.95,1.66,1.66,345000,1.66
2008-05-01,1.99,2.04,1.74,2.00,383500,2.00
2008-04-01,1.89,2.05,1.73,1.97,550000,1.97
2008-03-03,1.86,2.01,1.69,1.85,687900,1.85
2008-02-01,2.00,2.17,1.82,1.85,796300,1.85
2008-01-02,2.35,2.43,1.70,1.99,1078700,1.99
2007-12-03,2.11,2.30,1.71,2.30,1282900,2.30
2007-11-01,2.00,2.70,1.95,2.11,1389000,2.11
2007-10-01,1.03,2.70,0.96,2.04,4828000,2.04
2007-09-04,2.11,2.12,0.89,1.03,1777600,1.03
2007-08-01,2.11,2.52,1.80,2.11,1336300,2.11
2007-07-02,3.16,3.19,2.08,2.13,1200400,2.13
2007-06-01,3.07,3.32,2.89,3.11,1393900,3.11
2007-05-01,3.11,3.77,3.00,3.01,1280700,3.01
2007-04-02,3.41,4.43,2.83,3.07,4331400,3.07
2007-03-01,5.21,5.39,2.98,3.45,2721300,3.45
2007-02-01,5.66,5.94,5.08,5.20,982400,5.20
2007-01-03,6.99,7.01,5.58,5.68,809300,5.68
2006-12-01,6.50,7.30,6.50,6.94,743400,6.94
2006-11-01,6.93,7.21,6.40,6.50,547200,6.50
2006-10-02,7.13,7.89,6.81,6.88,601400,6.88
2006-09-01,8.56,9.07,6.63,6.88,855400,6.88
2006-08-01,6.93,8.53,6.30,8.51,995000,8.51
2006-07-03,8.59,8.82,6.50,7.09,785100,7.09
2006-06-01,12.00,12.60,8.25,8.59,1956300,8.59
2006-05-24,17.00,17.25,11.70,12.02,11518400,12.02
