Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.01,14.11,14.01,14.11,261800,11.465894
2013-03-01,14.38,14.60,13.42,14.07,192400,11.43339
2013-02-01,14.95,15.03,14.27,14.32,133500,11.575968
2013-01-02,14.47,15.14,14.46,14.95,101000,12.023726
2012-12-03,15.70,15.76,14.31,14.40,178700,11.522859
2012-11-01,14.80,15.73,14.73,15.70,133500,12.502109
2012-10-01,15.27,15.42,14.67,14.79,124900,11.715599
2012-09-04,15.34,15.47,15.12,15.27,69500,12.032243
2012-08-01,15.41,15.47,14.83,15.31,65100,12.000724
2012-07-02,15.06,15.47,14.97,15.35,74400,11.968205
2012-06-01,14.92,15.29,14.42,15.08,72300,11.696131
2012-05-01,14.54,15.08,14.42,15.08,77700,11.633793
2012-04-02,14.22,14.59,14.06,14.51,66300,11.132759
2012-03-01,14.89,14.98,13.42,14.23,104400,10.85702
2012-02-01,14.67,15.01,14.10,14.90,97600,11.306382
2012-01-03,14.13,14.77,13.94,14.62,98700,11.034389
2011-12-01,13.83,14.03,13.70,13.99,63800,10.49916
2011-11-01,13.37,13.99,13.21,13.86,68400,10.341948
2011-10-03,13.58,13.75,13.01,13.32,69800,9.880763
2011-09-01,13.47,13.68,13.14,13.54,53900,9.983133
2011-08-01,12.84,13.50,12.28,13.45,64900,9.857036
2011-07-01,13.29,13.56,12.54,12.70,65300,9.251021
2011-06-01,12.86,13.53,12.75,13.23,64200,9.579978
2011-05-02,12.68,13.00,12.61,12.84,61800,9.240094
2011-04-01,12.98,13.03,12.42,12.68,50800,9.068757
2011-03-01,12.23,13.02,12.21,12.94,72300,9.196411
2011-02-01,12.25,12.47,12.06,12.24,78800,8.642666
2011-01-03,12.47,12.59,11.39,12.27,138400,8.607499
2010-12-01,13.52,13.61,11.97,12.49,157700,8.703709
2010-11-01,14.32,14.55,12.25,13.51,130900,9.35444
2010-10-01,14.38,14.45,14.02,14.32,61100,9.858793
2010-09-01,14.90,14.97,13.97,14.41,66400,9.865792
2010-08-02,14.47,14.89,14.16,14.76,70800,10.05016
2010-07-01,13.93,14.45,13.80,14.45,61300,9.784456
2010-06-01,13.39,14.01,13.36,13.89,63700,9.352054
2010-05-03,13.58,13.69,12.64,13.46,73200,9.009307
2010-04-01,13.87,13.98,13.50,13.57,59900,9.029739
2010-03-01,13.74,13.94,13.35,13.91,63000,9.202864
2010-02-01,13.80,14.02,13.10,13.67,88700,8.992176
2010-01-04,12.97,13.90,12.92,13.75,62500,8.991241
2009-12-01,12.85,13.35,12.76,13.04,68500,8.47556
2009-11-02,12.69,12.97,12.63,12.85,75200,8.30198
2009-10-01,13.70,14.40,12.44,12.69,118700,8.149074
2009-09-01,12.66,14.45,12.64,13.62,152600,8.694644
2009-08-03,12.95,12.99,12.21,12.69,62800,8.054733
2009-07-01,11.70,13.04,11.41,12.94,50800,8.162611
2009-06-01,11.98,12.29,10.80,11.62,54600,7.28617
2009-05-01,11.44,12.11,11.05,11.76,50100,7.331261
2009-04-01,11.08,11.50,10.54,11.40,43600,7.064746
2009-03-02,10.90,11.32,9.87,10.97,64700,6.754329
2009-02-02,11.73,11.74,9.37,10.85,78000,6.635694
2009-01-02,8.98,11.90,8.94,11.76,85700,7.148073
2008-12-01,9.15,9.52,7.08,8.87,138700,5.355742
2008-11-03,10.36,11.81,8.65,9.20,108900,5.506871
2008-10-01,11.11,12.20,6.73,10.15,126300,6.036499
2008-09-02,14.12,14.33,10.20,11.00,115100,6.48776
2008-08-01,14.88,14.90,13.59,14.09,66800,8.26865
2008-07-01,14.73,15.21,14.14,14.82,66600,8.654563
2008-06-02,14.98,14.98,14.01,14.58,53900,8.475172
2008-05-01,14.85,15.00,14.51,14.79,53600,8.557626
2008-04-01,13.86,14.90,13.75,14.78,57500,8.513125
2008-03-03,13.40,14.46,13.32,13.84,74500,7.934003
2008-02-01,15.40,15.42,13.29,13.36,111600,7.621515
2008-01-02,15.07,15.68,14.81,15.40,88000,8.746064
2007-12-03,14.60,15.15,14.30,15.03,98100,8.497907
2007-11-01,13.84,14.52,13.20,14.51,124700,8.166962
2007-10-01,14.62,14.97,13.45,13.87,129500,7.768683
2007-09-04,15.05,15.19,14.27,14.58,94600,8.129594
2007-08-01,14.83,15.18,13.11,15.17,64700,8.420488
2007-07-02,15.01,15.21,14.02,14.77,45600,8.161244
2007-06-01,15.95,15.99,14.74,15.05,69600,8.279731
2007-05-01,15.97,16.139999,15.65,15.91,54400,8.714166
2007-04-02,15.67,16.07,15.58,16.02,44500,8.738379
2007-03-01,15.74,15.78,15.48,15.62,40000,8.48469
2007-02-01,15.93,16.10,15.55,15.68,49800,8.481613
2007-01-03,15.75,15.95,15.45,15.92,58400,8.575438
2006-12-01,14.87,15.88,14.87,15.81,54500,8.480226
2006-11-01,14.89,15.00,14.62,14.99,45500,8.006351
2006-10-02,14.75,14.87,14.56,14.86,46800,7.902994
2006-09-01,14.62,14.75,14.37,14.72,41700,7.795124
2006-08-01,14.34,14.63,14.33,14.56,59100,7.677124
2006-07-03,14.16,14.45,14.13,14.38,52000,7.549315
2006-06-01,13.94,14.31,13.69,14.26,72700,7.453519
2006-05-01,14.40,14.60,13.93,13.94,54700,7.253235
2006-04-03,14.50,14.57,14.12,14.35,51900,7.433625
2006-03-01,14.50,14.65,14.23,14.50,80100,7.47666
2006-02-01,14.39,14.60,14.05,14.47,85200,7.427089
2006-01-03,14.04,14.48,13.99,14.37,60800,7.339682
2005-12-01,13.96,14.08,13.56,14.04,80100,7.135879
2005-11-01,14.08,14.11,13.76,13.95,51800,6.930709
2005-10-03,14.41,14.45,13.50,14.02,41800,6.930734
2005-09-01,14.42,14.94,14.22,14.37,53800,7.068884
2005-08-01,14.32,14.53,14.28,14.47,46700,7.084455
2005-07-01,14.50,14.52,14.29,14.37,54900,7.001342
2005-06-01,14.37,14.59,14.22,14.50,46800,7.030552
2005-05-02,14.16,14.46,14.08,14.37,51700,6.933814
2005-04-01,14.09,14.38,13.86,14.15,52200,6.792559
2005-03-01,14.71,15.35,13.53,13.99,127800,6.680983
2005-02-01,14.72,15.20,14.69,14.72,49700,6.992873
2005-01-03,14.85,14.85,14.47,14.72,65800,6.956727
2004-12-01,14.27,14.68,14.10,14.68,66900,6.900984
2004-11-01,14.88,14.98,13.95,14.22,58100,6.648557
2004-10-01,14.82,14.96,14.72,14.90,37200,6.928089
2004-09-01,14.64,14.96,14.48,14.81,39000,6.850047
2004-08-02,14.20,14.64,14.18,14.64,45500,6.735438
2004-07-01,13.65,14.20,13.63,14.18,33100,6.488395
2004-06-01,13.75,13.82,13.44,13.63,48900,6.202374
2004-05-03,13.83,13.99,13.23,13.72,66200,6.207363
2004-04-01,15.44,15.49,13.73,13.91,72600,6.25691
2004-03-01,15.52,15.75,15.37,15.38,32300,6.880792
2004-02-02,15.43,15.51,15.18,15.51,31000,6.904457
2004-01-02,14.76,15.46,14.75,15.35,44500,6.798486
2003-12-01,14.69,14.86,14.58,14.79,32500,6.516671
2003-11-03,14.59,14.78,14.50,14.69,31300,6.42791
2003-10-01,14.60,14.81,14.41,14.57,29000,6.341294
2003-09-02,14.17,14.64,14.14,14.64,30600,6.33779
2003-08-01,14.02,14.23,13.85,14.14,37900,6.088224
2003-07-01,15.10,15.39,14.02,14.02,49700,6.003304
2003-06-02,15.38,15.75,14.91,15.05,36900,6.411684
2003-05-01,15.09,15.39,14.94,15.38,39600,6.519678
2003-04-01,14.69,15.08,14.54,15.05,36100,6.346746
2003-03-03,14.42,14.70,14.23,14.66,36700,6.149564
2003-02-03,14.34,14.57,14.19,14.40,38100,6.008426
2003-01-02,14.42,14.54,13.93,14.33,34300,5.94701
2002-12-02,13.94,14.50,13.87,14.45,35400,5.963636
2002-11-01,14.30,14.47,13.84,13.97,32900,5.733755
2002-10-01,15.31,15.44,13.74,14.30,37300,5.837094
2002-09-03,15.08,15.37,14.92,15.29,27600,6.209046
2002-08-01,14.75,15.15,14.51,15.05,29000,6.080017
2002-07-01,14.62,14.99,14.53,14.75,35100,5.927731
2002-06-03,14.20,14.73,14.14,14.73,35700,5.888494
2002-05-01,13.87,14.25,13.78,14.21,46600,5.649415
2002-04-01,13.60,13.91,13.56,13.82,30900,5.463443
2002-03-01,14.26,14.35,13.56,13.59,36600,5.341997
2002-02-01,13.93,14.35,13.88,14.31,32700,5.593587
2002-01-02,13.33,13.98,13.33,13.90,32400,5.403583
2001-12-03,13.67,13.80,13.04,13.42,49600,5.188969
2001-11-01,13.84,14.19,13.50,13.64,51400,5.246967
2001-10-01,13.75,14.15,13.63,13.79,33000,5.27923
2001-09-04,14.08,14.08,13.25,13.75,49600,5.238549
2001-08-01,13.80,14.10,13.73,14.07,27700,5.360464
2001-07-02,13.64,13.89,13.55,13.80,32300,5.231987
2001-06-01,13.50,13.76,13.38,13.61,27200,5.134527
2001-05-01,13.66,13.78,13.43,13.51,30900,5.071448
2001-04-02,13.78,13.95,13.50,13.59,30300,5.076304
2001-03-01,13.83,13.90,13.65,13.78,30500,5.121632
2001-02-01,14.10,14.30,13.61,13.77,41000,5.092288
2001-01-02,13.125,14.25,13.125,14.21,64400,5.229271
2000-12-01,12.50,13.4375,12.25,13.0625,118000,4.783405
2000-11-01,12.6875,12.8125,12.25,12.375,47900,4.506619
2000-10-02,12.875,12.9375,12.50,12.625,41400,4.572185
2000-09-01,13.5625,13.5625,12.8125,12.875,56700,4.63701
2000-08-01,13.8125,13.9375,13.1875,13.50,51700,4.835805
2000-07-03,13.375,13.9375,13.3125,13.75,36400,4.897031
