Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.25,18.379999,18.219999,18.33,44600,13.986191
2013-03-01,18.049999,18.50,17.530001,18.290001,21000,13.955671
2013-02-01,18.00,18.200001,17.57,18.059999,23400,13.693063
2013-01-02,17.40,18.15,17.34,18.00,29300,13.559961
2012-12-03,17.889999,17.90,17.16,17.25,21800,12.911124
2012-11-01,18.40,19.040001,16.799999,17.889999,44100,13.302933
2012-10-01,17.139999,18.540001,17.129999,18.379999,46700,13.583055
2012-09-04,17.049999,17.299999,16.98,17.17,38300,12.604885
2012-08-01,17.309999,17.620001,17.110001,17.120001,14300,12.482771
2012-07-02,17.24,17.559999,16.809999,17.309999,8700,12.537644
2012-06-01,16.92,17.18,16.709999,17.139999,5400,12.332129
2012-05-01,17.139999,17.139999,16.379999,16.959999,7400,12.119452
2012-04-02,16.92,17.16,16.790001,17.139999,6700,12.164845
2012-03-01,16.93,16.940001,16.41,16.940001,12800,11.940667
2012-02-01,16.790001,17.25,16.60,16.889999,19200,11.82385
2012-01-03,15.54,16.809999,15.49,16.790001,10000,11.674112
2011-12-01,14.89,15.56,14.86,15.50,8400,10.699956
2011-11-01,16.57,16.57,14.80,14.88,15500,10.194433
2011-10-03,15.68,16.60,15.03,16.60,5500,11.292673
2011-09-01,16.120001,16.40,15.53,15.73,8500,10.622709
2011-08-01,15.94,16.450001,14.50,16.110001,23300,10.800897
2011-07-01,16.690001,17.01,15.78,15.81,12200,10.519294
2011-06-01,17.02,17.27,16.23,16.690001,12400,11.02881
2011-05-02,16.780001,17.15,16.74,17.01,8500,11.163658
2011-04-01,16.66,16.85,16.549999,16.780001,6200,10.937164
2011-03-01,16.530001,16.780001,16.309999,16.66,7100,10.783566
2011-02-01,16.200001,16.57,16.200001,16.540001,8200,10.631126
2011-01-03,16.110001,16.43,15.80,16.200001,15200,10.33921
2010-12-01,16.09,16.65,15.49,16.02,29000,10.150891
2010-11-01,17.66,17.75,15.90,16.08,53900,10.115907
2010-10-01,16.700001,17.75,16.67,17.65,60500,11.030986
2010-09-01,15.93,16.700001,15.65,16.700001,33800,10.367145
2010-08-02,17.17,17.23,15.54,15.92,33800,9.81168
2010-07-01,16.530001,17.99,16.049999,17.16,21500,10.502665
2010-06-01,16.10,17.10,15.59,16.49,27600,10.010056
2010-05-03,17.32,17.440001,14.52,16.200001,40100,9.745503
2010-04-01,15.93,17.51,15.92,17.26,25800,10.292964
2010-03-01,15.06,15.93,15.01,15.92,29300,9.414054
2010-02-01,15.00,15.51,14.37,15.01,18600,8.799178
2010-01-04,14.58,14.99,14.49,14.76,16300,8.573909
2009-12-01,13.57,14.48,13.57,14.48,7900,8.341119
2009-11-02,13.49,14.00,13.28,13.54,14700,7.731161
2009-10-01,13.88,13.99,13.38,13.54,14000,7.667579
2009-09-01,12.93,13.93,12.90,13.83,7000,7.768043
2009-08-03,12.90,13.85,12.79,12.93,10300,7.198624
2009-07-01,11.87,12.98,11.72,12.84,12600,7.087126
2009-06-01,11.40,12.00,11.35,11.81,9300,6.453645
2009-05-01,2.15,11.45,2.07,11.35,14900,6.141082
2009-04-01,1.90,2.12,1.78,2.09,9300,5.593272
2009-03-02,1.65,1.92,1.44,1.92,9800,5.075399
2009-02-02,2.14,2.17,1.64,1.73,6700,4.502789
2009-01-02,1.80,2.15,1.80,2.13,7800,5.481431
2008-12-01,1.36,1.80,1.18,1.78,9200,4.525757
2008-11-03,1.78,1.92,1.11,1.36,10200,3.393047
2008-10-01,2.29,2.30,1.20,1.78,9200,4.378876
2008-09-02,3.03,3.09,1.36,2.29,10600,5.541447
2008-08-01,3.19,3.24,2.99,3.03,3500,7.271032
2008-07-01,3.30,3.30,2.94,3.14,4900,7.473031
2008-06-02,3.67,3.71,3.18,3.30,6300,7.792465
2008-05-01,3.71,3.75,3.19,3.68,3600,8.628755
2008-04-01,3.55,3.68,3.42,3.68,5300,8.570765
2008-03-03,3.78,3.85,3.27,3.53,6100,8.163024
2008-02-01,4.02,4.04,3.45,3.82,8700,8.772124
2008-01-02,3.60,3.99,3.58,3.98,14500,9.072021
2007-12-03,3.49,3.70,3.48,3.63,16000,8.211615
2007-11-01,3.60,3.64,3.31,3.56,7200,7.990801
2007-10-01,3.73,3.75,3.55,3.60,7900,8.01557
2007-09-04,3.66,3.80,3.55,3.74,5400,8.264608
2007-08-01,3.56,3.70,3.01,3.66,9300,8.027435
2007-07-02,3.96,4.00,3.43,3.63,9100,7.89884
2007-06-01,4.15,4.16,3.88,3.96,9100,8.555367
2007-05-01,4.15,4.29,4.07,4.15,7300,8.904018
2007-04-02,4.03,4.25,4.02,4.10,7500,8.737675
2007-03-01,3.96,4.12,3.95,4.03,7100,8.529842
2007-02-01,4.05,4.12,4.00,4.06,9500,8.534366
2007-01-03,4.02,4.12,4.00,4.07,7800,8.49696
2006-12-01,4.03,4.07,3.95,4.02,11500,8.334837
