Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.28,10.28,9.99,10.04,2340400,8.679996
2013-03-01,9.94,10.50,9.89,10.24,1013000,8.852904
2013-02-01,9.85,10.24,9.70,10.03,943600,8.535834
2013-01-02,9.54,10.18,9.50,9.79,1256400,8.331587
2012-12-03,9.59,9.65,9.08,9.30,1576200,7.914582
2012-11-01,9.75,10.05,8.65,9.54,1321500,7.979234
2012-10-01,10.09,10.27,9.50,9.74,992100,8.146513
2012-09-04,9.71,10.81,9.66,10.02,1226900,8.380705
2012-08-01,9.32,9.85,9.15,9.70,902600,7.985162
2012-07-02,10.68,11.07,9.10,9.30,1168600,7.655878
2012-06-01,10.89,11.28,10.17,10.60,1123800,8.726054
2012-05-01,12.620002,12.809999,11.04,11.19,1093500,9.073488
2012-04-02,13.040002,13.120002,12.269995,12.599999,918900,9.730282
2012-03-01,12.510004,13.319995,12.049998,12.949996,1101900,10.000566
2012-02-01,11.999998,12.709997,11.919998,12.510004,865000,9.527294
2012-01-03,12.579997,13.140004,11.869997,11.919998,1275400,9.077961
2011-12-01,11.670004,12.419998,11.369998,12.369996,1520300,9.420668
2011-11-01,11.570002,12.380003,10.789999,11.800005,1330500,8.856042
2011-10-03,10.55,12.830003,10.00,11.999998,1850600,9.00614
2011-09-01,11.849996,11.869997,9.570004,10.589994,1467000,7.947916
2011-08-01,13.369996,13.410001,10.509995,11.889999,1598500,8.782474
2011-07-01,13.679998,14.129996,12.899995,13.150001,765300,9.713164
2011-06-01,13.549997,13.759997,12.869997,13.609994,1085400,10.052937
2011-05-02,14.409994,14.430004,13.200001,13.590002,966000,9.904995
2011-04-01,13.999996,14.659998,13.430004,14.319997,937900,9.940045
2011-03-01,13.619998,14.049995,13.120004,13.959998,683400,9.690157
2011-02-01,13.599998,13.800003,13.289998,13.629997,744400,9.337324
2011-01-03,14.450004,14.929999,13.530001,13.530001,922400,9.268821
2010-12-01,12.860001,14.55,12.820003,14.299998,862500,9.796312
2010-11-01,13.410005,13.860002,12.599998,12.699995,687700,8.587226
2010-10-01,13.029995,13.699995,12.460003,13.339995,791800,9.019969
2010-09-01,12.979997,13.349996,12.329996,12.899999,922900,8.722461
2010-08-02,14.699996,14.959999,12.649996,13.029995,791700,8.689573
2010-07-01,13.579999,14.999997,13.269998,14.510002,755600,9.676576
2010-06-01,14.329997,14.58,13.52,13.619998,809900,9.08304
2010-05-03,16.279934,16.489925,13.569999,14.460004,1177900,9.520298
2010-04-01,15.539936,16.999928,15.359938,16.239925,780900,10.183027
2010-03-01,14.449933,15.849936,14.129944,15.369928,736200,9.637506
2010-02-01,13.869943,14.519935,12.899949,14.399935,877700,8.91097
2010-01-04,14.129944,15.499928,13.47994,13.749944,1153800,8.508742
2009-12-01,13.249945,14.329934,12.879946,14.129944,932500,8.743894
2009-11-02,13.359941,13.809942,12.809944,13.219939,940100,8.180764
2009-10-01,12.259947,14.069944,11.609944,13.279938,1407300,8.10163
2009-09-01,11.619946,12.979941,10.989958,12.289942,1231600,7.497668
2009-08-03,12.839938,13.889935,11.419956,11.659953,1515700,6.996012
2009-07-01,11.76995,13.47994,10.869946,12.71994,1410000,7.632008
2009-06-01,12.309945,12.819946,10.809948,11.699949,1393200,7.02001
2009-05-01,14.330048,15.469935,11.719953,12.139949,2023800,7.172131
2009-04-01,12.230037,15.560048,11.84004,14.470039,2357600,8.141637
2009-03-02,11.250031,12.830036,8.440027,12.370039,2191200,6.960062
2009-02-02,12.810041,14.230048,9.690034,11.430037,1938800,6.308081
2009-01-02,20.170065,20.250071,12.800037,13.020044,2174200,7.185584
2008-12-01,18.270052,20.550068,16.00005,20.250071,3113500,11.175736
2008-11-03,18.900063,20.470062,14.890046,19.330061,740500,10.543006
2008-10-01,21.000063,23.900076,14.000037,19.000061,929100,10.363017
2008-09-02,20.250071,24.750082,18.160059,20.96006,1566200,11.432039
2008-08-01,20.070065,23.070076,19.110054,20.010067,1318300,10.806049
2008-07-01,15.650043,20.130062,13.630037,19.740065,1904900,10.66024
2008-06-02,17.480055,17.800051,15.580043,15.770051,712700,8.516311
2008-05-01,19.149982,20.149973,17.220057,17.610054,540400,9.400723
2008-04-01,19.86997,20.549971,18.319979,19.18998,634100,9.756314
2008-03-03,18.949976,20.679974,17.689981,19.20998,837600,9.766482
2008-02-01,20.129974,20.249969,18.159985,18.679979,862500,9.388163
2008-01-02,19.20998,20.489973,16.559977,20.239977,1168500,10.172185
2007-12-03,19.499977,19.889982,17.549974,19.059978,918800,9.579143
2007-11-01,20.149973,20.149973,17.329981,19.599974,947200,9.742342
2007-10-01,22.349974,23.459967,19.499977,20.47998,496500,10.179758
2007-09-04,22.729973,23.909971,22.099976,22.179974,362600,11.024755
2007-08-01,21.219982,23.499968,20.679974,22.699966,801700,11.179207
2007-07-02,22.659969,22.979971,21.019976,21.169975,539000,10.425721
2007-06-01,24.489977,24.739973,22.239969,22.489969,454700,11.075788
2007-05-01,25.350082,25.990088,23.859964,24.489977,356000,11.956986
2007-04-02,25.33009,26.440094,25.020082,25.370077,432300,11.796844
2007-03-01,25.100086,26.070093,24.140079,25.250084,342600,11.741049
2007-02-01,25.600079,26.140085,24.910088,25.180077,254100,11.607558
2007-01-03,26.760082,26.760082,24.98008,25.61009,345000,11.805786
2006-12-01,26.040087,26.680094,25.350082,26.510086,285300,12.220669
2006-11-01,26.050083,26.200083,25.300083,25.960083,355900,11.868127
2006-10-02,25.690081,26.26009,25.050087,26.06008,294000,11.913843
2006-09-01,25.680082,25.980091,24.720076,25.570087,303300,11.689834
2006-08-01,25.870083,26.440094,25.070084,25.65008,271000,11.628491
2006-07-03,25.800087,27.050093,25.42009,25.970079,364900,11.773563
2006-06-01,24.490088,25.800087,24.430077,25.710087,433500,11.655696
2006-05-01,26.099989,26.13999,24.200077,24.51008,371800,11.015339
2006-04-03,25.969986,26.969997,24.849991,26.039989,334300,11.14563
2006-03-01,24.269997,25.619999,23.679987,25.619999,256900,10.965866
2006-02-01,23.349993,24.479994,23.099995,24.289991,232300,10.302393
2006-01-03,24.299997,24.599991,23.089989,23.419996,198800,9.933392
2005-12-01,24.639996,24.939989,23.77,24.099993,157500,10.221806
2005-11-01,24.199995,25.149998,24.059988,24.62999,169800,10.4466
2005-10-03,23.08,24.289991,21.839993,24.239998,316700,10.18969
2005-09-01,23.629992,23.629992,22.239988,22.899988,185200,9.626394
2005-08-01,23.489985,24.509993,22.799986,23.599993,183700,9.920652
2005-07-01,23.629992,24.609995,23.359999,23.549997,171800,9.806123
2005-06-01,23.839989,24.249989,22.799986,23.379993,177800,9.735333
2005-05-02,24.950075,25.750074,23.229998,23.859997,202800,9.935205
2005-04-01,26.300089,26.560078,24.310068,24.790081,193600,9.740974
2005-03-01,25.990089,26.57008,25.170084,25.780081,98100,10.129983
2005-02-01,25.820078,26.900085,25.520079,25.990089,124500,10.125332
2005-01-03,27.790092,28.160091,24.970079,25.800085,210300,10.05131
2004-12-01,27.640085,28.040094,26.820082,27.650087,98300,10.772041
2004-11-01,28.000084,28.460091,26.900085,27.970091,114500,10.809053
2004-10-01,25.790085,28.42008,25.710081,28.360081,148600,10.959765
2004-09-01,25.640078,26.260078,25.000072,25.540083,96700,9.869976
2004-08-02,24.63007,26.010077,24.270073,25.880075,90800,9.914413
2004-07-01,25.500072,25.840082,24.220076,24.880072,109600,9.531322
2004-06-01,25.540083,25.560074,24.13007,25.280081,136400,9.684561
2004-05-03,25.720081,26.170088,24.410078,25.510077,132000,9.685759
2004-04-01,28.220028,29.000036,25.250074,25.850084,157600,9.814854
2004-03-01,28.190039,28.430029,26.870029,27.97003,84600,10.11406
2004-02-02,28.71003,28.71003,27.890028,28.190039,85500,10.112426
2004-01-02,29.550026,29.550026,27.500038,28.460032,149200,10.209279
2003-12-01,29.690035,29.99003,28.160036,29.200033,104600,10.474734
2003-11-03,29.22003,29.700027,28.060038,29.700027,108600,10.573999
2003-10-01,28.250029,29.570042,27.850035,29.250032,166400,10.41379
2003-09-02,28.000031,29.010025,27.500038,27.840027,140800,9.91179
2003-08-01,27.500038,28.250029,26.750032,28.110039,98600,9.928799
2003-07-01,26.700033,28.270025,26.370035,27.530025,174600,9.723932
2003-06-02,27.150026,27.380026,26.000027,26.350021,149600,9.30714
2003-05-01,26.350021,27.190037,26.000027,27.000029,207000,9.457079
2003-04-01,25.049934,27.789923,24.78993,26.460028,342700,9.267938
2003-03-03,25.749935,25.939926,23.869934,24.629925,195000,8.216116
2003-02-03,25.849932,25.979933,24.799932,25.64992,105900,8.480635
2003-01-02,26.699917,27.649921,25.139931,25.899921,198100,8.563293
2002-12-02,27.669924,27.729914,25.899921,26.369923,160300,8.718689
2002-11-01,27.499916,28.419912,25.739931,27.41992,173800,8.990718
2002-10-01,26.849922,27.999918,24.43993,27.549921,289700,9.033343
2002-09-03,28.389925,28.389925,25.699926,26.59992,200900,8.721848
2002-08-01,27.559925,28.769911,26.19993,28.489923,104600,9.266603
2002-07-01,28.149923,28.199913,24.239937,27.549921,253500,8.960858
2002-06-03,27.549921,27.999918,26.049927,27.799923,174900,9.042174
2002-05-01,35.500038,36.300026,26.999929,27.879919,128300,8.991171
2002-04-01,35.250019,36.210033,34.700024,35.580036,97300,9.179543
2002-03-01,34.630024,35.520031,34.500034,35.120037,177100,9.060865
