Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.64,13.65,13.22,13.33,1433400,12.784442
2013-03-01,13.07,13.98,12.82,13.61,1348600,13.052981
2013-02-01,11.09,13.90,10.91,13.19,2376300,12.650171
2013-01-02,10.96,11.34,10.19,10.99,1053700,10.540211
2012-12-03,9.77,10.63,9.66,10.63,1054600,10.194945
2012-11-01,8.29,9.81,8.25,9.70,1439000,9.303007
2012-10-01,9.89,9.89,8.21,8.28,1526200,7.941123
2012-09-04,9.84,11.04,9.77,9.83,1745100,9.427687
2012-08-01,9.90,10.26,9.29,9.56,1609400,9.168737
2012-07-02,9.42,10.04,8.10,9.87,2155000,9.466049
2012-06-01,10.34,10.76,8.76,9.43,2080900,9.044058
2012-05-01,11.22,12.65,9.34,10.62,3439800,10.185354
2012-04-02,12.17,12.22,10.58,11.22,1582900,10.760798
2012-03-01,12.35,12.86,11.25,12.16,1663900,11.662326
2012-02-01,12.47,13.52,11.36,12.26,2296000,11.758234
2012-01-03,9.27,12.46,9.14,12.28,2389400,11.777415
2011-12-01,9.85,10.11,8.33,8.99,1763200,8.622065
2011-11-01,10.19,11.59,8.59,9.89,2434500,9.485231
2011-10-03,8.30,11.60,7.94,10.75,2871700,10.310034
2011-09-01,11.42,11.59,8.33,8.36,2537300,8.017849
2011-08-01,14.03,14.20,9.80,11.40,2869700,10.933431
2011-07-01,15.09,16.290001,13.21,13.77,1955700,13.206434
2011-06-01,15.88,15.96,13.64,15.04,2240400,14.424457
2011-05-02,19.16,19.360001,14.89,15.87,4085300,15.220487
2011-04-01,17.90,19.110001,16.83,19.08,1793300,18.29911
2011-03-01,17.65,18.99,15.64,17.74,2166500,17.013952
2011-02-01,16.77,18.50,16.32,17.450001,2603300,16.735823
2011-01-03,14.84,16.799999,14.62,16.50,2614900,15.824702
2010-12-01,14.62,15.62,14.55,14.68,2927400,14.07919
2010-11-01,11.45,14.84,11.29,14.26,6430200,13.676379
2010-10-01,9.79,11.47,9.29,11.30,2300700,10.837523
2010-09-01,7.83,9.92,7.59,9.68,2375100,9.283826
2010-08-02,8.72,9.42,7.52,7.69,2753400,7.37527
2010-07-01,7.68,9.34,6.85,8.49,2590900,8.142529
2010-06-01,8.97,9.21,7.65,7.74,2324200,6.58447
2010-05-03,10.47,10.81,7.00,9.05,2686400,7.698896
2010-04-01,10.31,11.33,9.94,10.41,2036100,8.855857
2010-03-01,10.32,11.10,10.17,10.23,2003000,8.70273
2010-02-01,7.59,10.61,7.55,10.25,2985100,8.719745
2010-01-04,8.44,9.48,7.53,7.54,1868800,6.414329
2009-12-01,7.37,8.80,7.37,8.35,1348500,7.103402
2009-11-02,6.25,7.85,6.07,7.25,1491700,6.167624
2009-10-01,7.77,8.08,6.23,6.23,1591000,5.299903
2009-09-01,7.98,8.60,7.36,7.90,1212100,6.720583
2009-08-03,7.19,8.44,7.10,8.07,1275500,6.865203
2009-07-01,6.83,7.49,5.85,7.11,1310800,6.048525
2009-06-01,5.62,7.43,5.62,6.79,2144100,5.776299
2009-05-01,5.96,6.58,5.13,5.53,1819100,4.704409
2009-04-01,3.41,6.14,3.34,5.87,1740500,4.993649
2009-03-02,2.48,3.66,2.15,3.48,1268000,2.960459
2009-02-02,2.92,3.51,2.43,2.55,1227200,2.169302
2009-01-02,3.42,3.85,2.96,2.96,1225500,2.518092
2008-12-01,4.20,4.37,3.17,3.42,1484200,2.909417
2008-11-03,4.30,4.72,3.39,4.36,1507000,3.709082
2008-10-01,6.58,6.60,3.37,4.31,1829200,3.666546
2008-09-02,8.97,9.07,6.15,6.62,1888000,5.631679
2008-08-01,8.95,10.27,8.50,8.89,2378800,7.562783
2008-07-01,8.86,9.34,7.93,8.97,1502100,7.63084
2008-06-02,10.07,10.66,8.87,8.87,1399300,7.545769
2008-05-01,9.51,10.56,9.41,10.08,1589700,8.575124
2008-04-01,9.11,9.86,8.62,9.45,1662400,8.039179
2008-03-03,9.13,9.61,8.43,9.06,1628300,7.707404
2008-02-01,10.49,10.98,9.09,9.13,1742400,7.766953
2008-01-02,11.38,11.60,9.10,10.49,1453500,8.923914
2007-12-03,12.40,12.52,10.90,11.41,1126400,9.706564
2007-11-01,12.49,12.81,11.27,12.49,1646900,10.625327
2007-10-01,13.02,14.71,12.00,12.59,1672700,10.710398
2007-09-04,13.14,13.36,11.68,13.03,1423900,11.084709
2007-08-01,15.41,15.86,11.89,13.23,2876800,11.25485
2007-07-02,15.84,17.360001,15.42,15.51,1984900,13.194462
2007-06-01,17.92,18.219999,15.58,15.82,2388500,13.45818
2007-05-01,16.65,18.219999,16.610001,17.82,2642000,15.159595
2007-04-02,14.00,17.280001,13.90,16.65,1975000,14.164268
2007-03-01,14.05,14.50,13.56,13.98,1257700,11.89288
2007-02-01,13.22,14.57,13.15,14.25,1520200,12.122571
2007-01-03,13.68,13.93,12.71,13.14,1678600,11.178288
2006-12-01,13.07,13.80,12.61,13.54,1492500,11.518569
2006-11-01,13.55,13.66,12.67,13.10,2168100,11.144258
2006-10-02,13.96,14.63,13.45,13.49,1556000,11.476034
2006-09-01,14.03,14.44,13.24,14.04,1463400,11.943923
2006-08-01,14.63,14.90,13.05,14.01,1638400,11.918402
2006-07-03,15.84,16.139999,12.79,14.03,2431100,11.935415
2006-06-01,16.25,16.74,13.97,15.73,2567400,13.381617
2006-05-01,15.72,17.459999,15.03,16.25,2593500,13.823985
2006-04-03,14.34,16.16,14.26,15.62,1241700,13.288039
2006-03-01,14.51,15.07,13.39,14.24,1301200,12.114064
2006-02-01,15.80,16.40,14.45,14.52,1607100,12.352262
2006-01-03,13.88,16.639999,13.53,15.83,1688300,13.466688
2005-12-01,13.00,14.08,12.97,13.76,1236300,11.705725
2005-11-01,11.27,13.34,11.10,12.83,1314200,10.914568
2005-10-03,11.95,12.23,10.77,11.34,943900,9.647015
2005-09-01,12.90,13.36,11.47,11.95,890000,10.165946
2005-08-01,14.04,14.19,12.20,12.90,1138700,10.974117
2005-07-01,11.84,14.25,11.68,14.02,1310000,11.926909
2005-06-01,12.83,13.18,11.60,11.87,1237400,10.097889
2005-05-02,10.75,13.21,10.52,12.90,1736000,10.974117
2005-04-01,12.46,12.60,10.50,10.69,1428800,9.094055
2005-03-01,13.12,13.54,11.96,12.43,1008300,10.574286
2005-02-01,13.06,13.76,12.55,13.05,1369000,11.101724
2005-01-03,15.06,15.15,12.17,13.07,1135800,11.118737
2004-12-01,14.66,15.37,13.69,15.02,1256200,12.777616
2004-11-01,13.00,14.73,12.71,14.61,1375000,12.428825
2004-10-01,13.00,13.91,11.60,12.93,1749200,10.999639
2004-09-01,12.79,14.48,12.09,12.90,2181100,10.974117
2004-08-02,15.50,16.110001,11.49,12.75,2993800,10.846511
2004-07-01,18.58,18.58,14.97,15.50,2016700,13.185955
2004-06-01,19.030001,19.40,16.90,18.58,2273500,15.806131
2004-05-03,17.52,19.40,16.58,18.870001,3055300,16.052837
2004-04-01,21.34,22.82,17.299999,17.40,1759300,14.802298
2004-03-01,22.48,22.92,18.959999,21.34,1586500,18.154083
2004-02-02,23.24,24.43,21.25,22.51,1588800,19.149408
2004-01-02,23.200001,24.99,22.33,23.24,1751300,19.770424
2003-12-01,21.25,23.15,19.790001,22.90,1232500,19.481184
2003-11-03,18.77,21.049999,18.700001,21.01,1652900,17.873348
2003-10-01,17.549999,20.57,17.450001,18.75,2277800,15.950751
2003-09-02,16.90,19.00,16.450001,17.52,2470500,14.904383
2003-08-01,12.71,16.65,12.47,16.469999,2106600,14.01114
2003-07-01,13.10,15.70,12.91,13.30,1587300,11.3144
2003-06-02,14.80,15.15,12.80,13.20,775100,11.229329
2003-05-01,12.40,14.73,11.95,14.44,1050300,12.284205
2003-04-01,10.18,12.58,9.93,12.50,1033000,10.633835
2003-03-03,10.28,11.58,8.77,10.18,965200,8.660195
2003-02-03,10.33,10.80,9.24,10.10,939900,8.592138
2003-01-02,11.33,13.24,9.71,10.33,1097400,8.787801
2002-12-02,14.67,15.10,10.60,11.18,969900,9.510901
2002-11-01,10.25,14.48,9.84,14.13,1370100,12.020487
2002-10-01,9.00,11.90,6.70,10.30,1575800,8.76228
2002-09-03,14.00,14.30,8.51,8.80,1805700,7.486219
2002-08-01,17.15,18.02,13.98,14.32,1112300,12.18212
2002-07-01,22.00,22.00,15.92,17.049999,1398100,14.50455
2002-06-03,23.950001,24.75,20.26,22.00,1648700,18.715549
2002-05-01,22.25,26.15,21.00,24.559999,1378500,20.893358
2002-04-01,20.40,22.200001,19.309999,21.99,937000,18.707041
2002-03-01,17.719999,22.50,17.719999,20.34,1354800,17.303375
2002-02-01,18.620001,19.32,17.040001,17.709999,840700,15.066016
