Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,48.66,48.990002,47.400002,47.689999,1029000,47.689999
2013-03-01,52.18,53.860001,48.220001,48.849998,493100,48.849998
2013-02-01,61.509998,65.93,50.299999,52.549999,700300,52.549999
2013-01-02,58.330002,62.970001,53.77,61.080002,362100,61.080002
2012-12-03,59.48,59.950001,53.389999,57.360001,253300,57.360001
2012-11-01,57.560001,61.889999,53.150002,59.259998,309700,59.259998
2012-10-01,58.419998,59.619999,55.970001,57.240002,200500,57.240002
2012-09-04,53.93,60.060001,53.900002,58.32,349900,58.32
2012-08-01,55.630001,61.830002,52.900002,53.610001,406900,53.610001
2012-07-02,55.23,58.880001,52.41,54.919998,338800,54.919998
2012-06-01,48.290001,55.349998,47.860001,54.93,441500,54.93
2012-05-01,47.07,55.290001,44.00,49.52,666800,49.52
2012-04-02,44.209999,49.049999,42.669998,47.07,305200,47.07
2012-03-01,42.849998,46.150002,41.619999,44.209999,355900,44.209999
2012-02-01,43.07,45.84,42.130001,42.43,290300,42.43
2012-01-03,39.529999,45.209999,39.43,42.740002,264000,42.740002
2011-12-01,36.619999,40.900002,34.82,39.880001,281600,39.880001
2011-11-01,36.509998,39.599998,35.23,36.810001,303700,36.810001
2011-10-03,37.23,41.639999,34.490002,37.709999,589900,37.709999
2011-09-01,44.369999,46.400002,35.880001,37.439999,409100,37.439999
2011-08-01,44.049999,45.799999,37.529999,44.299999,424700,44.299999
2011-07-01,45.810001,48.360001,39.810001,43.560001,403100,43.560001
2011-06-01,40.720001,46.790001,39.43,45.759998,384000,45.759998
2011-05-02,39.049999,41.369999,36.799999,40.73,194800,40.73
2011-04-01,34.200001,41.509998,33.450001,39.02,361200,39.02
2011-03-01,34.91,35.07,30.93,33.830002,413100,33.830002
2011-02-01,31.969999,35.50,31.129999,34.790001,193600,34.790001
2011-01-03,33.869999,34.00,30.00,31.73,395600,31.73
2010-12-01,29.799999,34.369999,28.76,33.639999,392500,33.639999
2010-11-01,28.00,31.75,27.66,29.51,135800,29.51
2010-10-01,27.709999,29.90,27.049999,27.809999,152600,27.809999
2010-09-01,24.77,28.18,24.370001,27.450001,126400,27.450001
2010-08-02,27.700001,27.99,23.629999,24.41,140500,24.41
2010-07-01,25.59,27.700001,23.120001,27.32,226600,27.32
2010-06-01,25.57,28.91,23.27,25.65,264100,25.65
2010-05-03,24.82,26.40,22.379999,25.620001,426800,25.620001
2010-04-01,22.51,27.709999,21.440001,24.82,190200,24.82
2010-03-01,20.07,23.40,19.610001,22.450001,114800,22.450001
2010-02-01,21.00,22.379999,19.309999,19.870001,120400,19.870001
2010-01-04,22.450001,22.98,19.950001,21.00,88100,21.00
2009-12-01,18.50,24.00,18.23,22.24,168500,22.24
2009-11-02,18.10,21.389999,17.51,18.50,230900,18.50
2009-10-28,19.50,20.290001,17.35,17.57,4185900,17.57
