Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.76,5.77,5.69,5.73,1217800,4.584952
2013-03-01,5.59,5.80,5.38,5.74,1078600,4.592954
2013-02-01,5.56,5.66,5.36,5.57,908500,4.432921
2013-01-02,5.20,5.54,5.18,5.54,867000,4.385212
2012-12-03,5.12,5.18,5.01,5.18,805600,4.07726
2012-11-01,5.14,5.35,4.76,5.09,771400,3.982162
2012-10-01,5.02,5.20,5.00,5.12,830600,3.981981
2012-09-04,4.99,5.10,4.96,5.01,802000,3.87568
2012-08-01,4.93,5.02,4.87,4.97,554400,3.824057
2012-07-02,4.88,4.94,4.75,4.91,433700,3.757491
2012-06-01,4.64,4.87,4.56,4.86,554100,3.69835
2012-05-01,4.83,4.91,4.55,4.63,597400,3.502955
2012-04-02,4.91,4.91,4.72,4.80,696500,3.611273
2012-03-01,4.67,4.93,4.62,4.91,935300,3.673381
2012-02-01,4.58,4.79,4.56,4.69,861900,3.489012
2012-01-03,4.32,4.70,4.30,4.56,738700,3.372476
2011-12-01,4.26,4.40,4.16,4.28,972300,3.148361
2011-11-01,4.28,4.39,4.16,4.27,711800,3.123226
2011-10-03,4.20,4.41,4.01,4.35,833500,3.164145
2011-09-01,4.36,4.44,4.20,4.22,642800,3.051918
2011-08-01,4.80,4.84,4.12,4.38,907000,3.150313
2011-07-01,5.03,5.05,4.55,4.74,605000,3.39017
2011-06-01,5.07,5.13,4.88,5.04,517100,3.587538
2011-05-02,5.22,5.22,5.01,5.09,565500,3.605842
2011-04-01,5.08,5.22,5.00,5.19,626400,3.659714
2011-03-01,5.04,5.15,4.93,5.13,700600,3.600482
2011-02-01,5.05,5.12,4.95,5.01,639300,3.499416
2011-01-03,4.72,5.07,4.67,5.05,758200,3.510592
2010-12-01,4.83,4.88,4.51,4.69,624400,3.244264
2010-11-01,4.73,4.89,4.53,4.80,526300,3.303255
2010-10-01,4.64,4.77,4.58,4.68,455900,3.20457
2010-09-01,4.52,4.69,4.52,4.62,370300,3.147228
2010-08-02,4.67,4.79,4.50,4.50,473800,3.048305
2010-07-01,4.43,4.67,4.32,4.66,498400,3.139301
2010-06-01,4.54,4.67,4.30,4.40,505500,2.946322
2010-05-03,4.92,4.97,3.79,4.50,899200,2.995042
2010-04-01,5.12,5.35,4.52,4.86,1193600,3.21622
2010-03-01,4.76,5.15,4.72,5.10,975300,3.358501
2010-02-01,4.60,4.76,4.41,4.73,981600,3.099271
2010-01-04,4.24,4.63,4.22,4.59,1430700,2.99083
2009-12-01,4.07,4.24,4.07,4.22,975000,2.734115
2009-11-02,3.81,4.20,3.81,4.04,678400,2.601688
2009-10-01,4.00,4.09,3.84,3.91,772200,2.502389
2009-09-01,3.51,3.97,3.48,3.95,836600,2.51211
2009-08-03,3.64,3.78,3.44,3.46,1018800,2.185532
2009-07-01,3.23,3.63,3.15,3.59,712200,2.251987
2009-06-01,3.25,3.33,3.09,3.20,732300,1.991853
2009-05-01,2.94,3.40,2.85,3.20,648500,1.976854
2009-04-01,2.43,2.92,2.40,2.89,451100,1.770318
2009-03-02,2.40,2.50,1.95,2.38,687100,1.443782
2009-02-02,2.77,2.80,2.36,2.45,717500,1.468468
2009-01-02,2.62,3.07,2.52,2.80,712800,1.662497
2008-12-01,2.93,2.96,1.95,2.56,861100,1.498994
2008-11-03,3.65,3.89,2.25,2.95,768700,1.697001
2008-10-01,4.49,4.49,2.65,3.53,998500,2.005637
2008-09-02,5.41,5.47,3.80,4.08,1075900,2.289599
2008-08-01,5.54,5.63,5.22,5.41,548100,3.0144
2008-07-01,5.76,5.84,5.07,5.49,559000,3.037802
2008-06-02,6.19,6.19,5.76,5.78,559800,3.176872
2008-05-01,6.44,6.47,6.11,6.17,461500,3.370309
2008-04-01,5.96,6.52,5.93,6.38,487900,3.463625
2008-03-03,5.98,6.05,5.55,5.90,629500,3.174684
2008-02-01,6.73,6.78,4.58,5.98,1092900,3.186206
2008-01-02,6.93,7.10,6.13,6.72,678500,3.547152
2007-12-03,7.18,7.29,6.76,6.96,980600,3.642436
2007-11-01,7.23,7.34,6.63,7.21,756900,3.741248
2007-10-01,7.92,8.03,7.18,7.27,635400,3.740231
2007-09-04,8.05,8.15,7.80,7.95,522400,4.059244
2007-08-01,7.95,8.19,6.72,7.96,1189200,4.034019
2007-07-02,8.75,9.00,7.00,7.98,870400,4.012058
2007-06-01,9.01,9.09,8.55,8.76,575100,4.373078
2007-05-01,8.89,9.03,8.85,9.01,471700,4.467168
2007-04-02,8.94,8.98,8.75,8.91,502700,4.386951
2007-03-01,8.85,9.00,8.65,8.93,525800,4.365884
2007-02-01,8.88,9.08,8.61,8.87,643000,4.306127
2007-01-03,8.78,8.91,8.51,8.88,786000,4.280871
2006-12-01,8.62,8.82,8.60,8.80,497000,4.211119
2006-11-01,8.50,8.65,8.45,8.63,537100,4.089878
2006-10-02,8.51,8.52,8.24,8.50,591300,3.998725
2006-09-01,8.28,8.54,8.26,8.49,558200,3.964257
2006-08-01,8.39,8.41,8.04,8.27,605200,3.832997
2006-07-03,8.33,8.48,8.30,8.38,550700,3.857194
