Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,102.18,102.18,100.169998,100.489998,990400,49.760307
2013-03-01,97.550003,102.379997,96.209999,102.110001,499900,50.562496
2013-02-01,94.360001,99.629997,94.120003,97.790001,641400,48.423332
2013-01-02,89.279999,94.010002,88.080002,93.620003,521600,46.334496
2012-12-03,85.00,89.029999,84.290001,87.540001,535300,43.325378
2012-11-01,81.82,85.989998,78.690002,84.620003,866300,41.880207
2012-10-01,80.559998,86.239998,78.480003,81.900002,587200,40.508904
2012-09-04,78.139999,83.18,77.169998,80.290001,511400,39.712574
2012-08-01,79.699997,81.550003,76.660004,78.139999,479900,38.649155
2012-07-02,78.00,82.059998,72.870003,79.18,651100,39.138916
2012-06-01,71.110001,78.349998,68.269997,78.010002,589200,38.560585
2012-05-01,77.800003,79.199997,68.860001,72.610001,702700,35.891346
2012-04-02,75.290001,82.900002,70.769997,77.779999,857900,38.431004
2012-03-01,74.82,79.080002,71.650002,75.370003,544500,37.240231
2012-02-01,69.360001,77.00,68.07,74.730003,563300,36.924007
2012-01-03,71.639999,75.080002,66.290001,68.790001,769000,33.974506
2011-12-01,67.790001,71.110001,63.119999,69.949997,500800,34.547417
2011-11-01,64.00,68.919998,61.220001,68.25,538600,33.707809
2011-10-03,52.459999,70.620003,49.380001,67.18,511800,33.164707
2011-09-01,60.849998,61.509998,52.360001,52.869999,424800,26.100298
2011-08-01,65.279999,65.860001,51.650002,60.889999,870500,30.059526
2011-07-01,65.779999,71.220001,61.779999,64.519997,806400,31.834776
2011-06-01,67.349998,67.650002,61.470001,65.720001,490400,32.426868
2011-05-02,71.699997,72.169998,63.970001,67.589996,481100,33.349545
2011-04-01,68.230003,72.43,66.160004,71.379997,794400,35.21442
2011-03-01,56.93,67.860001,54.200001,67.830002,737200,33.463074
2011-02-01,54.529999,58.200001,53.139999,56.759998,505100,28.001827
2011-01-03,53.330002,55.900002,51.02,54.200001,449900,26.734087
2010-12-01,46.98,53.419998,46.84,52.889999,539400,26.087931
2010-11-01,47.080002,49.130001,45.009998,46.23,566000,22.802893
2010-10-01,48.290001,49.209999,46.189999,46.84,425500,23.098949
2010-09-01,43.07,48.560001,42.84,47.790001,490300,23.567438
2010-08-02,45.540001,45.830002,41.07,42.529999,442300,20.97349
2010-07-01,39.860001,46.23,38.439999,44.610001,642100,21.994001
2010-06-01,42.919998,45.09,39.709999,39.889999,616800,19.666906
2010-05-03,47.939999,49.700001,41.119999,43.349998,814300,21.372784
2010-04-01,42.400002,50.880001,41.110001,47.580002,935700,23.453556
2010-03-01,38.25,44.540001,38.200001,42.119999,762100,20.762163
2010-02-01,38.50,39.540001,36.16,38.139999,735600,18.800306
2010-01-04,41.349998,43.32,37.619999,38.330002,883400,18.888899
2009-12-01,38.689999,41.759998,38.57,40.84,484600,20.125816
2009-11-02,37.009998,42.91,36.25,38.50,844300,18.972673
2009-10-01,37.82,42.169998,36.00,36.759998,1091200,18.110748
2009-09-01,37.099998,40.18,36.040001,37.529999,1006500,18.490108
2009-08-03,34.060001,38.299999,33.599998,37.450001,897900,18.450697
2009-07-01,32.540001,36.400002,29.84,33.650002,1376600,16.57403
2009-06-01,36.459999,37.799999,31.870001,32.169998,1906300,15.845066
2009-05-01,37.849998,39.509998,33.080002,35.68,1148300,17.573889
2009-04-01,25.799999,39.939999,25.57,38.139999,1695400,18.780281
2009-03-02,26.040001,29.139999,23.139999,26.379999,1560500,12.989612
2009-02-02,29.309999,33.939999,24.93,26.76,1842200,13.176726
2009-01-02,39.939999,40.740002,27.610001,29.93,2240700,14.732929
2008-12-01,37.419998,45.029999,32.700001,39.75,1663600,19.566788
2008-11-03,39.560001,42.650002,28.860001,38.59,2352600,18.995781
2008-10-01,50.849998,55.810001,34.369999,39.759998,2473800,19.566389
2008-09-02,59.360001,60.75,47.130001,51.23,1983700,25.21092
2008-08-01,55.369999,60.040001,53.049999,59.07,1553800,29.06908
2008-07-01,48.610001,58.240002,43.290001,55.50,2244600,27.307434
2008-06-02,46.75,51.50,43.639999,48.619999,1499600,23.922297
2008-05-01,42.900002,47.669998,42.34,46.57,1059600,22.913643
2008-04-01,38.990002,44.209999,36.799999,42.880001,1255000,21.093472
2008-03-03,35.060001,37.91,32.07,37.66,1069000,18.525656
2008-02-01,34.380001,37.150002,32.48,34.610001,916900,17.025305
2008-01-02,34.349998,34.77,28.719999,34.389999,1198000,16.912062
2007-12-03,33.619999,36.259998,32.720001,34.439999,809400,16.936651
2007-11-01,36.110001,37.00,32.459999,33.939999,1703200,16.690763
2007-10-01,37.50,39.639999,34.470001,37.529999,1027500,18.451008
2007-09-04,37.380001,39.509998,34.779999,37.459999,923200,18.416594
2007-08-01,40.84,41.400002,35.130001,37.470001,1386500,18.421511
