Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,93.849998,93.860001,92.989998,93.699997,695000,93.699997
2013-03-01,92.32,95.410004,91.559998,93.910004,362600,93.910004
2013-02-01,92.50,93.669998,89.739998,92.720001,427900,92.720001
2013-01-02,88.959999,93.75,85.010002,91.57,575000,91.57
2012-12-03,84.730003,89.510002,83.589996,87.120003,511500,87.120003
2012-11-01,82.00,86.00,80.040001,84.550003,477700,84.550003
2012-10-01,83.650002,85.18,78.330002,81.809998,499300,81.809998
2012-09-04,80.059998,85.919998,78.800003,83.330002,623800,83.330002
2012-08-01,77.809998,80.650002,74.360001,80.190002,759300,80.190002
2012-07-02,79.470001,80.339996,74.120003,77.480003,811900,77.480003
2012-06-01,78.330002,83.110001,75.230003,79.470001,980000,79.470001
2012-05-01,83.940002,85.279999,79.440002,79.779999,990400,79.779999
2012-04-02,92.690002,94.470001,78.00,84.110001,933000,84.110001
2012-03-01,89.580002,94.419998,87.029999,92.660004,649000,92.660004
2012-02-01,87.099998,91.089996,86.730003,89.599998,852300,89.599998
2012-01-03,76.059998,88.540001,72.980003,86.57,1317200,86.57
2011-12-01,79.669998,81.989998,70.879997,74.050003,694000,74.050003
2011-11-01,77.720001,81.589996,72.059998,80.00,739000,80.00
2011-10-03,75.00,83.68,72.43,80.120003,1303600,80.120003
2011-09-01,80.080002,84.510002,73.07,75.489998,1205200,75.489998
2011-08-01,88.639999,88.650002,71.120003,79.870003,1468700,79.870003
2011-07-01,95.980003,99.370003,85.82,87.889999,954700,87.889999
2011-06-01,98.169998,98.349998,90.589996,95.739998,661400,95.739998
2011-05-02,98.620003,99.940002,94.860001,98.559998,681300,98.559998
2011-04-01,87.690002,100.00,85.300003,98.00,670700,98.00
2011-03-01,83.32,87.57,79.160004,86.900002,723500,86.900002
2011-02-01,76.959999,83.790001,74.150002,83.050003,923100,83.050003
2011-01-03,78.300003,79.290001,74.269997,76.389999,772400,76.389999
2010-12-01,78.059998,81.00,77.519997,77.709999,616800,77.709999
2010-11-01,74.610001,78.910004,74.239998,76.870003,709800,76.870003
2010-10-01,71.389999,74.620003,69.589996,74.129997,667900,74.129997
2010-09-01,61.380001,72.260002,61.139999,70.779999,736400,70.779999
2010-08-02,64.800003,67.010002,60.009998,60.52,893700,60.52
2010-07-01,64.720001,67.50,61.990002,64.160004,1032800,64.160004
2010-06-01,67.860001,72.989998,64.599998,64.699997,1142200,64.699997
2010-05-03,72.00,72.980003,62.02,68.440002,1499700,68.440002
2010-04-01,67.730003,73.779999,66.300003,71.989998,987400,71.989998
2010-03-01,59.970001,68.330002,59.919998,67.540001,1024500,67.540001
2010-02-01,57.220001,61.540001,55.970001,59.66,1004000,59.66
2010-01-04,62.50,62.900002,56.970001,56.98,1034200,56.98
2009-12-01,59.240002,63.09,58.619999,61.959999,658500,61.959999
2009-11-02,57.43,61.450001,57.080002,58.779999,1045500,58.779999
2009-10-01,55.810001,59.07,53.50,57.43,1170500,57.43
2009-09-01,50.209999,57.32,49.34,55.860001,897600,55.860001
2009-08-03,50.59,52.950001,49.439999,50.279999,741300,50.279999
2009-07-01,51.740002,53.32,47.57,50.25,954900,50.25
2009-06-01,43.75,51.720001,43.610001,51.470001,1187900,51.470001
2009-05-01,44.459999,46.119999,42.349998,43.32,1102400,43.32
2009-04-01,36.549999,45.830002,34.23,44.169998,1708000,44.169998
2009-03-02,34.950001,38.779999,30.00,36.950001,1975400,36.950001
2009-02-02,35.66,41.959999,34.689999,35.220001,1517100,35.220001
2009-01-02,36.700001,39.299999,35.389999,36.169998,1624200,36.169998
2008-12-01,40.290001,42.689999,32.209999,36.650002,1659200,36.650002
2008-11-03,43.790001,46.77,33.939999,41.23,1419100,41.23
2008-10-01,57.91,58.610001,37.00,43.799999,1760000,43.799999
2008-09-02,68.589996,70.529999,53.099998,58.18,1365900,58.18
2008-08-01,67.720001,71.00,66.150002,68.25,683900,68.25
2008-07-01,64.129997,70.309998,62.07,67.940002,1264300,67.940002
2008-06-02,61.59,65.339996,59.299999,64.50,979600,64.50
2008-05-01,61.849998,64.75,61.00,61.52,883500,61.52
2008-04-01,56.00,62.419998,52.049999,61.459999,1438000,61.459999
2008-03-03,59.50,61.540001,51.919998,55.700001,1645500,55.700001
2008-02-01,57.57,62.459999,56.75,59.610001,1261800,59.610001
2008-01-02,78.610001,81.839996,54.32,57.299999,2128100,57.299999
2007-12-03,78.00,81.529999,76.550003,79.07,715800,79.07
2007-11-01,76.470001,78.480003,72.050003,78.040001,821500,78.040001
2007-10-01,67.459999,77.040001,66.00,76.980003,778200,76.980003
2007-09-04,61.75,68.690002,61.43,66.919998,665500,66.919998
2007-08-01,58.099998,64.50,57.119999,61.57,799100,61.57
2007-07-02,59.360001,63.380001,57.540001,58.259998,916100,58.259998
2007-06-01,60.299999,61.75,58.759998,59.360001,883100,59.360001
2007-05-01,59.630001,61.470001,58.990002,60.299999,850900,60.299999
2007-04-02,58.400002,61.990002,57.970001,59.43,733400,59.43
2007-03-01,53.470001,58.799999,51.799999,58.00,1009700,58.00
2007-02-01,56.599998,58.610001,53.029999,54.240002,886400,54.240002
2007-01-03,48.700001,57.759998,48.549999,56.689999,1087500,56.689999
2006-12-01,50.099998,51.150002,48.349998,48.970001,538400,48.970001
2006-11-01,49.900002,51.639999,48.700001,50.040001,662400,50.040001
2006-10-02,45.130001,50.099998,44.43,49.799999,617600,49.799999
2006-09-01,43.049999,45.41,41.830002,45.279999,527800,45.279999
