Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.50,15.59,15.41,15.53,116200,12.20172
2013-03-01,15.89,15.96,15.00,15.51,51500,12.186007
2013-02-01,16.40,16.91,15.27,15.87,46400,12.390186
2013-01-02,15.64,16.799999,15.64,16.370001,49100,12.697715
2012-12-03,15.61,15.96,15.20,15.54,40400,11.977893
2012-11-01,16.50,16.639999,14.43,15.64,71200,11.973675
2012-10-01,16.52,16.82,16.43,16.50,33200,12.542715
2012-09-04,16.450001,16.879999,16.40,16.43,37600,12.407237
2012-08-01,16.02,16.620001,16.00,16.549999,31300,12.416316
2012-07-02,15.48,16.440001,15.45,15.98,58200,11.909241
2012-06-01,15.68,15.68,15.20,15.50,40300,11.47361
2012-05-01,15.75,16.51,15.40,15.69,39100,11.531883
2012-04-02,15.88,15.91,15.22,15.70,44500,11.461122
2012-03-01,16.24,16.58,15.43,15.90,47000,11.525539
2012-02-01,16.280001,16.84,16.00,16.25,57300,11.697857
2012-01-03,16.01,16.469999,15.86,16.27,54700,11.635522
2011-12-01,15.37,16.09,15.13,15.95,36300,11.329221
2011-11-01,15.95,16.00,15.00,15.34,40400,10.706232
2011-10-03,15.24,16.049999,14.01,15.94,44900,11.047878
2011-09-01,15.55,16.40,14.80,15.20,45400,10.461878
2011-08-01,15.37,15.73,13.53,15.55,70700,10.626722
2011-07-01,16.200001,16.469999,14.80,15.11,62500,10.252512
2011-06-01,15.74,16.40,15.42,16.280001,42900,10.970914
2011-05-02,15.48,16.25,15.27,15.72,50900,10.519737
2011-04-01,15.55,15.72,15.35,15.39,36100,10.228625
2011-03-01,15.64,16.49,14.95,15.60,61800,10.294569
2011-02-01,14.89,15.75,14.89,15.60,62000,10.221745
2011-01-03,14.10,15.31,14.10,14.86,58600,9.668121
2010-12-01,14.92,15.24,13.40,14.13,101100,9.123816
2010-11-01,14.81,15.30,14.04,14.90,68100,9.449086
2010-10-01,15.02,15.46,13.81,14.72,97900,9.267558
2010-09-01,14.81,15.42,14.60,15.00,62200,9.3755
2010-08-02,14.90,15.26,14.23,14.79,47200,9.177432
2010-07-01,13.97,15.25,13.80,14.85,49400,9.147313
2010-06-01,13.52,14.27,13.39,13.93,24200,8.516402
2010-05-03,13.89,14.14,12.77,13.40,37100,8.127729
2010-04-01,13.89,14.23,13.76,13.89,28100,8.358266
2010-03-01,13.49,14.31,13.47,13.86,33400,8.275469
2010-02-01,13.07,13.66,12.95,13.44,43200,7.962446
2010-01-04,13.42,14.07,12.95,13.05,22600,7.672999
2009-12-01,12.82,13.74,12.78,13.36,29000,7.797425
2009-11-02,12.28,12.87,11.99,12.85,66100,7.382831
2009-10-01,13.01,13.10,12.18,12.28,30100,6.997749
2009-09-01,12.07,13.32,11.95,13.02,25600,7.362056
2009-08-03,11.98,12.55,11.76,12.07,26300,6.768481
2009-07-01,11.38,12.10,10.64,12.03,28500,6.689834
2009-06-01,10.85,11.80,10.45,11.45,34100,6.3111
2009-05-01,9.26,11.00,9.26,10.90,38100,5.955013
2009-04-01,8.85,9.80,8.85,9.45,29800,5.113412
2009-03-02,8.82,9.21,7.16,9.10,33800,4.873934
2009-02-02,9.68,10.75,7.80,9.10,35800,4.819457
2009-01-02,8.91,10.72,8.70,10.20,46200,5.352196
2008-12-01,7.04,9.24,6.76,8.90,55900,4.626067
2008-11-03,8.65,8.65,5.52,6.96,41900,3.569927
2008-10-01,9.35,9.47,5.87,8.20,37100,4.155776
2008-09-02,11.15,11.41,8.10,9.20,36400,4.602785
2008-08-01,11.90,11.90,10.74,10.99,18900,5.450114
2008-07-01,12.60,12.60,10.77,11.45,20300,5.630018
2008-06-02,13.55,13.55,12.20,12.24,16500,5.970885
2008-05-01,13.80,13.94,13.06,13.30,24500,6.441274
2008-04-01,12.85,13.63,12.60,13.53,18500,6.494134
2008-03-03,13.85,13.85,12.10,12.43,21300,5.923378
2008-02-01,14.19,14.40,13.15,13.60,22400,6.434459
2008-01-02,13.15,15.01,13.15,14.04,21700,6.598968
2007-12-03,13.80,14.17,12.88,13.13,35300,6.128852
2007-11-01,14.35,14.35,12.83,13.62,22100,6.295427
2007-10-01,14.35,14.75,13.98,14.14,18300,6.492363
2007-09-04,14.50,14.64,13.96,14.14,17500,6.450848
2007-08-01,14.20,14.50,12.03,14.26,30300,6.462799
2007-07-02,14.99,15.20,13.91,14.05,24400,6.325738
2007-06-01,15.50,15.74,14.58,14.77,17200,6.607867
2007-05-01,15.40,15.45,15.05,15.34,17000,6.819869
2007-04-02,15.45,15.50,15.20,15.29,17000,6.730603
2007-03-01,16.00,16.139999,15.29,15.29,19900,6.68944
