Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,44.50,44.709999,42.709999,43.00,12400,38.767784
2013-03-01,41.040001,45.330002,40.59,44.43,16500,40.057041
2013-02-01,42.02,44.00,40.389999,41.349998,16000,36.925724
2013-01-02,41.130001,42.400002,39.77,42.040001,41700,37.541901
2012-12-03,39.900002,40.970001,38.75,40.900002,11500,36.523876
2012-11-01,38.759998,39.98,38.25,39.98,16000,35.702309
2012-10-01,39.32,40.00,38.110001,38.82,8600,34.312866
2012-09-04,37.049999,39.799999,36.700001,39.009998,10700,34.480804
2012-08-01,37.34,38.369999,36.43,36.75,9100,32.162014
2012-07-02,37.459999,38.189999,35.25,37.25,10300,32.59959
2012-06-01,34.790001,37.619999,34.07,37.259998,21500,32.608341
2012-05-01,36.639999,37.650002,35.299999,35.599998,12000,30.82744
2012-04-02,38.57,39.27,36.00,36.779999,12100,31.849249
2012-03-01,38.77,39.880001,36.029999,38.73,8400,33.53783
2012-02-01,40.169998,41.18,38.490002,38.740002,7200,33.231461
2012-01-03,37.470001,40.439999,36.040001,39.900002,7600,34.226521
2011-12-01,37.790001,38.599998,35.299999,36.549999,10600,31.352861
2011-11-01,36.650002,38.299999,33.529999,38.029999,19000,32.283745
2011-10-03,34.16,38.50,31.110001,36.639999,15300,31.103773
2011-09-01,34.790001,35.759998,30.33,34.549999,16300,29.329567
2011-08-01,38.290001,38.290001,31.84,34.66,14700,29.094357
2011-07-01,38.110001,40.509998,37.060001,37.68,12800,31.62941
2011-06-01,36.34,38.150002,34.130001,38.099998,10400,31.981966
2011-05-02,37.650002,37.82,34.32,36.349998,11500,30.203962
2011-04-01,40.360001,41.349998,36.82,37.650002,7900,31.284161
2011-03-01,37.799999,40.959999,35.380001,40.25,12100,33.444553
2011-02-01,35.810001,37.529999,34.970001,37.529999,8300,30.888901
2011-01-03,40.23,40.66,34.849998,35.650002,8300,29.341578
2010-12-01,36.34,40.650002,35.119999,39.959999,11700,32.888901
2010-11-01,36.32,39.360001,34.970001,35.889999,6600,29.539106
2010-10-01,34.00,37.669998,33.189999,36.029999,7300,29.123787
2010-09-01,30.940001,35.490002,30.780001,33.830002,8800,27.345486
2010-08-02,36.580002,36.580002,28.49,30.60,21700,24.485525
2010-07-01,35.32,39.00,33.400002,36.23,12800,28.990541
2010-06-01,36.889999,38.50,33.84,35.150002,10700,28.126348
2010-05-03,38.709999,40.560001,34.32,37.150002,13200,29.452923
2010-04-01,36.900002,40.52,36.060001,38.50,6400,30.523216
2010-03-01,38.830002,40.48,36.66,36.799999,8600,29.175436
2010-02-01,36.32,39.290001,34.099998,38.73,7800,30.450068
2010-01-04,36.970001,37.860001,35.139999,36.150002,9300,28.421637
2009-12-01,34.990002,40.599998,33.50,36.34,23200,28.571016
2009-11-02,35.380001,39.900002,33.349998,34.77,16300,27.106119
2009-10-01,34.380001,39.16,33.43,35.290001,19300,27.511503
2009-09-01,38.150002,38.549999,33.389999,34.700001,14500,27.051548
2009-08-03,39.50,39.860001,33.25,38.52,18500,29.783346
2009-07-01,41.950001,42.279999,35.369999,39.040001,15100,30.185406
