Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.46,14.54,14.38,14.45,206400,8.393958
2013-03-01,15.02,15.27,14.27,14.52,173900,8.434621
2013-02-01,17.25,17.629999,14.37,15.02,282300,8.725069
2013-01-02,15.59,17.42,15.52,17.299999,173500,9.647409
2012-12-03,16.27,16.280001,14.42,15.33,249100,8.548832
2012-11-01,18.780001,19.219999,14.36,16.280001,274000,9.078603
2012-10-01,19.40,20.10,18.60,18.790001,159300,10.028314
2012-09-04,19.34,19.799999,18.85,19.290001,175800,10.295166
2012-08-01,20.639999,21.209999,18.870001,19.200001,252500,10.247133
2012-07-02,19.01,21.860001,18.50,20.50,194200,10.458164
2012-06-01,19.209999,20.360001,17.620001,19.15,155600,9.769456
2012-05-01,22.99,23.469999,18.92,19.50,303900,9.94801
2012-04-02,23.00,23.959999,22.90,23.00,300100,11.215255
2012-03-23,21.00,24.639999,21.00,23.00,1418800,11.215255
