Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.969995,10.030002,9.860003,9.880001,666800,8.422032
2013-03-01,9.58,10.140006,9.400001,10.099998,626100,8.609566
2013-02-01,9.540002,9.690002,9.010004,9.599998,710400,8.183349
2013-01-02,8.900001,10.000005,8.799996,9.469995,690600,8.072531
2012-12-03,8.789997,8.880002,8.439998,8.759998,407400,7.437304
2012-11-01,8.149996,8.75,8.010005,8.75,458600,7.428815
2012-10-01,8.900001,9.249999,7.560002,7.720003,433000,6.55434
2012-09-04,7.75,9.020003,7.619998,8.949997,398300,7.598615
2012-08-01,7.870004,8.299996,7.619998,7.779998,432400,6.605277
2012-07-02,9.070001,9.39,7.609998,7.809996,585000,6.630745
2012-06-01,8.520004,9.180004,8.360003,9.180004,430700,7.793892
2012-05-01,9.639995,9.789996,8.500006,8.599998,511600,7.239432
2012-04-02,10.929997,11.079999,9.609997,9.660005,711800,8.13174
2012-03-01,10.970005,11.279996,10.540001,11.000003,583800,9.259744
2012-02-01,11.000003,11.490004,10.889999,10.980005,548800,9.242909
2012-01-03,10.429997,11.210001,9.820005,10.88,700400,9.158726
2011-12-01,9.670005,10.55,9.650005,10.190002,552600,8.546181
2011-11-01,10.299995,10.39,9.079999,9.599998,678100,8.051353
2011-10-03,9.109998,11.160005,8.629996,10.459995,733700,8.772618
2011-09-01,10.059999,10.079999,8.850004,9.249999,852400,7.757815
2011-08-01,12.030001,12.059999,9.309996,9.980005,871500,8.370059
2011-07-01,13.209999,13.800004,11.700001,11.88,806300,9.963552
2011-06-01,13.86,14.36,12.510002,13.170002,728600,11.045454
2011-05-02,13.869999,14.379998,13.209999,13.830002,570300,11.518183
2011-04-01,14.869999,15.389997,13.630004,13.770006,623100,11.468216
2011-03-01,13.300005,14.749996,12.840001,14.650002,671800,12.201112
2011-02-01,13.229998,13.899997,12.500002,13.160003,818700,10.96018
2011-01-03,15.559997,15.780005,12.830003,13.180001,1161500,10.976836
2010-12-01,13.899997,15.69,13.770006,15.470003,575000,12.842482
2010-11-01,14.369998,15.330001,13.440005,13.69,523500,11.364805
2010-10-01,14.830002,16.810001,14.18,14.280005,812400,11.8546
2010-09-01,12.990003,14.889997,12.830003,14.460005,489200,12.004027
2010-08-02,13.790005,14.209998,12.480004,12.830003,451200,10.650875
2010-07-01,12.000003,13.660002,11.749998,13.599995,384500,11.290087
2010-06-01,20.529959,22.999964,11.919997,12.000003,611200,9.961847
2010-05-03,22.459961,22.789965,18.83996,21.149961,903200,10.465725
2010-04-01,23.559959,24.739958,22.339958,22.459961,739100,11.113957
2010-03-01,21.749958,24.289953,21.749958,23.309958,645800,11.534566
2010-02-01,19.839964,21.759954,19.099974,21.619959,846500,10.698297
2010-01-04,22.699966,23.989954,19.649973,19.689957,1801200,9.743265
2009-12-01,20.009964,22.999964,19.669966,22.269953,997200,11.019935
2009-11-02,17.359962,21.149961,16.999971,19.999968,1109800,9.896669
2009-10-01,17.719971,19.52997,17.079973,17.149961,1262100,8.486388
2009-09-01,15.749966,17.989962,15.229973,17.949961,915500,8.882256
2009-08-03,14.599971,16.399977,13.999976,15.749966,832000,7.793622
2009-07-01,11.839981,14.74998,10.61998,14.519969,796700,7.184978
2009-06-01,11.999985,12.99997,10.629975,11.79998,786900,5.839034
2009-05-01,9.379989,12.609976,9.22998,11.79998,1273700,5.799746
2009-04-01,7.269989,9.599984,6.899986,9.379989,1364100,4.610309
2009-03-02,5.489995,7.819989,5.039989,7.109986,1076200,3.494592
2009-02-02,6.709995,7.329982,5.689999,5.689999,877000,2.796661
2009-01-02,8.289986,8.749988,6.08999,6.939987,1148200,3.411036
2008-12-01,7.299995,8.48999,6.099986,8.129982,1098600,3.995924
2008-11-03,8.739991,8.739991,5.659994,7.559992,1349100,3.715772
