Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,40.759998,40.950001,40.009998,40.299999,72400,36.919884
2013-03-01,40.439999,41.98,40.02,40.700001,20300,37.286335
2013-02-01,40.439999,41.75,39.830002,40.459999,24600,37.066463
2013-01-02,40.130001,40.77,37.900002,40.259998,27000,36.613297
2012-12-03,38.259998,39.619999,38.00,39.169998,45400,35.622028
2012-11-01,40.900002,41.240002,37.650002,39.110001,36700,35.567463
2012-10-01,42.459999,42.630001,40.040001,41.16,24500,37.158951
2012-09-04,42.990002,43.330002,42.040001,42.330002,36100,38.215221
2012-08-01,43.610001,44.41,42.00,42.150002,27100,38.052719
2012-07-02,44.549999,45.959999,41.150002,43.529999,27600,39.298569
2012-06-01,43.52,44.540001,42.18,44.52,44700,39.921375
2012-05-01,44.709999,45.900002,43.52,43.639999,45900,39.132271
2012-04-02,43.52,45.52,42.07,44.599998,36300,39.726727
2012-03-01,43.009998,44.259998,41.720001,43.599998,41800,38.835991
2012-02-01,42.630001,44.849998,42.50,42.860001,43200,38.176849
2012-01-03,40.400002,43.630001,39.66,42.27,29800,37.390877
2011-12-01,39.880001,42.009998,39.439999,39.939999,35800,35.329819
2011-11-01,39.080002,39.98,37.34,39.919998,47700,35.312126
2011-10-03,37.060001,40.82,36.52,39.549999,50000,33.841255
2011-09-01,39.099998,39.869999,36.639999,37.060001,53200,30.693802
2011-08-01,40.470001,40.82,36.77,39.099998,48900,32.383366
2011-07-01,40.740002,42.200001,39.009998,40.189999,27400,33.286125
2011-06-01,39.91,40.830002,38.029999,40.73,49600,33.499886
2011-05-02,41.450001,41.82,38.950001,40.169998,31500,33.039291
2011-04-01,40.549999,41.560001,39.43,41.27,19900,33.696884
2011-03-01,39.880001,40.66,38.669998,40.459999,28300,33.035519
2011-02-01,39.82,40.599998,38.900002,39.669998,29000,32.390484
2011-01-03,40.830002,40.830002,38.720001,39.529999,30700,32.040882
2010-12-01,39.490002,40.959999,38.32,40.330002,29000,32.68932
2010-11-01,39.18,40.349998,38.310001,38.540001,50300,31.238443
2010-10-01,39.200001,41.299999,37.77,38.959999,29000,31.348715
2010-09-01,35.400002,39.200001,35.32,39.130001,38000,31.485506
2010-08-02,36.200001,36.68,32.990002,35.16,53000,28.29109
2010-07-01,32.93,36.119999,32.610001,35.849998,54300,28.846289
2010-06-01,33.50,33.970001,32.560001,32.91,84400,26.263475
2010-05-03,37.32,38.32,33.299999,33.77,68200,26.949791
2010-04-01,36.439999,38.290001,36.130001,37.279999,38900,29.522659
2010-03-01,34.360001,36.59,34.349998,36.360001,61900,28.794098
2010-02-01,35.740002,35.880001,32.560001,34.900002,52500,27.637899
2010-01-04,36.560001,36.919998,35.209999,35.509998,58900,27.873842
2009-12-01,35.130001,37.439999,34.509998,36.360001,59700,28.541058
2009-11-02,35.639999,36.77,33.950001,34.779999,46100,27.300823
2009-10-01,31.719999,35.98,31.18,35.400002,65300,27.7875
2009-09-01,31.209999,33.09,31.059999,31.950001,63100,24.873009
2009-08-03,33.139999,33.470001,30.51,31.209999,87600,24.296919
2009-07-01,33.630001,37.669998,31.780001,33.07,70600,25.744926
2009-06-01,35.389999,36.82,32.75,33.52,75300,25.875389
2009-05-01,36.869999,37.869999,33.939999,34.93,83900,26.963823
2009-04-01,30.60,37.610001,30.049999,36.990002,93700,28.328449
2009-03-02,27.15,32.209999,22.67,31.040001,112800,23.771696
2009-02-02,30.870001,33.689999,26.969999,27.75,45200,21.252079
2009-01-02,33.669998,34.119999,30.91,31.110001,44800,23.606516
2008-12-01,31.280001,33.779999,28.40,33.630001,66400,25.518713
