Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.030001,16.040001,15.74,15.82,3462600,15.82
2013-03-01,14.09,16.99,14.04,16.02,3829400,16.02
2013-02-01,15.10,15.99,14.03,14.19,3613000,14.19
2013-01-02,15.17,15.90,14.10,15.03,3564800,15.03
2012-12-03,15.96,16.17,14.43,14.88,2050100,14.88
2012-11-01,17.030001,17.030001,14.86,15.79,2105400,15.79
2012-10-01,16.719999,18.309999,16.540001,16.940001,1961000,16.940001
2012-09-04,15.78,17.73,15.50,16.59,2258600,16.59
2012-08-01,15.97,16.129999,14.15,15.60,1926300,15.60
2012-07-02,15.90,16.219999,14.15,15.95,2586300,15.95
2012-06-01,14.39,16.690001,13.22,16.18,2873100,16.18
2012-05-01,17.709999,17.959999,14.49,14.67,2743600,14.67
2012-04-02,18.08,18.90,15.02,17.57,2387900,17.57
2012-03-01,18.27,19.74,17.459999,18.01,2257400,18.01
2012-02-01,16.68,19.35,16.139999,18.16,3293100,18.16
2012-01-03,18.379999,18.67,14.20,16.48,5843000,16.48
2011-12-12,22.50,23.42,17.01,18.17,1000400,18.17
