Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.18,31.32,31.01,31.32,3113400,27.519569
2013-03-01,30.58,31.709999,30.299999,31.549999,873900,27.721661
2013-02-01,28.879999,30.90,28.85,30.65,839400,26.664961
2013-01-02,27.219999,28.870001,27.02,28.84,645100,25.090294
2012-12-03,27.280001,27.60,26.41,26.77,796200,23.289431
2012-11-01,27.200001,27.82,25.639999,27.18,893800,23.396399
2012-10-01,28.219999,28.290001,26.129999,27.00,1002100,23.241455
2012-09-04,27.700001,28.99,27.43,28.110001,1000600,24.196938
2012-08-01,27.01,28.280001,26.93,27.93,950900,23.792364
2012-07-02,26.34,27.389999,25.780001,26.879999,619200,22.897915
2012-06-01,24.99,26.50,23.84,26.34,1042400,22.437912
2012-05-01,26.65,27.549999,24.77,25.58,930400,21.53109
2012-04-02,26.290001,26.719999,24.65,26.559999,862600,22.355972
2012-03-01,25.01,26.549999,24.700001,26.43,949100,22.24655
2012-02-01,24.50,25.309999,24.209999,24.90,919200,20.715698
2012-01-03,22.09,25.10,21.360001,24.27,1120800,20.191566
2011-12-01,20.60,22.540001,20.00,21.82,955900,18.153275
2011-11-01,22.51,22.870001,19.32,20.690001,1281200,17.213165
2011-10-03,21.030001,24.00,19.35,23.209999,1202700,19.043253
2011-09-01,24.32,24.60,20.67,21.17,1303100,17.369482
2011-08-01,25.91,26.280001,19.379999,24.370001,1568300,19.995007
2011-07-01,25.26,26.85,25.120001,25.719999,816500,20.864714
2011-06-01,26.32,26.440001,23.459999,25.16,1088400,20.410429
2011-05-02,26.40,26.950001,25.629999,26.620001,879200,21.371729
2011-04-01,25.129999,26.790001,24.00,26.41,714000,21.203131
2011-03-01,25.969999,26.00,23.549999,25.059999,1091600,20.119291
2011-02-01,24.700001,26.08,24.35,25.870001,970600,20.541496
2011-01-03,23.950001,24.90,23.450001,24.52,1132700,19.469559
2010-12-01,24.059999,24.59,22.969999,23.76,1166700,18.866096
2010-11-01,24.23,26.07,22.50,23.700001,1175500,18.616022
2010-10-01,22.040001,24.43,21.639999,24.129999,1073700,18.953781
2010-09-01,20.540001,22.98,20.360001,21.82,1041500,17.139307
2010-08-02,21.620001,21.969999,19.139999,20.18,1287400,15.660311
2010-07-01,19.57,21.530001,18.209999,21.17,1563000,16.428581
2010-06-01,20.65,21.92,18.450001,19.049999,1356600,14.783395
2010-05-03,23.26,23.93,19.01,20.860001,1414000,15.982501
2010-04-01,21.58,24.17,21.559999,23.120001,1378800,17.714067
2010-03-01,20.790001,23.18,20.139999,21.559999,1070600,16.518826
2010-02-01,18.99,20.91,17.709999,20.59,1234600,15.577676
2010-01-04,19.93,21.790001,18.50,18.67,1672600,14.125071
2009-12-01,19.620001,20.940001,18.48,19.790001,1241900,14.972424
2009-11-02,18.610001,20.219999,17.709999,19.41,1536600,14.499138
2009-10-01,19.82,21.120001,17.959999,18.50,1723300,13.819374
2009-09-01,19.620001,23.00,17.65,19.92,1721500,14.880104
2009-08-03,15.55,20.33,15.23,19.860001,1984900,14.638217
2009-07-01,14.57,15.91,12.92,15.43,2099300,11.372995
2009-06-01,16.190001,17.42,12.85,14.51,2413900,10.694891
