Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.13,14.19,13.56,13.61,2107600,12.609141
2013-03-01,14.65,15.84,14.07,14.20,761500,13.155753
2013-02-01,17.73,18.450001,14.74,14.86,610100,13.695977
2013-01-02,16.620001,18.129999,16.450001,17.60,498900,16.221346
2012-12-03,16.73,18.26,15.37,16.030001,498000,14.774329
2012-11-01,17.26,18.549999,15.14,16.57,578400,15.272029
2012-10-01,19.16,19.77,16.26,16.950001,486400,15.09155
2012-09-04,17.290001,21.360001,17.120001,18.780001,625300,16.720903
2012-08-01,18.700001,18.75,15.67,17.26,652100,15.36756
2012-07-02,15.30,19.290001,14.49,18.49,814900,16.391432
2012-06-01,14.79,16.57,13.18,15.30,1330200,13.563489
2012-05-01,19.719999,20.67,14.76,15.37,1118500,13.625545
2012-04-02,20.969999,21.780001,18.40,19.77,631100,17.439552
2012-03-01,25.459999,25.98,20.450001,21.08,653500,18.595133
2012-02-01,21.879999,27.40,20.799999,25.25,683000,22.198555
2012-01-03,22.08,22.50,19.889999,21.610001,469400,18.998447
2011-12-01,19.84,22.860001,18.93,21.209999,707700,18.646786
2011-11-01,18.629999,21.07,16.73,20.02,727000,17.048662
2011-10-03,13.52,21.35,11.87,19.690001,888500,16.734697
2011-09-01,21.129999,21.49,13.74,13.76,777500,11.69474
2011-08-01,27.860001,28.559999,17.68,21.120001,952600,17.950068
2011-07-01,26.02,29.27,25.25,27.10,726200,22.989788
2011-06-01,25.790001,26.25,21.610001,26.120001,959700,22.158422
2011-05-02,26.940001,27.41,22.23,25.90,883300,21.971788
2011-04-01,23.139999,28.790001,21.09,26.809999,937000,22.705927
2011-03-01,26.030001,26.030001,18.57,22.790001,1357500,19.30131
2011-02-01,20.57,26.120001,20.33,25.530001,803900,21.576567
2011-01-03,18.10,20.65,17.51,20.35,821400,17.198711
2010-12-01,17.219999,20.00,15.69,17.870001,1076800,15.102751
2010-11-01,10.95,16.93,10.61,16.75,1362500,13.606271
2010-10-01,10.69,11.42,10.50,10.88,465400,8.815249
2010-09-01,9.20,10.83,9.12,10.60,504000,8.588387
2010-08-02,9.30,10.17,8.50,9.04,577100,7.324435
2010-07-01,9.47,9.76,8.41,9.21,620600,7.429045
2010-06-01,9.49,10.91,8.43,9.46,1019700,7.630702
