Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.76,8.78,8.56,8.75,254400,7.910652
2013-03-01,8.22,8.90,8.20,8.82,140400,7.973937
2013-02-01,8.57,8.84,8.26,8.33,112300,7.426826
2013-01-02,7.99,8.66,7.91,8.56,132000,7.631889
2012-12-03,8.10,8.15,7.67,7.89,158800,7.034533
2012-11-01,8.12,8.88,7.50,8.07,164100,7.088817
2012-10-01,8.07,8.49,7.97,8.09,135800,7.106386
2012-09-04,8.82,8.96,8.04,8.05,177800,7.071249
2012-08-01,7.77,8.96,7.54,8.88,171900,7.691871
2012-07-02,7.80,8.06,7.56,7.75,144500,6.713063
2012-06-01,7.77,8.03,7.44,7.82,178400,6.773697
2012-05-01,7.86,9.04,7.77,7.88,255400,6.720794
2012-04-02,8.96,8.96,7.77,7.88,298500,6.720794
2012-03-01,9.15,9.43,8.67,8.87,263500,7.565157
2012-02-01,9.56,9.95,9.02,9.14,218900,7.691615
2012-01-03,9.42,9.89,9.29,9.49,122900,7.986151
2011-12-01,9.57,10.80,9.15,9.32,203300,7.84309
2011-11-01,10.23,10.70,9.06,9.62,139600,8.000028
2011-10-03,8.83,10.76,8.70,10.51,157500,8.740155
2011-09-01,9.60,9.71,8.67,8.91,206600,7.409589
2011-08-01,10.15,10.18,8.68,9.58,278800,7.860422
2011-07-01,9.49,10.33,9.45,10.07,192800,8.262468
2011-06-01,10.34,10.40,8.88,9.53,271700,7.819396
2011-05-02,10.45,10.95,10.00,10.40,391000,8.424183
2011-04-01,12.62,12.93,9.99,10.51,689100,8.513286
2011-03-01,13.03,14.10,11.99,12.57,437400,10.181922
2011-02-01,12.01,12.95,11.86,12.91,382500,10.180108
2011-01-03,14.38,14.39,11.50,12.05,460400,9.501961
2010-12-01,14.18,14.90,13.88,14.24,302500,11.228872
2010-11-01,13.93,14.14,13.51,14.02,268100,10.787203
2010-10-01,13.98,14.05,13.24,13.84,223600,10.648708
2010-09-01,14.15,14.58,13.59,13.91,269100,10.702567
2010-08-02,16.299999,16.59,13.50,14.02,312000,10.520487
2010-07-01,15.60,16.51,15.01,16.040001,165100,12.036277
2010-06-01,16.370001,17.209999,15.42,15.56,232600,11.676089
