Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.200001,17.32,17.110001,17.16,396200,17.16
2013-03-01,16.309999,18.790001,15.73,17.18,339700,17.18
2013-02-01,16.26,16.780001,15.90,16.34,204800,16.34
2013-01-02,16.01,16.68,15.40,16.18,301200,16.18
2012-12-03,16.440001,16.610001,15.08,15.75,326000,15.75
2012-11-01,14.60,17.08,14.16,16.389999,404400,16.389999
2012-10-01,14.92,15.00,13.54,14.19,230600,14.19
2012-09-04,14.40,14.97,13.60,14.93,357800,14.93
2012-08-01,13.55,15.19,13.14,14.44,196500,14.44
2012-07-02,14.20,14.61,13.00,13.52,232800,13.52
2012-06-01,14.39,15.00,13.51,14.12,272300,14.12
2012-05-01,14.43,15.17,13.16,14.72,295400,14.72
2012-04-02,14.34,14.98,13.40,14.38,182800,14.38
2012-03-01,13.00,15.60,12.86,14.40,418300,14.40
2012-02-01,13.62,14.85,12.15,12.93,492900,12.93
2012-01-03,11.20,14.07,11.14,13.58,297100,13.58
2011-12-01,11.90,12.05,10.65,11.04,335300,11.04
2011-11-01,12.19,12.85,11.04,12.00,264700,12.00
2011-10-03,11.47,14.08,10.95,12.43,310100,12.43
2011-09-01,13.67,13.89,11.35,11.64,393000,11.64
2011-08-01,15.74,15.74,11.44,13.71,677700,13.71
2011-07-01,17.610001,17.99,15.51,15.58,313100,15.58
2011-06-01,18.209999,18.219999,15.75,17.559999,451700,17.559999
2011-05-02,17.559999,19.10,16.639999,18.25,466300,18.25
2011-04-01,15.50,17.799999,15.37,17.60,366700,17.60
2011-03-01,15.25,17.65,14.87,15.46,561200,15.46
2011-02-01,17.08,17.24,15.18,15.20,437300,15.20
2011-01-03,16.32,18.60,16.16,17.059999,413600,17.059999
2010-12-01,17.030001,17.370001,15.53,16.139999,274000,16.139999
2010-11-01,16.530001,18.01,16.200001,16.75,691700,16.75
2010-10-01,17.24,17.370001,16.08,16.48,263500,16.48
2010-09-01,15.10,17.379999,14.94,17.16,472200,17.16
2010-08-02,15.24,15.60,14.01,15.11,665700,15.11
2010-07-01,16.00,16.299999,14.76,15.00,639500,15.00
2010-06-01,17.48,18.190001,14.83,15.96,891400,15.96
2010-05-03,19.200001,19.65,16.459999,17.889999,992400,17.889999
2010-04-01,15.53,20.129999,15.35,19.200001,1165300,19.200001
2010-03-01,16.139999,17.27,13.92,15.57,520100,15.57
2010-02-01,15.06,16.889999,15.06,16.120001,287300,16.120001
2010-01-04,16.299999,18.00,14.38,15.04,408400,15.04
2009-12-01,17.50,17.66,15.25,15.96,393500,15.96
2009-11-02,13.01,18.00,12.67,17.43,658600,17.43
2009-10-01,11.70,14.04,10.91,12.83,472300,12.83
2009-09-01,11.72,13.24,11.00,11.93,491900,11.93
2009-08-03,10.79,13.49,9.73,11.74,698600,11.74
2009-07-01,9.44,10.88,7.85,10.70,280000,10.70
2009-06-01,8.73,9.76,7.22,9.44,398700,9.44
2009-05-01,5.81,8.88,5.39,8.50,815900,8.50
2009-04-01,4.56,5.97,4.41,5.77,419500,5.77
2009-03-02,4.40,5.35,3.67,4.53,524200,4.53
2009-02-02,5.50,6.15,4.32,4.42,366300,4.42
2009-01-02,8.00,9.67,5.37,5.42,350300,5.42
2008-12-01,5.71,8.35,3.89,7.99,491500,7.99
2008-11-03,9.30,10.75,5.65,5.98,246800,5.98
2008-10-01,13.04,13.14,6.37,9.36,452500,9.36
2008-09-02,17.530001,18.10,12.31,13.15,521300,13.15
2008-08-01,18.00,20.059999,17.01,17.709999,457800,17.709999
2008-07-01,20.00,22.49,16.50,18.120001,517000,18.120001
2008-06-02,20.41,21.27,15.89,20.299999,601000,20.299999
2008-05-01,18.58,23.389999,17.43,20.450001,501900,20.450001
2008-04-01,22.76,24.26,18.440001,18.440001,502200,18.440001
2008-03-03,23.860001,25.00,18.27,22.360001,423500,22.360001
2008-02-01,24.629999,27.90,21.90,24.00,225400,24.00
2008-01-02,29.27,31.469999,20.709999,25.18,388000,25.18
2007-12-03,28.50,34.220001,26.620001,29.24,351400,29.24
2007-11-01,38.00,38.970001,22.08,28.26,609800,28.26
2007-10-01,29.18,45.650002,27.969999,38.490002,866000,38.490002
2007-09-04,27.00,32.25,25.530001,28.200001,682900,28.200001
2007-08-15,21.00,27.799999,18.50,26.25,615100,26.25
