Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.49,1.49,1.33,1.38,135400,5.52
2013-03-01,1.39,1.69,1.20,1.32,70300,5.28
2013-02-01,1.50,1.57,1.28,1.42,8900,5.68
2013-01-02,1.18,1.66,1.17,1.51,21800,6.04
2012-12-03,1.18,1.32,1.15,1.16,37500,4.64
2012-11-01,1.15,1.39,1.15,1.18,16800,4.72
2012-10-01,1.07,1.19,1.02,1.15,11800,4.60
2012-09-04,1.15,1.18,0.96,1.11,12100,4.44
2012-08-01,1.18,1.23,1.02,1.14,17100,4.56
2012-07-02,1.39,1.55,1.08,1.19,12700,4.76
2012-06-01,1.38,1.69,1.20,1.43,10400,5.72
2012-05-01,1.55,1.64,1.34,1.40,12300,5.60
2012-04-02,1.86,1.96,1.48,1.58,15700,6.32
2012-03-01,1.95,2.25,1.78,1.80,36700,7.20
2012-02-01,1.93,2.31,1.76,1.89,17600,7.56
2012-01-03,1.99,2.04,1.86,1.97,10000,7.88
2011-12-01,1.96,2.09,1.68,1.99,21100,7.96
2011-11-01,2.13,2.22,1.55,2.05,12300,8.20
2011-10-03,1.78,2.20,1.30,2.15,23500,8.60
2011-09-01,2.33,2.34,1.35,1.79,10400,7.16
2011-08-01,3.05,3.24,2.02,2.32,22400,9.28
2011-07-01,2.97,3.20,2.75,3.09,13100,12.36
2011-06-01,4.01,4.04,2.56,2.92,27600,11.68
2011-05-02,4.05,4.30,3.31,4.05,30200,16.200001
2011-04-01,5.15,5.32,3.85,4.02,34700,16.08
2011-03-01,4.70,5.15,4.01,5.12,80100,20.48
2011-02-01,6.03,6.28,4.55,4.62,44300,18.48
2011-01-03,10.05,10.05,5.56,5.87,75900,23.48
2010-12-01,11.10,11.10,8.65,9.16,26900,36.639999
2010-11-23,11.00,11.44,9.75,11.01,336600,44.040001
